GID,GID_hr,HER_hr_montype,HR_type,HR_description,HR_age,HR_sex,HR_condition,HR_completeness,HR_posture,HR_orientation,HR_rite
71704,70890,,Inhumation,"Burial 5 facing 6, This is 6 with 7 at feet; aged female. Note that the 3rd burial has no grave goods ",Old Adult >40,Female,Articulated,Unknown,Crouched (facing right),NE-SW,Unknown
71705,70891,,Inhumation,Burial 7a with pot behind head. Child 3-4 years old,Child 3-13,Indeterminate (Child),Articulated,Unknown,Crouched (facing left),NW-SE,Unknown
71707,70892,,Inhumation," Adult, hands to face, tightly crouched; Food Vessel behind back. Tall female with head to N facing W. She was buried with quite an eclectic and interesting array of grave goods. ",Adult 19-39,Female,Articulated,Unknown,Crouched (facing right),N-S,Unknown
71708,70893,,Cremation,In pit in mound in large upright Collared Urn. Not a complete cremation of adult and also mixd in with some child bones - eg lower jaw. Lots of pyre debris so not cleaned. ,Adult 19-39,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
71708,70894,,Cremation,In pit in mound in large upright Collared Urn. Not a complete cremation of adult and also mixd in with some child bones - eg lower jaw. Lots of pyre debris so not cleaned. ,Child 3-13,Indeterminate (Child),Unknown,Unknown,Unknown,Unknown,Unknown
71709,70895,,Cremation,In pit cut into mound in an inverted Collared Urn - plough disturbed and only the rim remained,Adult 19-39,Unknown,Unknown,Unknown,Inverted,Unknown,Unknown
71710,70896,,Cremation, pile of burnt bones mixed child and adult with two flint knives. This is the child ,Child 3-13,Indeterminate (Child),Unknown,Unknown,Unknown,Unknown,Unknown
71710,70897,,Cremation,Mixed pile of bones of a child and adult - this is the adult ,Adult 19-39,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
71711,70898,,Inhumation,Degraded child burial with adult male in pit B; Food Vase and flint knife ,Child 3-13,Indeterminate (Child),Decomposed/Degraded,Unknown,Crouched (unspecified),E-W,Unknown
71713,70900,,Inhumation,Decayed remains of a young person with Food Vessel,Child 3-13,Indeterminate (Child),Decomposed/Degraded,Unknown,Unknown,Unknown,Unknown
50052,70901,,Cremation,"<HER/Pastscape description>: 'one or two pieces of bone, embedded in burnt earth and charcoal' - almost certainly a cremation deposit.",Unknown,Unknown,Unknown,Fragment(s),Unknown,Unknown,Unknown
60006,60000,CREMATION,Cremation,"<Downes 2005, Mound 1, Burial 1>: 'about a hat-full' (RCAMS 1946 quoting Clouston) of burnt bones which had been cleaned of any ashes. These burnt bones were covered by a stone c. 0.30m across, upon which lay a peculiar brown mossy substance, and white ashes.",Unknown,Unknown,Burial (Cremation): Ordered deposit,Unknown,Unknown,Unknown,Unknown
60016,60001,HUMAN REMAINS,Inhumation,"Knoll of Skulzie: Isolated deposit of several human skulls (not certain how many, one of at least 3) ",Unknown,Unknown,Disarticulated,Fragment(s),Unknown,Unknown,Unknown
60062,60012,CREMATION,Cremation,"<Kewing House, Orkney (Ballin Smith 2014)>: Interesting that the cremation and pyre material (8kg!) was poured into the cist while still molten. Then Beaker pot smashed deliberately) and sprinkled over to of cremation in upper grave fill ",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
60063,60013,CREMATION,Cremation,In large Food vessel with a floral offering; older male. Note Urned crem 2333g adult male; note 14C date from fibres around cist - bandage  Slate pot lid found immediately outside the N end of the cist (common to find things just outside cist. Thought originally to have been placed on this urn,Old Adult >40,Male,Unknown,Complete,Upright,Unknown,Unknown
60063,60014,INHUMATION,Inhumation,"In cist with foetal bone - young adult - 12-14 years - teenager; only partial burial . No grave goods(Dalland and Barber in Dalland 1999, 405): UT-1484: A sample of the young adult inhumation found in the north-west corner of the cist, selected to place the inhumation burial in relation to the other inhumation and cremation burials in the cist.UT-1484 (Adult bones (inhumation)); 3530±40; 1990-1750 (95% confidence)",Subadult 14-18,Unknown,Disarticulated,Fragment(s),Unknown,Unknown,Unknown
60068,60016,HUMAN REMAINS,Inhumation,Degraded remains of an inhumation ,Unknown,Unknown,Decomposed/Degraded,Fragment(s),Unknown,Unknown,Unknown
60069,60017,INHUMATION,Inhumation,"Howe Farm Cist, (Downes 2005: 278-9) <Cist burial containing crouched inhumation of male, c.40-50 years at time of death, and between 6ft1 and 6ft4 in height.Osteoarthritis. Feet and parts of lower legs of skeleton missing ",Old Adult >40,Male,Biography: Diseased/Disabled,Almost complete,Crouched (unspecified),Unknown,Unknown
60070,60018,INHUMATION,Inhumation,"<Lopness, Sanday, Orkney (Innes 2016)>: 40-50yr old woman, 1.5m tall. Later revisited (maybe twice) and only 60% body present. Possible that arm & hand bones removed when sheep & midden deposits inserted. Very interesting burial, and sequence of funerary rituals ",Old Adult >40,Female,Burial (Inhumation): Articulated,Almost complete,Crouched (facing right),N-S,Unknown
60087,60022,CREMATION,Cremation,Heap of cremated bone on platform by a pot but no further information ,Unknown,Unknown,Unknown,Fragment(s),Unknown,Unknown,Unknown
60088,60023,INHUMATION,Inhumation,"<Duffy and MacGregor 2007, Swainbost, N. Uist>: partial remains of a coastally-eroded in-situ human burial remains were found to be from one individual, probably male, aged between 30-34 years at death with a slight deformity of the spine buried in a supine position in a flat-based grave. A single radiocarbon date suggests burial dates to 390-170 BC. Only a limited portion of the burial was still preserved in-situ including both legs and feet, and the left lower arm and hand; enough, however, remained to identify the burial as a supine inhumation (north-east  to  south-west). Other skeletal elements including the torso of the skeleton were found to have slumped down the slope by c l m.<Duffy in Duffy and MacGregor 2007, 158>: An unusual pathology  was noted on lumbar vertebrae 1 and 2, where the left inferior articular facet of both elements was rotated medially, and shortened by up to 4.8 mm compared to the right inferior articular facet. This pattern also apparent on the first sacral vertebrae, where the left superior articular facet appeared to be slightly rotated medially. No other osseous response was not although much of the rest of the vertebral column was fragmented. The causes of this pathology are not immediately clear. No evidence of a fracture to either spinous process was observed, although it is possible that it is an osseous response to a poorly healed vertebral fracture further up the spinal column. It is also possible that the abnormality may have a genetic origin.rc dates on human bone: SUERC-5368; Human Left Ulna; 2210 +/- 40; 386-183 cal BC Oxcal v.4 (95% confidence)",Adult 19-39,Male,Biography: Diseased/Disabled,Fragment(s),Supine,NE-SW,Unknown
60091,60026,HUMAN REMAINS,Inhumation,"<Barber et al. 1989, Hornish Point>: The dismembered body of a 12 year old boy was distributed between the pits.The human remains in Pit 1 were contained within a setting of four vertically positioned stones. Chop marks were found on the spinal column suggesting dismemberment at the time of death or soon after. Diagonal chops were applied to his back, slicing through the trunk between the waist and the hip. The mixing of body parts in two of the pits also suggested partial decomposition prior to burial (hence a few bones were not in articulated groups). The boy suffered from a slight strain of spina bifida which may or may not have had any physical effects. The human and animal bodies were distributed as follows:Pit 1: hr included lower body parts including the lower right limb and part of the pelvic girdle; animal remains included substantial parts of a juvenille cow/bull (18-30 months in age)Pit 2: hr included the upper trunk, upper limbs and skull of the boyPit 3: hr included the lower trunk, part of the pelvic girdle and stray bones (eg finger, clavicle); animal remains included substantial parts of two female sheep (one 18-30 months in age, the other 3+ years)Pit 4: hr included the boy's left foot. animal remains included substantial parts of a juvenille cow/bull (slightly older than the example in Pit 1)",Child 3-13,Male,Multiple (Additional Notes),Complete,Unknown,Unknown,Unknown
60092,60027,HUMAN REMAINS,Inhumation,"<Barrowman and Innes 2009, Pabay Mor>: mature male of approximately 50–59 years of age, placed in a grave adjacent to a marker stone. The burial was crouched and aligned north–south. A radiocarbon date of 1450–1290 cal BC (GU-13838) was obtained from human bone from the burial.<Duffy in Barrowman and Innes 2009>: Overall  the  adult  showed  well-developed  muscle markings throughout his skeleton, with the right side showing particular muscle development, poten- tially indicating right-handedness. An enthesopathy was also noted at the insertion of tibialis anterious on the left tibia, although the complex aetiology of such osseous changes precludes any assignment of causal factors. Overall these observations indicate that he pursued a vigorous lifestyle and was probably well muscled.Evidence of spinal joint disease was also noted, almost exclusively conﬁned to the cervical portion of the spinal column ... The  relatively advanced stage of this condition further reinforces the picture of a vigorous lifestyle and repeated spinal column stress, potentially through heavy lifting and carrying of heavy objects on the back.Dental health was found to be good, although the mandibular teeth were highly worn. Calculus was slight where it existed, and there was a complete absence of evidence of periodontal disease, caries or abscess formation ...Despite his age, no evidence of osteoarthritis was observed on any of the articular surfaces of the adult. This may further strengthen the suggestion that the observed spinal joint disease has a more speciﬁc cause than advanced age or a general vigorous lifestyle alone, as osteoarthritic changes may also have reasonably been expected if general age and lifestyle were the causes.",Old Adult >40,Male,Burial (Inhumation): Articulated,Unknown,Crouched (facing right),N-S,Unknown
40093,70932,,Inhumation,Adult crouched on left side with hands to head; cremation & FV under knees. Beaker by the second skeleton in this cist,Adult 19-39,Male,Articulated,Unknown,Crouched (facing left),Unknown,Unknown
40093,70933,,Inhumation,Double burial. At base of barrow in circular stone  cist  on ground surface were two burials; one adult and one youth 12-14 yrs. Male lower jaw missing. Youth with flint saw & pot at skull (shared),Child 3-13,Indeterminate (Child),Articulated,Unknown,Crouched (facing left),Unknown,Unknown
40093,70934,,Cremation,Under knees of the adult skeleton was a circular heap of cremated bones on the S side of which was a a crushed Food Vessel (probably originally inverted over the cremation. With burnt flint knife,Adult 19-39,Unknown,Cleaned/Sorted,Unknown,Unknown,Unknown,Unknown
71812,70935,,Inhumation,youth c 10-12 years old (poss secondary) with an urn. Placed in pit just NE of centre. Hands to face and placed on thin layer of clay. Head NE facing NW,Child 3-13,Indeterminate (Child),Articulated,Complete,Crouched (facing right),NE-SW,Unknown
71813,70936,,Cremation,Pile of cremated bones with flint flake SW of centre and with leaf-shaped arrowhead ,Unknown,Unknown,Cleaned/Sorted,Unknown,Unknown,Unknown,Unknown
71814,70937,,Inhumation,decomposed bones of two adults with 21 pieces of flint; both bodies parallel with heads S and on left sides. Head S facing E,Adult 19-39,Unknown,Articulated,Unknown,Crouched (facing left),S-N,Unknown
71814,70938,,Inhumation,decomposed bones of two adults with 21 pieces of flint; both bodies parallel with heads S and on left sides. Head S facing E,Adult 19-39,Unknown,Articulated,Unknown,Crouched (facing left),S-N,Unknown
71815,70939,,Inhumation,Small grave further up mound with child inhumation and a Food Vessel,Child 3-13,Indeterminate (Child),Articulated,Almost complete,Crouched (unspecified),Unknown,Unknown
40096,70940,,Cremation,Burnt bones of a child (mixed with an adult) on the natural ground surface ,Child 3-13,Indeterminate (Child),Unknown,Unknown,Unknown,Unknown,Unknown
71816,70941,,Cremation,In central grave with horse bones above - burnt bones of an adult ,Adult 19-39,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
71817,70942,,Inhumation,Note this was only a partially articulated burial -  slightly disartic. Sk on left side with hands in front of face . Human skull at feet,Adult 19-39,Unknown,Partially Articulated,Almost complete,Crouched (facing left),N-S,Unknown
71818,70943,,Inhumation, Double burial in centre; both mirror each other in position Burial next to & slightly under older person. Also very decayed but with flint knife at elbow and another under faceCovered in black mould -  dark soot-like matter ,Adult 19-39,Unknown,Decomposed/Degraded,Fragment(s),Crouched (facing left),N-S,Unknown
71818,70944,,Inhumation,Old person with no grave goods accompanying it. Very large grave and a 2nd burial next to it; mirrors position,Old Adult >40,Unknown,Articulated,Almost complete,Crouched (facing left),N-S,Unknown
71819,70945,,Inhumation,"Aged male under old female but paired with her  with many grave goods inc jet stud, decayed yellow matter on floor",Old Adult >40,Male,Articulated,Complete,Crouched (facing left),N-S,Unknown
71819,70946,,Inhumation,"Burial 4, This is aged female with head to S; old male underneath her. No grave goods . This buirial mirrors the male as they both have heads in opposite positions Female head to D and male with head to N ",Old Adult >40,Female,Articulated,Almost complete,Crouched (facing right),S-N,Unknown
71820,70947,,Inhumation,Very contracted burial of an adult male - possibly bound. He was crouched on right side though,Adult 19-39,Male,Articulated,Complete,Crouched (facing right),NE-SW,Unknown
71821,70948,,Inhumation,crouched inhumation on left with grave goods in front of lower legs. Beaker at legs along with bone pin and 3 black flakes and polished axe,Adult 19-39,Male,Articulated,Unknown,Crouched (facing left),E-W,Unknown
71821,70949,,Inhumation,Second burial of double burial. This is an old female who was placed  behind back of burial 2 (the male) with head in opposite direction and Beaker behind head. They share a couple of grave goods ,Old Adult >40,Female,Articulated,Unknown,Crouched (facing right),NW-SE,Unknown
40104,70950,,Cremation,Cremation in very large upright Collared urn. Upper part removed by plough. Pot full of cremated bones and wood ash (>1 individual),Adult 19-39,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
71822,70951,,Inhumation,"In large rectangular pit grave B in centre of barrow; dismembered and likely redeposited bones of middle aged male - legs, vertebrae, ribs, jaw & finger-bones & leg bones of an ox",Adult 19-39,Male,Redeposited,Almost complete,Unknown,Unknown,Unknown
40106,70952,,Inhumation,Upper burial was dolicocephalic amd on right side - middle aged; FV behind head,Adult 19-39,Female,Articulated,Complete,Crouched (facing right),SW-NE,Unknown
40106,70953,,Inhumation,"Lower burial in double pit. Flexed but unusually the head, neck vertebrae & R scapula had been severed from shoulders & placed near pelvis & close to head of No 1. Lower jaw missing",Child 3-13,Indeterminate (Child),Partially Articulated,Almost complete,Flexed (unspecified),Unknown,Unknown
40110,70954,,Inhumation,Not certain as disturbed but likely an inhumation that was accompanied by a fine Food Vessel,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
40112,70955,,Inhumation,"slightly degraded bones of a slender young person, thought to be a female. Very unusual bronze pricker with flint flake  by right shoulder enclosed by decayed bag",Subadult 14-18,Female,Articulated,Almost complete,Crouched (facing right),S-N,Unknown
71823,70956,,Cremation,Large Collared Urn containing cremated bones of an adult along with unburnt animal bones (ox). Also a curious tined antler tool,Adult 19-39,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
71824,70957,,Cremation,Plough-disturbed cremation in Collared Urn in pit NE of centre ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
71825,70958,,Inhumation, 2 adult inhumations laid one on top of the other; heads SW. FV & flint knife at head; toggle in 1 hand,Adult 19-39,Unknown,Articulated,Unknown,Crouched (unspecified),SW-NE,Unknown
71825,70959,,Inhumation,Burial 2 is N of centre in mound with 2 adult inhumations laid one on top of the other; heads SW. They share the Food Vessel,Adult 19-39,Unknown,Articulated,Unknown,Crouched (unspecified),SW-NE,Unknown
71826,70960,,Cremation,heap of burnt gravel & charcoal with 1.5m diameter - multiple cremation deposit - no pot  mentioned; possibly Neolithic as leaf-shaped arrowhead associated. In situ cremation because of the burning ,Adult 19-39,Unknown,In-situ,Unknown,Unknown,Unknown,Unknown
40114,70961,,Cremation,Pile of cremated human bones with unburnt animal bones at east end of central oval grave with male inhumation ,Unidentifiable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
71827,70962,,Inhumation,double burial of child about 3 years old and with adult underneath on floor of grave. Food Vessel at heads (shared) ,Child 3-13,Indeterminate (Child),Articulated,Unknown,Crouched (unspecified),W-E,Unknown
71827,70963,,Inhumation,adult female underneath the child on floor of grave. Heads of both close together. They share the Food Vessel ,Adult 19-39,Female,Articulated,Unknown,Flexed (facing left),W-E,Unknown
71828,70964,,Inhumation,Double burial of child about 3 years old and with adult underneath on floor of grave. Food Vessel at heads,Child 3-13,Indeterminate (Child),Articulated,Unknown,Crouched (unspecified),W-E,Unknown
71828,70965,,Inhumation,double burial of child about 3 years old and with adult underneath on floor of grave.Heads of both close together and they share the FV ,Adult 19-39,Female,Articulated,Unknown,Flexed (facing right),W-E,Unknown
71829,70966,,Inhumation,double interment (5 & 6) higher in mound of an old adult and child; both in same position on right side with right arms to face. The feet of both skeletons touched. the old adult was accompanied by a Food Vessel ,Old Adult >40,Unknown,Articulated,Unknown,Crouched (facing right),E-W,Unknown
71829,70967,,Inhumation,old adult and child; both in same position on right side with right arms to face. The feet of both skeletons touched,Child 3-13,Indeterminate (Child),Articulated,Unknown,Crouched (facing right),E-W,Unknown
71828,70968,,Inhumation,"Pile of disarticulated bones on feet of adult skeleton in Grave B; comprised pieces of skull, and broken femur and tibia split in two. No grave goods but what is going on here? ",Adult 19-39,Unknown,Disarticulated,Unknown,Unknown,E-W,Unknown
71836,70969,,Inhumation,Robust male in middle age with pile of pig bones by head. Other human bones of young person by hips,Adult 19-39,Male,Articulated,Complete,Crouched (facing left),E-W,Unknown
71836,70970,,Inhumation,Other human bones of young person by hips of adult male - disarticulated. Included two tibia and skull. Could these be deliberately placed here as grave goods/ ancestral bones? ,Subadult 14-18,Indeterminate (Child),Disarticulated,Almost complete,Unknown,Unknown,Unknown
40116,70971,,Inhumation,Close to N edge of grave with inhumation and opposite it was a large human calvarium or skull cap; but no other traces of human bone; ?relates to 1ry inhumation - the arrowhead was above here so may be disturbed from this burial ,Unidentifiable,Unknown,Disarticulated,Fragment(s),Unknown,Unknown,Unknown
72048,70972,,Inhumation,Likely young female Prone and on its chest; head twisted with face to N; two Food Vessel directly above burial. Note that this is a very odd position,Adult 19-39,Female,Articulated,Complete,Extended (face down),NW-SE,Unknown
72049,70973,,Inhumation,Double burial. Child about two years old; above another child about 5 years old,Infant <3,Indeterminate (Child),Articulated,Complete,Flexed (facing right),SE-NW,Unknown
72049,70974,,Inhumation,Child about 5 years old below another child about two years old. Note they are both oriented the same way ,Child 3-13,Indeterminate (Child),Articulated,Complete,Crouched (facing right),SE-NW,Unknown
71834,70975,,Inhumation,Skeleton. No contextual details.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Southern Grave Inhumation
71833,70976,,Inhumation,Skeleton. No contextual details.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Southern Grave Inhumation
71830,70977,,Inhumation,Skeleton. No contextual details.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Southern Grave Inhumation
71831,70978,,Inhumation,Skeleton. No contextual details.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Southern Grave Inhumation
71832,70979,,Inhumation,Skeleton. No contextual details.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Southern Grave Inhumation
71835,70980,,Unknown,At least one further burial is mentioned from this site. However the character of this burial and its relationship with the remaining grave goods is not known/recorded. ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
40120,70981,,Inhumation,tightly crouched child (No 2)  with both hands to face and Food Vessel at feet,Child 3-13,Indeterminate (Child),Articulated,Complete,Crouched (facing left),NE-SW,Unknown
72050,70982,,Inhumation,Burial 4 in pit under Burial 3; robust male with only lower jaw & rest of skull missing. Short male on right side,Adult 19-39,Male,Articulated,Almost complete,Crouched (facing right),Unknown,Unknown
72051,70983,,Inhumation,"Aged female with fragment of polished greenstone axe. The axe sounds ENEO so is this an ancient, perhaps rediscovered or curated item?",Old Adult >40,Female,Articulated,Complete,Flexed (facing right),SW-NE,Unknown
72052,70984,,Cremation,In SW edge of barrow at base of mound; unurned cremation with animal bones - dog/fox,Adult 19-39,Unknown,Cleaned/Sorted,Almost complete,Unknown,Unknown,Unknown
40121,70985,,Inhumation, robust adult male; in pit or cist above crematorium trough. Beaker pot at feet ,Adult 19-39,Male,Articulated,Unknown,Crouched (facing left),E-W,Unknown
72053,70986,,Inhumation,Flexed remains of older person in mound with animal bones,Old Adult >40,Unknown,Articulated,Unknown,Crouched (facing right),W-E,Unknown
40122,70987,,Inhumation,"Female probably about 25 years old. Left foot missing and was seemingly amputated at midstep. Two worked flints - possibly surrogates for the foot - were placed there instead""This woman is not anatomically in correct position.Her neck is very weirdly curved and her right arm is in odd position.It just all looks wrong.  ",Adult 19-39,Female,Articulated,Almost complete,Crouched (facing right),W-E,Unknown
72054,70988,,Inhumation,Burial 2. Female sub-adult with a child humerus by elbow ,Subadult 14-18,Female,Articulated,Complete,Crouched (facing right),W-E,Unknown
72055,70989,,Cremation,One of two urned cremation burials. No further details.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
72056,70990,,Inhumation,"burial 3, c 30 years old. Only had 14 teeth ever. - but associated with a few disarticulated bones of another individual. Beaker by shoulders Again the presence of other bones of another individual is intriguing ",Adult 19-39,Unknown,Articulated,Complete,Crouched (facing right),W-E,Unknown
72057,70991,,Inhumation,scattered heap of disarticulated bones of a child (5-7 yr old) ,Child 3-13,Indeterminate (Child),Disarticulated,Fragment(s),Unknown,Unknown,Unknown
72057,70992,,Inhumation,Near centre of barrow a scattered heap of disarticulated bones of parts of an adult (mixed in with bones of a child) position A,Adult 19-39,Unknown,Disarticulated,Fragment(s),Unknown,Unknown,Unknown
72058,70993,,Cremation,cremated bones of several individuals including adults and juveniles- in situ burning. Exact number not known ,Unknown,Unknown,In-situ,Unknown,Unknown,Unknown,Unknown
40123,70995,,Cremation,cremated adult bones associated with an inhumation; also antler found with this burial ,Adult 19-39,Male,Unknown,Unknown,Unknown,Unknown,Unknown
72059,70996,,Inhumation,Crouched on left (note there is a cremation under this burial in pit E)4 chips of dark coloured flint placed in a row reaching from left parietal bone to chin. (figs 593 a-d). Film of black matter adhered to the skeleton (p 233). ,Adult 19-39,Unknown,Articulated,Almost complete,Crouched (facing left),E-W,Unknown
72060,70997,,Inhumation,Crouched outwards from barrow (ie rather than into centre of barrow). Middle aged male c 30 with two flints at feet ,Adult 19-39,Male,Articulated,Complete,Crouched (facing left),W-E,Unknown
72061,70998,,Inhumation, Inhumation looking inwards into centre- flexed in unusual position ; old woman doubled up- teeth extracted in life placed near jaw as all sockets healed; fine rope & textile material by her. NOTE - Several teeth kept & placed under jaw of I- removed long before death as all healed sockets- unusual,Old Adult >40,Female,Articulated,Unknown,Flexed (facing left),NE-SW,Unknown
72062,70999,,Cremation,Cremation at E accompanied by a plain Food Vessel - note not contained within it ,Adult 19-39,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
72063,71000,,Inhumation,Small child  probably wrapped in textile and fastened by a bone pin This is likely Neolithic rather than EBA ,Child 3-13,Indeterminate (Child),Articulated,Unknown,Crouched (facing right),E-W,Unknown
72064,71001,,Inhumation,Burial no 3 -crouched burial in pit ;  probably wrapped in textile and fastened by a bone pin ,Child 3-13,Indeterminate (Child),Articulated,Unknown,Crouched (unspecified),E-W,Unknown
72065,71002,,Inhumation,Crouched inhumation (burial 4) in pit cut into inner ditch,Child 3-13,Indeterminate (Child),Articulated,Unknown,Crouched (facing right),E-W,Unknown
72066,71003,,Inhumation,burial 6 with remains of infant and Food Vessel underneath. Older adult with hands to face,Old Adult >40,Unknown,Articulated,Unknown,Crouched (facing right),S-N,Unknown
72066,71004,,Inhumation,Infant placed under the old adult central inhumation,Child 3-13,Unknown,Decomposed/Degraded,Unknown,Unknown,Unknown,Unknown
72087,71005,,Cremation,This is a small/ miniature Collared urn; apt because it is for a child ,Child 3-13,Indeterminate (Child),Unknown,Unknown,Unknown,Unknown,Unknown
50074,71006,,Cremation,"<Whimster 1981, 478>: Calcined bones",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Aylesford Swarling
72088,71007,,Cremation, in situ cremation burnt on the spot (more bones than with the other 2). ,Adult 19-39,Unknown,In-situ,Almost complete,Unknown,Unknown,Unknown
72089,71008,,Cremation,in situ cremation burnt on the spot (more bones than with the other 2).  But still not a full cremation,Adult 19-39,Unknown,In-situ,Almost complete,Unknown,Unknown,Unknown
72090,71009,,Cremation,In situ cremation but then the bones were placed around an upright Collared Urn. Only partial remains ,Child 3-13,Indeterminate (Child),In-situ,Fragment(s),Unknown,Unknown,Unknown
72091,71010,,Cremation," Cremation of an adult who, unlike all the others, had NOT been burnt on the spot. Inverted Collared Urn next to it prob originally contained remains and they spilled out. Not a complete cremation ",Adult 19-39,Unknown,Unknown,Fragment(s),Unknown,Unknown,Unknown
40128,71011,,Cremation,Upright undecorated Collared Urn placed on top of child cremation. Child still has first milk teeth so likely under 7 years old ,Child 3-13,Indeterminate (Child),In-situ,Complete,Unknown,Unknown,Unknown
40130,71012,,Inhumation,Disturbed inhumation with Food Vessel 3m SE of centre,Unknown,Unknown,Disturbed,Unknown,Unknown,Unknown,Unknown
72092,71013,,Cremation,adult burnt iin situ of a hollow and then raked up into a pile  (unurned) with calcined flint and small pot vessel - incense cup placed on remains ,Adult 19-39,Unknown,In-situ,Almost complete,Unknown,Unknown,Unknown
72093,71014,,Cremation,Cremation of young and small female under 25 years. Bones placed in a hollow; burnt on spot with incense cup placed on bones,Adult 19-39,Female,In-situ,Unknown,Unknown,Unknown,Unknown
72094,71015,,Cremation,Adult male with incense cup at W side. Note that unlike some of the others this one was not burnt in situ. ,Adult 19-39,Male,Unknown,Unknown,Unknown,Unknown,Unknown
72095,71016,,Inhumation,adult 20-24 years old with large flint block in front of face. Wood remains of coffin under body; hands to face ,Adult 19-39,Unknown,Articulated,Unknown,Crouched (facing right),SW-NE,Unknown
72096,71017,,Inhumation,aged woman with crossed arms and inverted Collared Urn at head and a pendant ,Old Adult >40,Female,Articulated,Unknown,Crouched (facing left),NE-SW,Unknown
72095,71018,,Inhumation,At base of barrow  1m S of centre child laid on original ground surface. Collared Urn. Only part of this burial - disarticulated so likely placed when bones defleshed ,Child 3-13,Indeterminate (Child),Disarticulated,Fragment(s),Unknown,N/a,Unknown
72097,71019,,Cremation,Cremation of young person c 18 years old with macehead and burnt pig bone and bone pin ,Subadult 14-18,Unknown,In-situ,Complete,Unknown,Unknown,Unknown
72098,71020,,Inhumation,2 Extended young people. Feet of younger person next to head of older. Possible cushion stone or large sandstone nodule -burnt- at right knee of older person (which is this one) Adolescent partly overlies younger child ,Subadult 14-18,Male,Articulated,Complete,Supine (extended),SW-NE,Unknown
72098,71021,,Inhumation,2 Extended young people.8-10 years old this one  Feet of younger person next to head of older.  Hands to waist;. This one was accompanied by a pin & scraper,Child 3-13,Indeterminate (Child),Articulated,Complete,Flexed (facing left),NE-SW,Unknown
40131,71022,,Cremation,Unurned  cremation of woman with very fine pot with highly decorated lid accompanying her - work of art!,Adult 19-39,Female,Unknown,Unknown,Unknown,Unknown,Unknown
72100,71024,,Inhumation,Adult female with urinary calculus at pelvis - size of a horse bean. Bronze awl at head. ,Adult 19-39,Female,Articulated,Unknown,Crouched (facing right),NE-SW,Unknown
40138,71025,,Cremation,Broken and disturbed bones of an adult and a young person with broken Collared Urn - scattered ,Child 3-13,Indeterminate (Child),Unknown,Unknown,Unknown,Unknown,Unknown
72101,71026,,Inhumation,male that was very tall and c 20-25 years old. On left side with flint scraper at head. Hands in front of chest,Adult 19-39,Male,Articulated,Unknown,Crouched (facing left),E-W,Unknown
72102,71027,,Inhumation,Male c. 35 years old with left arm over stomach. Well made flint knife behind head,Adult 19-39,Male,Articulated,Unknown,Crouched (facing right),SW-NE,Unknown
40141,71028,,Inhumation," burial of a child c. 2-3 years old, (like previous one). Hands to face and bone pin at shoulders ",Infant <3,Indeterminate (Child),Articulated,Almost complete,Crouched (facing left),S-N,Unknown
40141,71029,,Inhumation,1m SW of centre of ground surface was inhumation of older woman with arms crossed on stomach and Food Vessel crushed under large flint block which was in front of face and lots of burnt matter. Note there were Collared Vessel sherds in the grave fill,Old Adult >40,Female,Articulated,Unknown,Crouched (facing left),NE-SW,Unknown
40141,71030,,Inhumation,"5m SW of centre on ground surface - decayed remains of aged male with scraper at head and lots of animal bones - ox, goat, sheep & pig bones above burial - feast",Old Adult >40,Male,Decomposed/Degraded,Unknown,Unknown,N/a,Unknown
72103,71031,,Inhumation,central interment in shallow pit cut into ground surface. Head rested on left hand. Young woman 18-22 years old on left side. Food Vessel in front of face ,Adult 19-39,Female,Articulated,Unknown,Crouched (facing left),NE-SW,Unknown
72067,71032,,Cremation,"<Birchall 1965, 299>: calcined bones and ashes",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Aylesford Swarling
72068,71033,,Cremation,"<Bushe-Fox 1925, 4>: Highly calcined bones, apparently those of a young child, and some wood ash.",Child 3-13,Unknown,Unknown,Unknown,Unknown,Unknown,Aylesford Swarling
72069,71034,,Cremation,"<Whimster 1981, 478>: Broken and partially or unburnt bones of a child",Child 3-13,Unknown,Unknown,Unknown,Unknown,Unknown,Aylesford Swarling
