Site_ID,GID,Grave_hierarchy,Formality_factor,HER_grave_montype,Grave_type,Grave_orientation,Grave_description,Number_object_records,Number_hr_records,Giles_2012_catalogue_number,Gg_summary,Hr_summary
50179,50179,,1,,Pit,Unknown,"<Jubiliee Corner, Ulcombe (Aldridge 2005, 176 Cremation 1)>: Cremation pit cut into the southern wall of an iron smelting furnace. The cremated human bone and an iron one-piece rod bow brooch were contained within a burnished grog-tempered vessel (Aldridge 2005, 176 Cremation 1).",2,1,,"Pot [Belgic-Related Tradition (Other specified type)], Brooch (Specified type)",Cremation
50180,50180,Primary,1,,Pit,Unknown,"A double Beaker burial in a pit , each with its own complete beaker, was discovered only 140m to the south-west during the CTRL works,  NOte 600 pieces of struck flint were also recovered from this pit which is unusual ",4,2,,"Pot [Beaker], Pot [Beaker], Pot [Beaker], Assemblage","Inhumation, Inhumation"
50181,50181,Primary,,,Grave,Unknown,In 1st barrow the central  grave contained a collection of flint tools and a bronze object (too corroded for identification). No bone identified though and likely had totally decomposed ,3,1,,"Pot [Beaker], Flake, Unknown Object",Inhumation
50185,50185,Primary,,,Pit,Unknown,Pit cut into old ground surface,3,1,,"Arm Guard/Bracer, Pot [Beaker], Arrowhead [Barbed and Tanged]",Inhumation
50188,50188,Primary,1,,Grave,NE-SW,"Substantial rectangular grave cut with vertical sides (c. 2.55m by 1m), orientated north north-west south south-east. 'it appeared that time and care had been taken in its construction'. The grave was placed within a square-ditched enclosure, the ditches of which probably created the spoil for a low barrow mound covering the burial. The body was contained within a rectangular decayed container (probably a wooden coffin). A small charcoal-rich pit with a small amount of unidentified burnt bone in the fill was cut into the upper grave fill and could represent a further pre-mound burial. Given the inconclusive nature of the evidence this is not recorded as an additional burial here.The main grave goods included a badly corroded sword (with three suspension rings and an oak scabbard with a decorated mouth guard), aligned along the right side of the body with the hilt at his/her shoulder and the tip towards the feet; a spear (of which only the spearhead and fragments of mineralised wood from the socket survived), thrust diagonally across the body into the south-east wall of the grave; and a Gallo-Belgic butt-beaker, placed tidily at the north-east corner of the grave, outside container. The latter was associated with an area of 'decayed organic material' probably a food offering. Fragments of an East Sussex eyebrow pot found within the grave fill were not convincing as grave goods (Stevenson 2013, 152-8). No rivets were observed in the xray of the circular stain (potentially a shield) observed above the body upon excavation, hence it is not recorded here.<Celtic Art db>",7,1,,"Spearhead, Sword, Pot [Gallo-Belgic Ware (Specified type)], Coffin, Food Residue, Scabbard, Strap fitting",Inhumation
50189,50189,Primary,1,,Pit,N-S,"1ry burial only from central grave in ring ditch C10082. sub-rectangular and vertically sided grave, 0.86 m deep and aligned N-S.",1,1,,Pot [Food Vessel],Inhumation
50191,50191,,1,,Pit,NE-SW,"Burial W1411 (Riddler and Trevarthen 2006, 16): Inhumation burial in grave with carinated bowl.Truncated sub-oval, irregular shape, cut away at southern end by later grave (GID72179). Sinuous sides tapering to post hole at the northern end- possibly a marker post 1409. The grave contained only 3.3g redeposited cremated human bone from a subadult-adult of indeterminate sex (>13 years). A grog tempered carinated bowl with traces of burnish on both surfaces and a wiped interior was found on the base of the grave (Riddler, McKinley and Skittrell 2006, 6).The pot was dated to the 4th-5th century BC (Riddler and Trevarthen 2006, 16)",1,2,,Pot (Unknown/Unspecified),"Inhumation, Cremation"
50208,50192,,,PIT,Grave,NE-SW,"St Stephen's College, N Foreland Flat Grave (Perkins 1999): Crouched burial of an adult. cranial - pelvic axis 350° NNW, skeletal material in very good condition. Grave pit cut squareish at southern end. round at north. Length l .25 rn., width 0.78rn., max depth 0.45 m. Possible 'cocooning' with chalk silt about pelvis and feet.The chalk cocoon is focused closely around the tightly flexed legs and pelvis and could relate to some form of binding or shroud.",1,1,,Wrap,Inhumation
50193,50193,,1,,Pit,Unknown,"Ellington School MBA urned cremation burial F25 (Boden 2006, McNee 2012): MBA urned cremation burial. No further details available.",1,1,,Pot [Deverel-Rimbury  (Unknown/Unspecified)],Cremation
50194,50194,,1,,Pit,Unknown,"Cremation pit c. 0.9m x 0.5m. The cremated bone was concentrated in the base of a collared urn, placed on the bottom of the pit. Many fragments from the same vessel were recovered from the fill of the pit. A single worked flint was also recovered from within the vessel (Boast et al. 2011, 42).",3,1,,"Pot [Collared Urn], Disc, Flake",Cremation
50196,50196,,1,,Pit,Unknown,"Macknade Farm (Allen 2008, 9) Cremation burial 27: An urned cremation burial was exposed in the north-western part of Trench 6. The cut of the cremation pit (CRN 27) was circular with a diameter of 0.52m. The wall of the cremation vessel (CRN 26), which was plough truncated, was 5mm thick, in black fine ware tempered with fine, calcined flint grits. The vessel survived to a height of 0.24m, had a diameter of 0.38m and its fill (CRN 26) consisted of highly :fragmented calcined human bone. The cremation pit fill (CRN 25), which surrounded the vessel, consisted of mid orange-brown re-deposited brickearth.",1,1,,Pot [Belgic-Related Tradition (Unknown/Unspecified)],Cremation
50199,50199,Primary,1,GRAVE,Grave,N-S,"Triple burial in flat grave. Oval grave c 1.6m long N-S & 1.1m E-WGrave (Group 40557) containing the inhumed remains of two adults, cut into the east facing slope of the hill overlooking the Wrotham Road dry valley at the east end of the site. The poorly preserved and fragmentary remains of a child (only c 20% of the skeleton hadsurvived) were also found in the upper fill of the grave (1069). The child was between 3 and 5years old and the remains had been disturbed, possibly by animals.THis grave has been revisited or the upper male burial has been redeposited from elsewhere, hence explaining the discrepancy in dates. He is only partial and his skull is upturned ",2,3,,"Pot [Beaker], Pot [Beaker]","Inhumation, Inhumation, Inhumation"
50200,50200,,,,Pit,Unknown,a small circular pit was a Collared Urn cremation ,1,1,,Pot [Collared Urn],Cremation
50201,50201,,1,,Pit,Unknown,"Isolated cremation burial (2013), contained within an urn, located on higher ground towards the eastern side of the site near the Northumberland Bottom army camp (Figure 28). The urn consisted of 25 sherds of base/base core and abraded body sherds in a flint tempered fabric, unique for this site, of middle to late Bronze Age date. Within the urn were cremated human remains with identifiable fragments of skull, upper limbs and lower limbs, although further analysis on the bone was not possible (Askew 2006, 16). ",1,1,,Pot [Deverel-Rimbury  (Unknown/Unspecified)],Cremation
50203,50203,,1,,Pit,Unknown,"<75 The Street, Hawkinge (Thorne 2006, 19) Cremation Set II>: The cremated bone was placed in a round-bodied wheelmade jar with a corrugated neck and faint burnished decoration on the shoulder (Thompson 1982, 133--42 form B2-4). It is highly fragmentary so the diameter and height are unknown; this form is typical of the 1st century BC or later, including the post-conquest period (ibid 133).The cremation urn was accompanied by a complete handmade bowl with a corrugated neck and an angular carination at the shoulder and a band of diagonal burnished lines on the shoulder. The neck has been burnished. The fill of this vessel did not contain any bone, just one small fragment of charcoal.Hr: c. 800g cremated human bone from an adult (Sibun in Thorne 2006, table 4)",2,1,,"Pot [Belgic-Related Tradition (Other fineware vessel)], Pot [Belgic-Related Tradition (Other fineware vessel)]",Cremation
50208,50208,,1,,Grave,Unknown,"<Museum of Thanet's Virtual Museum, North Foreland Barrow III, 1999, Burial 1 (internal barrow burial)> The bones which remained in the central rectangular grave indicated that they belonged to an adult of approximately 25-35 years of age. The body had been laid in a crouched position with the head to the south, facing west.The grave was only around 0.30m deep, but the surviving soil backfill suggested that the body may had been laid within a wooden coffin-structure (Boast, Gardner and Moody 2006).Diack (2001) notes that a primitive cairn of irregular flagstone blocks overlay the burial (not gg)",1,1,,Coffin,Inhumation
50213,50213,Primary,1,,Pit,N-S,"Large pit and possibly inhumation  in a coffin or hollowed log (or timber structure) ; aged over 45. This pit grave was cut at its NE end by a second burial pit of a femaleLarge central pit was 2.58m long and 2.08m wide and 0.45m deep, oriented N-S and cut into Northern end by later burial, but this was done carefully so as not to disturb primary burial l ",7,1,,"Arrowhead [Barbed and Tanged], Pot [Beaker], Flake, Coffin, Bead(s), Arrowhead [Barbed and Tanged], Arrowhead [Barbed and Tanged]",Inhumation
50214,50214,,1,CREMATION BURIAL,Pit,Unknown,"Cremation Burial 6, Context 27, Sample 18 (1550 – 1350 BC) (Cichy and Allen 2013, 26):This was the only mostly undisturbed Middle Bronze Age cremation, although it was plough damaged. It was also the only cremation of this period to occupy the area contained by the ring-ditch. From a matrix of moderately compacted, mid-brown clay silt 29 flint tempered potsherds from a single vessel, along with calcined human cranium and long-bone fragments were recovered.",1,1,,Pot [Deverel-Rimbury  (Unknown/Unspecified)],Cremation
50215,50215,,1,CREMATION BURIAL,Pit,Unknown,"Cremation Burial 1, Context 13, SF 3 (50 BC – AD 75) (Cichy and Allen 2013, 26):Roughly circular in plan with sloping sides and a flat base (c. 0.34m in diameter, 0.1m deep). It contained the truncated remains of a single dark grey, grog-tempered bowl, placed upright on the base of the pit. This held fragments of burnt human bone.",1,1,,Pot [Belgic-Related Tradition (Coarseware)],Cremation
50216,50216,,1,,Pit,Unknown,"East Kent Access Route (Zone 6, Burial 170673): Urned cremation burial of a young baby (c. 4-5 months old) comprising cremated bone and redeposited pyre debris, placed in inverted bucket-shaped jar within a circular grave pit (c. 0.4m diamiter, 0.4m deep) (Andrews et al. 2015, Burial 170673, 84).",1,1,,Pot [Deverel-Rimbury (Bucket Urn)],Cremation
50217,50217,,1,,Grave,NE-SW,"East Kent Access Route (Zone 7, Burial 136139): NE-SW aligned sub-rectangular grave c. 1.78m x 0.62m x 0.11m. The poorly preserved adult inhumation was buried with a cu-alloy ring and an iron object, possibly a nail (Andrews et al. 2015, 141 Burial 136139).",2,1,,"Ring (Hand/Toe/Ear), Nail",Inhumation
50220,50220,,1,PIT,Pit,Unknown,"East Kent Access Route (Zone 13, Burial 200062): Burial of an older adult man in the second, peat-like fill of four fills of a MIA pit (c. 1.45m x 1.40m x 1.02m). A pot, one whole shale armlet and a fragment from another, and two (or possibly three - the published report gives different accounts) spindle whorls were placed in front of his torso. The pot was inverted over the other items. An iron rod shank was also recovered from the same area (Andrews et al. 2015, Burial 200062, 164).",6,2,,"Pot (Unknown/Unspecified), Armlet, Armlet, Spindle Whorl, Spindle Whorl, Unknown Object","Inhumation, Cremation"
50221,50221,Unknown,1,,Pit,NW-SE,"East Kent Access Route (Zone 21 Barrow 194137): One of four burials in pits under a barrow or ring ditch.The grave goods included a highly unusual triple pot of FV tendency.The triple pot accompanied a woman aged c. 17–20 years old. She lay on her side with flexed limbs, and the pot was standing by her right elbow. A conical amber button was found near her head, and fragments of copper alloy may come from a small pin.This grave is 1.7 x 1.07m and 0.5m deep, and sub-rectangular in shape (Andrews et al. 2015 Burial 246134/246136, 52, fig 2.17).",3,1,,"Button, Pin (Unknown/Unspecified), Pot [Food Vessel]",Inhumation
50222,50222,,1,,Pit,Unknown,"East Kent Access Route (Zone 21 other burials): Isolated urned cremation burial located 10m to the south of a cemetery of six unaccompanied Middle Bronze Age inhumations. The cremated remains of an 8-9 year old child, together with fragments from another person were contained within an upright E/MBA bipartite jar. The grave pit was sub-circular (c. 0.72m x 0.72m x 0.65m deep) (Andrews et al. 2015 Burial 125220, 52, 111).",1,2,,Pot [Deverel-Rimbury  (Unknown/Unspecified)],"Cremation, Cremation"
50224,50224,,1,,Unknown,Unknown,"One of three 'Belgic' cremations excavated during building works in 1954.  No contextual details are given beyond the note that 'scattered Belgic cremations' were found in the vicinity of a Belgic hut. Additionally,'the ashes were inurned in native butt-beakers and in one grave a second beaker accompanied the burial' (Frere et al. 1987, 45).This record represents the grave with both a butt-beaker and a small cordoned jar (Frere et al. 1987, fig. 76, 203).",2,1,,"Pot [Gallo-Belgic Ware (Specified type)], Pot [Belgic-Related Tradition (Other specified type)]",Cremation
50225,50225,Unknown,1,,Pit,Unknown,"Cremated bones contained within a pedestal urn, set upright in a small hole. The cremation pit was cut into a 1st century BC roundhouse gully and was cut itself by a later LIA round house gully (Blockley et al. 1995, 36-7).",1,1,,Pot [Belgic-Related Tradition (Pedestal Urn)],Cremation
50226,50226,,1,,Unknown,Unknown,"St John's Lane, Canterbury (Blockley 1988): Crouched burial of a young adult woman. She was wearing an iron bangle. No further info available.",1,1,,Bracelet/Bangle (Unknown/Unspecified),Inhumation
50228,50228,,1,CREMATION PIT,Pit,Unknown,"Church Hougham (Parfitt 1998): A small circular pit containing an inverted pottery vessel covering a cremation burial was discovered near Church Hougham. The vessel has been provisionally identified as a Deverel Rimbury type bucket urn, of Middle Bronze Age date.",1,1,,Pot [Deverel-Rimbury (Bucket Urn)],Cremation
50230,50231,,1,,Grave,N-S,"Thanet Earth, Barrow 1, Plateau 6, Central burial G6004 (Rady and Holman forthcoming, 865):SK 6.1: Articulated inhumation; moderately preserved (Grade 3) with over 75 per cent of the individual present.C6025; S6026; G6004; Plateau 6DemographyMNI: 1Age: 30–44 yearsAge Category: Old Middle AdultSex: MaleStature: 171–187 cmPathological Categories: Congenital/Developmental, Dental and Enthesopathy/MSM’s.Pathological Description: Exaggerated musculoskeletal attachment sites throughout the long bones, probably from stress at these areas. The L5 was also partly fused to S1. Dental calculus is present on buccal and lingual of almost all teeth surfaces as a ridge at the cement enamel junction. Retained deciduous right incisor and bilateral congenital absence of the second premolar.Ritual? Initial rites: stone wrist guard beside the left arm may well have been worn; a spacious sub-rectangular grave cut (2.57m by 2.06m with stepped sides becoming steep to vertical to flat base, 0.84m deep), centrally located within ring ditch.Orientation: N–SPosture: crouched position on the left side, with the head to the N facing E; left arm contracted with hand near mouth.Probably set within timber coffin/grave lining.Grave goods: a copper dagger (SF 6.33) underneath the right scapula; a stone wrist guard (SF 6.34) beside the left arm, and a beaker pot (SF 6.9000) at the feet; a large gap between the skeleton and the edge of the grave to the south.Commemoration: double ditched barrow monument.",4,1,,"Liner, Dagger (Unknown/Unspecified), Arm Guard/Bracer, Pot [Beaker]",Inhumation
50233,50233,Unknown,1,,Grave,N-S,"Lyminge Beaker burial (Thomas and Knox 2015, 3): crouched inhumation burial on an N-S alignment accompanied by grave goods - a Beaker pot and a perforated bone ‘toggle’. Both the skeleton and associated grave goods were crushed and in a poor state of preservation due to the severity of truncation of the contemporary ground level. ",2,1,,"Pot [Beaker], Toggle",Inhumation
50235,50235,,1,CREMATION PIT,Pit,Unknown,"Cremation burial, represented by a damaged (both in prehistory and by the plough) inverted biconical urn with some cremated remains. Note that two pits nearby contained possible pyre debris with oak-rich charcoal.",1,1,,Pot [Biconical Urn],Cremation
50238,50238,,1,,Unknown,Unknown,"Portions of a 'LBA' cinerary urn of this period containing calcined bones and ash. Close at hand an undoubted Bronze Age arrowhead was retrieved, also a biconal holed hammer or adze of diorite, belonging to this same period (Worsfold 1926, 230).Collared Urn ",2,1,,"Pot (Unknown/Unspecified), Arrowhead (Unknown/Unspecified)",Cremation
40000,40000,Primary,1,,Pyre (Pit),Unknown,"One of ?several crematorium trenches. Fire started at E end; infilled with burnt chalk, 1 sherd pot, charcoal & bones of an adult and a child that were part burnt and part inhumed",2,3,,"Pot [Grimston Ware], Pot [Grimston Ware]","Mixed, Mixed, Cremation"
40001,40001,,1,,Grave,N-S,"Arras (Stead 1979) Grave A1: Grave architecture: deep grave pit; orientation N-S (f?); E Yorks Burial Type C;Arras (Stead 1979) Grave A1: Human remains: Inhumation burial; orientation; N-S (f?); age: mature adult; sex: ?male; position: flexed/ crouched; biographical details: Skeleton described as ""that of an old man"" (Stillingleet 1846:28-30);Arras (Stead 1979) Grave A1: Objects: wood: cart; gold: n/a; cu-alloy: n/a iron: cart fittings (14) (on upper/lower torso, around body); stone: n/a; amber: n/a; ceramic: n/a; glass: n/a; animal bone: pig (skull) (x2) (on or by the head), horse (x2) (around the body); flint: n/a; biographical details: The 2 terrets that survived are not an exact pair.NB since the 'cart fittings' clearly also included 'horse gear' a separate object record is made here to represent the 'horse gear'.",7,1,,"Chariot/Cart, Chariot/Cart Fitting (Unknown/Unspecified/Set), Animal Joint/Part [Head], Animal Joint/Part [Head], Animal Burial (Specified type), Animal Burial (Specified type), Horse Gear (Unknown/Unspecified/Set)",Inhumation
40002,40002,Primary,1,,Ground surface ,Unknown,"6m SE of centre on ancient turf line (ground surface)  were  5 skeletons (2-6); close together, 3 adults, one youth and one child. With a possible trophy violently traumatised skull. Grave goods only situated close to two of the burialsNote there were also literally hundreds of frog and toad bones with these burials (could be later but also could relate to pit falls at the time, implying grave was left open or not fully sealed at the time) ",2,2,,"Animal Bone (Other), Pot (Unknown/Unspecified)","Inhumation, Inhumation"
40003,40003,,1,,Missing,Unknown,"No contextual details are available. A miniature collared urn found nested within a larger vessel (of an unspecified type) containing the burnt remains of a young child.Sheppard's (1949, 3) account of the find suggests that: 'The reason for these miniature cinerary urns found inside larger ones, suggests that ... a mother has been buried with the remains of her child - the very small vases indicating that probably the mother died in child-birth, the cremated remains of the baby being enclosed in the small urn, and placed with the bones of the parent, so that when they both awoke in the next world they would be together'.",2,1,,"Pot [Miniature/Pygmy Vessel], Pot [Collared Urn]",Cremation
40004,40004,Primary,1,,Pit,Unknown,"Large central oval grave 3.5m diameter & 1.3m deep. In W end was heap of burnt bones of child with 2 knives, bone pin & 2 Food Vessels. pots no trace of fire but other grave goods do; mixture of pyre. In central pit near to the central Food Vase were small pieces of the decayed bones of another child sticking to sides of boulders. In central pit near to the third Food Vase were small pieces of the decayed bones of a child. All children seemingly buried close to each other at the same time",7,3,,"Knife, Knife, Knife, Pin (Unknown/Unspecified), Pot [Food Vessel], Pot [Food Vessel], Pot [Food Vessel]","Cremation, Inhumation, Inhumation"
40185,40005,,1,,Grave,E-W,"Huntow/Grindale (Stead 1979) Grave HT1: Grave architecture: n/a; orientation n/a; E Yorks Burial Type n/a;Huntow/Grindale (Stead 1979) Grave HT1: Human remains: none;Huntow/Grindale (Stead 1979) Grave HT1: Objects: wood: n/a; gold: n/a; cu-alloy: long flat bow brooch (LT II-III) (type C/type 5) (1), brooch on broad feet type L/type 8 (penannular, LT II-III) (2); iron: n/a; stone: n/a; amber: n/a; ceramic: n/a; glass: n/a; animal bone: n/a; flint: n/a; biographical details: Grindale Barrow 2 (Manby 1980): A square ditched barrow of Arras Culture type, 13.5m by 15m internally. A central rectangular grave had been excavated in the 19th century (see above).grave: rectangular, E-Wgg: The undisturbed remains of a suckling pig were recovered from the south-east corner of the grave",4,1,,"Brooch (Specified type), Brooch (Specified type), Brooch (Specified type), Animal Burial (Specified type)",Inhumation
40006,40006,Primary,1,,Pit,Unknown,In small pit near centre of the barrow  - 1m away from a second one. ,2,1,,"Arrowhead [Barbed and Tanged], Pot [Incense Cup]",Cremation
40008,40008,Unknown,1,,Pit,NW-SE,"Possibly primary burial as it is the central wood-lined grave but it may have been sunk later and disturbed other burials. 17 year old female. Hands to face, jet necklace round neck; ochre by body",3,1,,"Unknown Object, Bier, Necklace",Inhumation
40009,40009,Primary,1,,Cist,E-W,"Under barrow was remains of a  cist, at the centre of which was a wood-lined grave containing the inhumation of a childCentral grave 1.5m long and 0.6m wide - wood lined and covered with stakeholes ",2,1,,"Pot [Food Vessel], Bier",Inhumation
40010,40010,Secondary,1,,Pit,W-E,"Oval grave towards the centre of the barrow and cut into ground surface. Under heap of cremated bones (deposit A) was a young woman (burial 1) in oval grave. FV in front of face . Almost central and very tightly crouched. This oval grave also contained four other adult burials - two inhumations (buriasl 2 and 3), two cremation burials (burials B and a deposit at the foot of burial 2), two of these with gg. ",10,5,,"Knife, Awl, Pot [Food Vessel], Animal Joint/Part [Tooth/Tusk/Horn/Antler], Knife, Pot [Food Vessel], Awl, Necklace, Pot [Food Vessel], Pot [Beaker]","Inhumation, Cremation, Inhumation, Inhumation, Cremation"
40011,40011,Primary,1,,Pit,NE-SW,central shallow grave lined with wood was a body of adult,4,1,,"Animal Bone (Other), Liner, Flake, Pot [Food Vessel]",Inhumation
40012,40012,,1,,Grave,N-S,"Nunburnholme Wold, Pocklington (Halkon et al. 2014-2016) Grave Nun2 (BC2): Grave architecture: square ditched enclosure, deep grave pit; orientation N-S (fE); E Yorks Burial Type A;Nunburnholme Wold, Pocklington (Halkon et al. 2014-2016) Grave Nun2 (BC2): Human remains: Inhumation burial; orientation; N-S (fE); age: mature adult; sex: male; position: crouched; biographical details: Suffered arthritic joints and had lost the majority of his teeth during his lifetime; Nunburnholme Wold, Pocklington (Halkon et al. 2014-2016) Grave Nun2 (BC2): Objects: wood: coffin; gold: n/a; cu-alloy: n/a iron: n/a; stone: n/a; amber: n/a; ceramic: n/a; glass: n/a; animal bone: pig (by feet); flint: n/a; biographical details: ",2,1,,"Coffin, Animal Bone (Other)",Inhumation
40013,40013,Primary,1,,Cist,Unknown,A  vault of chalk blocks containing a beaker burial was found c 0.3m below the surface. This sounds like a chalk cist May have been a decomposed timber revetment/ coffin or structure hence creating this chalk vault effect ,1,1,,Pot [Beaker],Inhumation
40014,40014,Primary,1,,Pit,Unknown,Shallow hole under barrow containing primary Collared Urn cremation. Note other burials may have been missed ,1,1,,Pot [Collared Urn],Cremation
40015,40015,Primary,1,,Pit,Unknown,Circular hole scooped 6 inches into ground with cremated adult bones and bone pin; disturbed by later Saxon interments ,1,1,,Pin (Unknown/Unspecified),Cremation
40016,40016,Primary,1,,Pit,Unknown," large central grave with three crouched inhumations, only one has grave goods. One unfurnished burial is on its back; knees pulled up. Person of middle age",2,1,,"Core, Pot [Collared Urn]",Inhumation
40017,40017,Primary,1,,Pit,N-S,"Large central gave in barrow - nearly 5m long and 1.8m wide and 0,6m deep with crouched male and accompanied by several animal burials ",3,1,,"Animal Burial (Specified type), Animal Burial (Specified type), Animal Burial (Specified type)",Inhumation
40018,40018,Primary,1,GRAVE,Pit,Unknown,In pit and in situ pyre with burnt bones of an adult with a small incense cup in centre of bones (Burial 1) ,1,1,,Pot [Incense Cup],Cremation
40020,40020,,,,Grave,Unknown,Dismembered or redeposited burial of an adult with animal bones and flint; unfortunately not easy to date due to lack of strictly typologically precise grave goods (mainly flint and animal bone); could be Neolithic?Grave very mixed up and had also been damaged by rabbits ,1,1,,Animal Joint/Part [Head],Inhumation
40021,40021,Primary,1,,Pit,N-S,Largish central grave with double burial ,2,2,,"Animal Joint/Part [Tooth/Tusk/Horn/Antler], Pot [Food Vessel]","Cremation, Inhumation"
40022,40022,Unknown,1,,Pit,Unknown,Pit at centre of mound ,1,1,,Animal Bone (Other),Inhumation
40023,40023,Primary,1,,Grave,Unknown,In flat grave with stone bracer and belt ring. No traces of a mound or barrow,3,1,,"Strap fitting, Arm Guard/Bracer, Pot [Beaker]",Inhumation
40024,40024,,1,,Grave,Unknown,"Bugthorpe (Stead 1979) Grave BG1: Grave architecture: ; orientation n/a; E Yorks Burial Type n/a;Bugthorpe (Stead 1979) Grave BG1: Human remains: Inhumation burial; orientation; n/a; age: n/a; sex: not determined; position: n/a; biographical details: n/a;Bugthorpe (Stead 1979) Grave BG1: Objects: wood: ?shield; gold: n/a; cu-alloy: scabbard, beads (2) iron: sword; stone: n/a; amber: n/a; ceramic: n/a; glass: n/a; animal bone: n/a; flint: n/a; biographical details: Weapon burial. The 2 bronze discs contain red glass ornaments were described as possible brooches by 19th antiquarians  (Greenwell 1877: 50, n1; Thurnam 1871:457) but are parts of a shield mount (Stead 1979:59-60 raised this possibility, and see Fitzpatrick 1996:69-71 for a 'confirmation').",3,1,,"Shield, Scabbard, Sword",Inhumation
40027,40027,Primary,1,,Pit,Unknown,In pit with no mound or cover with Beaker (another burial found close by but was unfurnished) ,1,1,,Pot [Beaker],Inhumation
40028,40028,Unknown,1,,Pit,Unknown,"Barff hill, Brandesburton: two Bronze Age food vessels and an accessory cup were recovered during quarrying in the 1930s. Manby (1973) notes that their associations were not recorded but they were almost certainly associated with inhumation burials. An MNI of one inhumation burial and the three vessels are recorded here.",3,1,,"Pot [Food Vessel], Pot [Food Vessel], Pot [Miniature/Pygmy Vessel]",Inhumation
40029,40029,Primary,1,,Pit,Unknown,Flat grave or pit with no discernible barrow/ mound. ,2,1,,"Knife, Pot [Beaker]",Inhumation
40031,40031,,1,,Missing,Unknown,Bishop Burton (YAS record card info): Findspot of a bucket-shaped urn containing a few cremated bones and two pieces of a bronze object. ,2,1,,"Pot [Deverel-Rimbury (Bucket Urn)], Unknown Object",Cremation
40032,40032,Primary,1,,Pyre (Pit),NE-SW,"In situ pyre cremation at centre of barrow in pit 0.7m at depth of 0.25m. Greenwell says body was burnt in crouched position on funeral pyre on R side, & bones still in place. Yet very small pit ",3,1,,"Animal Joint/Part (Other specified part), Pot [Urn (Unknown/Unspecified)], Awl",Cremation
40033,40033,Primary,1,,Pyre (Pit),Unknown,Burnt in central pit 1m wide and 0.22m deep - in situ burning,2,1,,"Flake, Pot [Miniature/Pygmy Vessel]",Cremation
40034,40034,Primary,1,,Pit,Unknown,Oval grave 1.2m x 0.6m x 0.6m deep to south of centre NB cremation burial potentially contained in a bag,1,2,,Knife,"Cremation, Cremation"
40035,40035,Unknown,1,,Pit,Unknown,"South Cave, Everthorpe: Food vessel, human bones and worked flint rescued from a gravel pit.",2,1,,"Tool (Unknown/Unspecified), Pot [Food Vessel]",Inhumation
40036,40036,,1,,Unknown,Unknown,"Crouched inhumation with three early Iron Age finger-rings, two in position on left hand.",3,1,,"Ring (Hand/Toe/Ear) [Ring (Finger)], Ring (Hand/Toe/Ear) [Ring (Finger)], Ring (Hand/Toe/Ear) [Ring (Finger)]",Inhumation
40037,40037,Primary,1,,Pit,N-S,A ditch with an external bank enclosed a circular area of gravel 9m across with the bones of a crouched adult inhumation at its centre. Very shallow grave or possibly just the original grounfd surface (erosion) There was a hearth1.5m  to its east also contained within barrow ,1,1,,Pot [Collared Urn],Inhumation
40038,40038,Primary,1,,Pit,Unknown,In shallow off-central grave in barrow. Note a Food Vessel was inserted into the barrow mound along with a flint arrowhead ,2,1,,"Button, Pot [Beaker]",Inhumation
40039,40039,,1,,Pyre (Ground Surface),Unknown,"Manby 1980, 352, Kilnsea Warren: LBA/IA urned cremation, found without contextual information beyond the observation that 'near the complete urn were a number of cobbles which appear to show signs of burning'. The following items were recorded (illustrated in Wenham 1960):1. (Fig. 9b) Urn of coarse, buff, hand-made pottery, flat rimmed, shallow finger grooves on upper part: about 11 ins. in height. No decoration. LBA or Early IA A.2. (Fig. 9a) Large urn about 13 ins. in height, well baked, buff, coarsely gritted pottery; round rim, carinated shoulder: blackened on outside: Early IA A.3. (Not illustrated) Sherd of early I.A. pot with large grits: everted rim.4. (Not illustrated) Sherds, coarse, thick, fired buff and grey. Most of these may be part of the base of number 2 but one piece which is 1 1/2 ins. thick is perhaps rather a fragment of an oven or burnt daub. (1)The second and third vessels were both found at least 10m away from the urn with the cremated bone so are not recorded as grave goods",1,1,,Pot [Urn (Unknown/Unspecified)],Cremation
40040,40040,,1,,Ground surface ,SW-NE,"Cowlam/Cottam, Stead (1986) Grave A (Greenwell (1877) Barrow LIV): Surface burial within square ditched enclosure.Dubious gg (pot sherds in grave fill). Flint flake (also within grave fill) not recorded as gg.",1,1,,Pot (Unknown/Unspecified),Inhumation
40041,40041,Primary,1,,Pit,Unknown,Central grave in barrow over 2.2m in diameter and 1.2m deep,2,1,,"Knife, Scraper",Inhumation
40042,40042,Primary,1,,Pit,Unknown,Central barrow grave with disturbed remains of an adult in an oak coffin,1,1,,Coffin,Inhumation
40043,40043,Primary,1,,Platform/pavement,E-W,Placed as a primary insertion on a pavement or platform  under barrow (Burial 4) ,2,1,,"Macehead, Pot [Grimston Ware]",Inhumation
40044,40044,Primary,1,,Pit,SE-NW,In central oval grave placed at SE end of grave. Large grave 2.6m E-W by 1.8m N-S; slight disturbed by later grave cutting its northern end ,4,1,,"Axe/Axehead [Axe (Perforated)], Scraper, Scraper, Unknown Object",Inhumation
40045,40045,Primary,1,,Ground surface ,Unknown,5m SW of centre of the barrow on natural ground surface was the burial of female and skull of a child On ground surface 2m NW of centre was a strongly-built adult male ,3,3,,"Chisel, Scraper, Knife","Inhumation, Inhumation, Inhumation"
