GID_date,C14_date_BP,C14_date_StDev,C14_date_calBC,C14_calibration_programme,C14_calibration_curve,Dating_lab,Lab_date_ID,HER_material_dated,Material_dated,C14_combined,Dating_notes
60265,3000,40,1390 to 1110 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-53174,Charred grain,,Uncal: 3000±40; Cal: 1390 to 1110 cal BC,Reference: Parker Pearson 2002Species: hordeum sppSample desc.: A charred hulled barley grain (4049) from a thin layer of dark brown peaty sand which forms the lowest occupation surface floor layer 2211 in House 1370 (the 108429rthern roundhouse). It is sealed by a make-up layer (2210) and itself seals the foundation pits which include those containing human skeletons 2613 and 2638.Researcher: Parker Pearson 2002Sponsor: Historic ScotlandDate completed: NullDelta-13C: -22.7Delta-13C error: NullDelta-r: NullDelta-r error: NullDelta-15N: 0C-N ratio: 0
60265,2310,65,800 to 150 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-17477,"bone, animal",,Uncal: 2310±65; Cal: 800 to 150 cal BC,"Reference: Parker Pearson 1996Species: bosSample desc.: Cattle lumbar vertebra, part of an articulated spine from a thick layer of clean, wind deposited sand (108 ) sealed beneath c. 30cm of this deposit. The articulated bones were part of a large deposit of smashed pots and animal bones and the layer appears to have accumulated rapidly within an abandoned roundhouse.Researcher: Parker Pearson 1996Sponsor: Historic ScotlandDate completed: NullDelta-13C: -22.1Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60265,2960,75,1400 to 940 cal BC,OxCal 3.10,,"Oxford Radiocarbon Accelerator Unit, England",OxA-3352,"Bone, animal",,Uncal: 2960±75; Cal: 1400 to 940 cal BC,"Reference: Parker Pearson, M; Archaeometry web listSpecies: bosSample desc.: Cattle bone from layer 009Researcher: Parker Pearson, M; Archaeometry web listDate completed: NullDelta-13C: -20.6Delta-13C error: NullDelta-r: NullDelta-r error: NullDelta-15N: 0C-N ratio: 0"
60072,3310,45,1740 to 1490 cal BC,OxCal 3.10,,"Oxford Radiocarbon Accelerator Unit, England",OxA-9865,charred grain,,Uncal: 3310±45; Cal: 1740 to 1490 cal BC,"Reference: Neighbour, TSpecies: hordeum sppSample desc.: Charred barley grain from C.121b, a layer forming part of the kerb cairn construction, from an area with much potteryResearcher: Neighbour, TSponsor: Historic ScotlandDate completed: NullDelta-13C: -22.47Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60072,3325,40,1740 to 1610 cal BC,OxCal 3.10,,"Oxford Radiocarbon Accelerator Unit, England",OxA-9866,charred grain,,Uncal: 3325±40; Cal: 1740 to 1610 cal BC,"Reference: Neighbour, TSpecies: hordeum sppSample desc.: Charred barley grain from C.129a, a low part of the fill of the central cist containing cremated bone and an accessory vessel, and perhaps derived from a fire associated with cremationResearcher: Neighbour, TSponsor: Historic ScotlandDate completed: NullDelta-13C: -23.28Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60072,3295,40,1690 to 1450 cal BC,OxCal 3.10,,"Oxford Radiocarbon Accelerator Unit, England",OxA-9867,charred grain,,Uncal: 3295±40; Cal: 1690 to 1450 cal BC,"Reference: Neighbour, TSpecies: hordeum sppSample desc.: Charred barley grain from C.135a one of the upper layers of burnt material forming the body of the kerb cairn, perhaps derived from a fire associated with cremationResearcher: Neighbour, TSponsor: Historic ScotlandDate completed: NullDelta-13C: -23.4Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60072,3385,45,1870 to 1520 cal BC,OxCal 3.10,,"Oxford Radiocarbon Accelerator Unit, England",OxA-9868,charred grain,,Uncal: 3385±45; Cal: 1870 to 1520 cal BC,"Reference: Neighbour, TSpecies: hordeum sppSample desc.: Charred barley grain from C.135b, one of the layers of burnt material forming the body of the kerb cairn, perhaps derived from a fire associated with cremationResearcher: Neighbour, TSponsor: Historic ScotlandDate completed: NullDelta-13C: -24.51Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60072,3355,45,1740 to 1520 cal BC,OxCal 3.10,,"Oxford Radiocarbon Accelerator Unit, England",OxA-9869,charred grain,,Uncal: 3355±45; Cal: 1740 to 1520 cal BC,"Reference: Neighbour, TSpecies: hordeum sppSample desc.: Charred barley grain from C.181a, one of the layers of burnt material forming the body of the kerb cairn, perhaps derived from a fire associated with cremationResearcher: Neighbour, TSponsor: Historic ScotlandDate completed: NullDelta-13C: -21.51Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60072,3433,39,1880 to 1620 cal BC,OxCal 3.10,,"Oxford Radiocarbon Accelerator Unit, England",OxA-9870,charred grain,,Uncal: 3433±39; Cal: 1880 to 1620 cal BC,"Reference: Neighbour, TSpecies: hordeum sppSample desc.: Charred barley grain from C.181b one of the layers of burnt material forming the body of the kerb cairn, perhaps derived from a fire associated with cremationResearcher: Neighbour, TSponsor: Historic ScotlandDate completed: NullDelta-13C: -22.15Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60072,3418,38,1880 to 1610 cal BC,OxCal 3.10,,"Oxford Radiocarbon Accelerator Unit, England",OxA-9903,charred grain,,Uncal: 3418±38; Cal: 1880 to 1610 cal BC,"Reference: Neighbour, TSpecies: hordeum sppSample desc.: Charred barley grain from C.121a, a layer forming part of the kerb cairn construction, from an area with much potteryResearcher: Neighbour, TSponsor: Historic ScotlandDate completed: NullDelta-13C: -24.07Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60072,4225,85,3050 to 2500 cal BC,OxCal 3.10,,"Oxford Radiocarbon Accelerator Unit, England",OxA-9931,charred grain,,Uncal: 4225±85; Cal: 3050 to 2500 cal BC,"Reference: Neighbour, TSpecies: hordeum sppSample desc.: Charred barley grain from C.129b, a low part of the fill of the central cist containing cremated bone and an accessory vessel, and perhaps derived from a fire associated with cremationResearcher: Neighbour, TSponsor: Historic ScotlandDate completed: NullDelta-13C: -22.57Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60272,2210,40,360 to 180 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,SUERC-5368,"Bone, human",,Uncal: 2210±40; Cal: 360 to 180 cal BC,"Reference: Duffy, PSpecies: homo sapiensSample desc.: A human left ulna (Sample SWA01 SK1) from in situ skeletal material contained within grave fill 009.Researcher: Duffy, PSponsor: Historic ScotlandDate completed: NullDelta-13C: -19.9Delta-13C error: NullDelta-r: NullDelta-r error: NullDelta-15N: 10.3C-N ratio: 3.2"
60183,2815,40,1110 to 830 Cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,SUERC-2086,Wood,,Uncal: 2815±40; Cal: 1110 to 830 Cal BC,"Reference: Duffy, PSpecies: Corylus avellanaSample desc.: A 12 year old piece of hazel wood (Sample 006 Fragment A) from a well humified black peat 005 that containing frequent fragments of wood and lay in the middle of an isolated pit [003]. This peat overlay a black peat (006) and was sealed by a very moist, light brown peat containing frequent fibrous straw-like material (004). The interpretation during excavation was that the hazel wood represents the remains of a lining or basket within the pit.Researcher: Duffy, PSponsor: Historic ScotlandDate completed: NullDelta-13C: -27.4Delta-13C error: NullDelta-r: NullDelta-r error: NullC-N ratio: 0"
60183,2780,35,1000 to 830 Cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,SUERC-2087,Wood,,Uncal: 2780±35; Cal: 1000 to 830 Cal BC,"Reference: Duffy, PSpecies: Corylus avellanaSample desc.: A 12 year old piece of hazel wood (Sample 006 Fragment B) from a well humified black peat 005 that containing frequent fragments of wood and lay in the middle of an isolated pit [003]. This peat overlay a black peat (006) and was sealed by a very moist, light brown peat containing frequent fibrous straw-like material (004). The interpretation during excavation was that the hazel wood represents the remains of a lining or basket within the pit.Researcher: Duffy, PSponsor: Historic ScotlandDate completed: NullDelta-13C: -28Delta-13C error: NullDelta-r: NullDelta-r error: NullC-N ratio: 0"
60077,360,35,cal AD 1440  to 1640,OxCal 3.10,,"Oxford Radiocarbon Accelerator Unit, England",OxA-8482,charred grain,,Uncal: 360±35; Cal: cal AD 1440  to 1640,"Reference: Gilmour & Church 1999, 115Species: hordeum sppSample desc.: A charred barley grain from an ash spread on the main floor level of the Phase 4 cellular feature.Researcher: Gilmour & Church 1999, 115Sponsor: Historic ScotlandDate completed: NullDelta-13C: -24.5Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60077,380,35,cal AD 1440  to 1640,OxCal 3.10,,"Oxford Radiocarbon Accelerator Unit, England",OxA-8483,charred grain,,Uncal: 380±35; Cal: cal AD 1440  to 1640,"Reference: Gilmour & Church 1999, 115Species: hordeum sppSample desc.: A charred barley grain from an ash spread on the main floor level of the Phase 4 cellular feature.Researcher: Gilmour & Church 1999, 115Sponsor: Historic ScotlandDate completed: NullDelta-13C: -24.9Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60027,3095,45,1490 to 1210 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-23264,charcoal,,Uncal: 3095±45; Cal: 1490 to 1210 cal BC,Reference: Downes 1997Species: AlnusSample desc.: Alder charcoal from a cremation deposit adjacent to mound 5. Black-grey silty loam with small pieces of burnt bone cut into grey loam (153) and sealed by brown loam (45). Deposited in purpose-dug cut (437) in a single episode. Deposit appears discrete and mixing unlikely.Researcher: Downes 1997Sponsor: Historic ScotlandDate completed: NullDelta-13C: -28.1Delta-13C error: NullDelta-r: NullDelta-r error: Null
60027,3135,45,1520 to 1260 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-23265,charcoal,,Uncal: 3135±45; Cal: 1520 to 1260 cal BC,"Reference: Downes 1997Species: Corylus avellanaSample desc.: Hazel charcoal beneath barrow 7, from a heap of black carbonised material with burnt bone and  occasional small-medium inclusions. 10cm thick in centre petering out at edges. Lies on (458), a thick layer of clay which sits on the natural. (454) is sealed Context is interpreted as a funerary deposit of a single episode.Researcher: Downes 1997Sponsor: Historic ScotlandDate completed: NullDelta-13C: -25.4Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60027,3035,45,1410 to 1130 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-23266,charcoal,,Uncal: 3035±45; Cal: 1410 to 1130 cal BC,Reference: Downes 1997Species: quercus sppSample desc.: Oak charcoal from a burnt post beneath mound 5 filling a cut (164) into natural. sealed by turf and topsoil. Charcoal found at the base of the pit where it had been burnt in situ.Researcher: Downes 1997Sponsor: Historic ScotlandDate completed: NullDelta-13C: -26.4Delta-13C error: NullDelta-r: NullDelta-r error: Null
60027,3210,50,1610 to 1390 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-4878,charcoal,,Uncal: 3210±50; Cal: 1610 to 1390 cal BC,"Reference: Downes 1997, 115Species: NullSample desc.: Charcoal from a layer of burnt material beneath barrow 7. Well sealed by layer 347 which appears to be contemporary. The pyre sits on the natural.Researcher: Downes 1997, 115Sponsor: Historic ScotlandDate completed: NullDelta-13C: -26.8Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60027,3210,80,1690 to 1310 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-4879,charcoal,,Uncal: 3210±80; Cal: 1690 to 1310 cal BC,"Reference: Downes 1997, 115Species: Corylus avellanaSample desc.: Hazel charcoal from a cist on the periphery of a mortuary structure. The cist is sealed by turf and topsoil. The sample comes from the base of the cist deposit.Researcher: Downes 1997, 115Sponsor: Historic ScotlandDate completed: NullDelta-13C: -27Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60027,3380,90,1890 to 1440 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-4880,charcoal,,Uncal: 3380±90; Cal: 1890 to 1440 cal BC,"Reference: Downes 1997, 115Species: AlnusSample desc.: Alder charcoal from a burnt deposit beneath mound 6 which runs over, around, and two centimetres into the steatite urn, sealing fill (388). (386) is sealed by a clay capping and, with the urn, sits in pit (384) which is cut into the natural. (386) should be the same as (388) i.e. the upper fill of the urn, the difference being it may have been added after the urn was placed. The deposit is protected from above by capping (383).Researcher: Downes 1997, 115Sponsor: Historic ScotlandDate completed: NullDelta-13C: -26.9Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60027,3290,60,1740 to 1430 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-4881,charcoal,,Uncal: 3290±60; Cal: 1740 to 1430 cal BC,"Reference: Downes 1997, 115Species: AlnusSample desc.: Alder charcoal from the main fill of a steatite urn from beneath mound 6 - sealed by (386), the upper fill of the urn which in turn was filled by a layer of clay. The cremated remains were probably deposited in the urn before deposition. Sample derives from base of the deposit within the urn.Researcher: Downes 1997, 115Sponsor: Historic ScotlandDate completed: NullDelta-13C: -28.6Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60027,3460,60,1940 to 1620 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-4884,charcoal,,Uncal: 3460±60; Cal: 1940 to 1620 cal BC,"Reference: Downes 1997, 115Species: AlnusSample desc.: Alder charcoal from a pyre beneath mound 5, in  soft loose yellowish-brown clayey sand with burnt bone, charcoal lumps and cramp which seals a cist slab (377) and burnt clay (376).Researcher: Downes 1997, 115Sponsor: Historic ScotlandDate completed: NullDelta-13C: -27.2Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60027,3390,60,1880 to 1520 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-4886,charcoal,,Uncal: 3390±60; Cal: 1880 to 1520 cal BC,"Reference: Downes 1997, 115Species: Corylus avellanaSample desc.: Hazel charcoal from a cremation beneath mound 5; part of a dump with redeposited natural, dumped on to the natural and sealed by layer of grey clay 167. Material has been burnt elsewhere, and redeposited as found with sandy natural (046) and sealed in by (167).Researcher: Downes 1997, 115Sponsor: Historic ScotlandDate completed: NullDelta-13C: -26.5Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60027,3030,100,1550 to 1000 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-4887,charcoal,,Uncal: 3030±100; Cal: 1550 to 1000 cal BC,"Reference: Downes 1997, 115Species: mixedSample desc.: Hazel and alder charcoal from the fill of a cist beneath SE quadrant of mound 7. Compact black soil contains burnt bone fragments The pit is cut into grey clay and is sealed by another layer of clay 237. Material has been deposited in a single episode in a purpose cut pit sealed above and below by culturally sterile clay.Researcher: Downes 1997, 115Sponsor: Historic ScotlandDate completed: NullDelta-13C: -26.5Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60027,3190,90,1690 to 1260 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-4876,charcoal,,Uncal: 3190±90; Cal: 1690 to 1260 cal BC,"Reference: Downes 1997, 115Species: Corylus avellanaSample desc.: Hazel charcoal from a pit beneath the north west quadrant of mound 7. The fill contains pyre material charcoal and burnt bone. It is sealed by a layer of grey clay (248). The pyre and its contents are presumed to have been burnt in situ in a single episode .Researcher: Downes 1997, 115Sponsor: Historic ScotlandDate completed: NullDelta-13C: -26Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60027,3190,60,1620 to 1310 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-4877,charcoal,,Uncal: 3190±60; Cal: 1620 to 1310 cal BC,"Reference: Downes 1997, 115Sample desc.: Willow charcoal from  a burnt layer later than mound 7 but earlier than a cist cemetery, being sealed by a clay platform (196) Deposit is a black fill with charcoal flecks approx. 14.5cm thick, contained by cist 224, which sits on natural. The deposit represents the remains of a pyre, presumably a single episode of burning as the cist and its contents are sealed by the thick layer of clay (196).Researcher: Downes 1997, 115Sponsor: Historic ScotlandDate completed: NullDelta-13C: -26.5Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60053,1790,50,cal AD 90 to 390,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2342,"bone, animal",,Uncal: 1790±50; Cal: cal AD 90 to 390,"Reference: Ballin Smith 1994Species: NullSample desc.: Animal bone from Phase 7, the 3rd workshop floor in the broch tower.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -22.8Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60053,2130,80,380 cal BC to cal AD 20,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2343,"bone, animal",,Uncal: 2130±80; Cal: 380 cal BC to cal AD 20,"Reference: Ballin Smith 1994Species: NullSample desc.: Animal bone from Phase 7, from the E workshop floor on top of the demolished E building.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -22.4Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60053,1810,50,cal AD 80 to 350,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2344,"bone, animal",,Uncal: 1810±50; Cal: cal AD 80 to 350,"Reference: Ballin Smith 1994Species: NullSample desc.: Animal bone from Phase 7 hearth material overlying a stone floor in one of the S workshop buildings, with levelling rubble above, all partially enclosed by an earlier stone wall.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -23.4Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60053,1750,50,cal AD 130 to 410,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2345,"bone, animal",,Uncal: 1750±50; Cal: cal AD 130 to 410,"Reference: Ballin Smith 1994Species: NullSample desc.: Animal bone from the Phase 7 4th workshop floor, the last floor within the broch tower.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -25.3Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60053,1750,50,cal AD 130 to 410,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2346,"bone, animal",,Uncal: 1750±50; Cal: cal AD 130 to 410,"Reference: Ballin Smith 1994Species: NullSample desc.: Animal bone from the Phase 7 earth floor in the SE workshop with rubble below and more rubble on top, in the middle of an earlier building.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -22.4Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60053,1170,50,cal AD 720 to 990,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2347,"bone, animal",,Uncal: 1170±50; Cal: cal AD 720 to 990,"Reference: Ballin Smith 1994Species: NullSample desc.: Animal bone from Phase 8, from an earth floor in the earliest building of late Phase 8, sandwiched between lower rubble contexts and upper earth floors.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -20.1Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60053,1450,50,cal AD 440 to 680,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1757,"bone, animal",,Uncal: 1450±50; Cal: cal AD 440 to 680,"Reference: Ballin Smith 1994Species: NullSample desc.: Animal bone from Phase 8, from a domestic floor within a Pictish dwelling.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -23.7Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60053,2255,95,800 to cal AD 0,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1758,charcoal,,Uncal: 2255±95; Cal: 800 to cal AD 0,Reference: Ballin Smith 1994Species: NullSample desc.: Charcoal from the Phase 5 or 6 ditch fill under the Broch 2 rampart east of the entrance.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -24.9Delta-13C error: NullDelta-r: NullDelta-r error: Null
60053,1940,60,60 cal BC to cal AD 240,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1759,charcoal,,Uncal: 1940±60; Cal: 60 cal BC to cal AD 240,Reference: Ballin Smith 1994Species: NullSample desc.: Charcoal from Phase 5 or 6 rubble within inner ditch behind collapsed revetment.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -24.4Delta-13C error: NullDelta-r: NullDelta-r error: Null
60053,2405,75,790 to 380 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1760,charcoal,,Uncal: 2405±75; Cal: 790 to 380 cal BC,Reference: Ballin Smith 1994Species: NullSample desc.: Charcoal in the silting under clay in the Phase 3 well.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -25.3Delta-13C error: NullDelta-r: NullDelta-r error: Null
60053,1975,55,160 cal BC to cal AD 140,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1786,charcoal,,Uncal: 1975±55; Cal: 160 cal BC to cal AD 140,"Reference: Ballin Smith 1994Species: NullSample desc.: Charcoal from a Phase 7 layer of burnt barley, straw and charred wood, overlying the second workshop floor.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -25.8Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60053,1670,65,cal AD 230 to 540,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1787,charcoal,,Uncal: 1670±65; Cal: cal AD 230 to 540,Reference: Ballin Smith 1994Species: NullSample desc.: Charcoal from the Phase 7 paved earth floor within a Broch 2 building. There was uncarbonised seed in this layer and that may explain why it was significantly younger than GU-1786 (1975+/- 55 BP) and GU-1788(1935 +/- 55 BP).Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -26.5Delta-13C error: NullDelta-r: NullDelta-r error: Null
60053,1935,55,50 cal BC to cal AD 220,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1788,charcoal,,Uncal: 1935±55; Cal: 50 cal BC to cal AD 220,"Reference: Ballin Smith 1994Species: NullSample desc.: Charcoal from Phase 7 layer of burnt straw, willow, within the Broch II interior passage. The sample lay on clean clay, overlain by stone rubble & midden.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -25.8Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60053,2405,70,780 to 380 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1789,charcoal,,Uncal: 2405±70; Cal: 780 to 380 cal BC,Reference: Ballin Smith 1994Species: NullSample desc.: Charcoal from a phase 5 middle layer within the clay capping to the roundhouse rampart 716. Located to SW of entranceway.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -25.5Delta-13C error: NullDelta-r: NullDelta-r error: Null
60053,2305,60,800 to 150 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1805,"bone, animal",,Uncal: 2305±60; Cal: 800 to 150 cal BC,"Reference: Ballin Smith 1994Species: NullSample desc.: Animal bone from the lowest Phase 4 occupation horizon, a grey-brown silty clay with peat and charcoal present, over early extensive midden.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -24.8Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60053,2070,50,210 cal BC to cal AD 60,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1750,charcoal,,Uncal: 2070±50; Cal: 210 cal BC to cal AD 60,"Reference: Ballin Smith 1994Species: NullSample desc.: Charcoal from Phase 7 Broch 2 roundhouse, between floor layers and upper rubble layers.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -25.7Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60053,2200,70,400 to 60 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1756,"bone, animal",,Uncal: 2200±70; Cal: 400 to 60 cal BC,Reference: Ballin Smith 1994Species: NullSample desc.: Animal bone from Phase 8 within a domestic earth floor. Possibly contaminated by charcoal and peat.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -23.3Delta-13C error: NullDelta-r: NullDelta-r error: Null
60053,2380,50,770 to 370 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1799,"bone, human",,Uncal: 2380±50; Cal: 770 to 370 cal BC,Reference: Ballin Smith 1994Species: homo sapiensSample desc.: Human bone found within the roundhouse drain of phase 5. Put there after construction of drain and prior to build up of 2 sediments and abandonment of drain.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -20Delta-13C error: NullDelta-r: NullDelta-r error: Null
60053,2420,55,770 to 390 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1804,"bone, animal",,Uncal: 2420±55; Cal: 770 to 390 cal BC,"Reference: Ballin Smith 1994Species: NullSample desc.: Animal bone from a deep and extensive phase 3 midden of peat ash, charcoal and bone. Lies within earlier Neolithic scoop surrounding clay mound.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -21.2Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60053,1565,45,cal AD 240 to 670,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1749,charcoal,,Uncal: 1565±45; Cal: cal AD 240 to 670,Reference: Ballin Smith 1994Species: NullSample desc.: Charcoal from within hearth of phase 8.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -27.7Delta-13C error: NullDelta-r: NullDelta-r error: Null
60053,2280,50,410 to 200 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2348,"bone, animal",,Uncal: 2280±50; Cal: 410 to 200 cal BC,"Reference: Ballin Smith 1994Species: NullSample desc.: Animal bone from a 0.5-1.0m thick layer of clay, sealing the Phase 5 earth house below the floor of the Phase 5 roundhouse.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -21.7Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60053,1790,50,cal AD 90 to 390,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2349,"bone, animal",,Uncal: 1790±50; Cal: cal AD 90 to 390,"Reference: Ballin Smith 1994Species: NullSample desc.: Animal bone from Phase 7, from the 2nd workshop floor in the broch tower Above is a burnt horizon (see GU-1786) and below is an earth and rubble surface.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -23.2Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60053,0,0,not calibrated,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2350,"bone, animal",,Uncal: 0±0; Cal: not calibrated,"Reference: Ballin Smith 1994Species: NullSample desc.: Animal bone from SF 6630, Context 1901 Sample from the Phase 4 well on the E side of the site. Found in well silt and relating to last use of the well which may be as late as the end of Phase 6 Slightly damp, not wet and enclosed within the well. Bedrock below.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C error: NullDelta-r: NullDelta-r error: Null"
60053,1850,50,cal AD 60 to 320,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2351,"bone, animal",,Uncal: 1850±50; Cal: cal AD 60 to 320,"Reference: Ballin Smith 1994Species: NullSample desc.: Animal bone from Phase 7, from the surface of the first workshop in the broch tower above rubble levelling and below an earth floor.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -23.3Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60053,1770,50,cal AD 130 to 390,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2353,"bone, animal",,Uncal: 1770±50; Cal: cal AD 130 to 390,"Reference: Ballin Smith 1994Species: NullSample desc.: Animal bone from Phase 7, from the earth floor of the early use of the Phase 7 building in the NE.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -22.1Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60053,1930,120,350 cal BC to cal AD 400,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2355,"bone, animal",,Uncal: 1930±120; Cal: 350 cal BC to cal AD 400,"Reference: Ballin Smith 1994Species: ovicaprid?Sample desc.: Animal bone from the rubble construction of the Phase 5 or 6 rampart on the W side of the site. The sheep burial was from within the rubble, the others from within the same rubble. CHECk if this was the sheep bone.Researcher: Ballin Smith 1994Sponsor: Historic ScotlandDate completed: NullDelta-13C: -20.8Delta-13C error: NullDelta-r: NullDelta-r error: Null"
