GID_ref,HER_reference_ID,HER_reference_type,Reference_type,Authors,Year,Main_title,Editors,Edited_volume_title,Journal_title,Journal_volume,Monograph_series_details,Start_page,End_page,Publisher,Place_of_publication,Report_no,OASIS_no,DOI,URL,Date_accessed
20186,SWX8525,Unpublished document,Report,Ladle L,1996,"Bestwall Quarry Archaeological Project, Phase 5 - 1996",,,,,,,,,,,,,,
20187,SWX8551,Unpublished document,Report,Hutcheson A,1996,"Land Adjacent to Bell Street, Swanage, Dorset. Archaeological Assessment and Evaluation.",,,,,,,,,,,,,,
20188,SDO12425,Unpublished document,Report,Lovell J,1997,"Southern Electric 11Kv Cable Replacement, Sturminster Marshall, Dorset: Archaeological Watching Brief",,,,,,,,,,,,,,
20189,SDO12514,Unpublished document,Report,Cox P and Valentin J,1997,"An archaeological evaluation of the site of a proposed agricultural dwelling house at Eweleaze Barn Dairy, Winterborne St Martin, Dorchester, Dorset",,,,,,,,,,,,,,
20190,SWX8553,Unpublished document,Report,Higgins P,1997,"Summary report on an Archaeological Excavation on Land Adjacent to Bell Street, Swanage, Dorset.",,,,,,,,,,,,,,
20191,SWX8530,Unpublished document,Report,"Ladle, L",2000,"Bestwall Quarry Archaeological Project, Phase 8 - 1999",,,,,,,,,,,,,,
20192,SWX8541,Unpublished document,Report,"Wells, N A",2000,"Hurn Court Farm, Bournemouth, Dorset. Archaeological Evaluation Report.",,,,,,,,,,,,,,
20193,SWX8620,Unpublished document,Report,"Godden, D.",2000,"Parley Lane, Christchurch, Dorset: Archaeological Evaluation Report",,,,,,,,Wessex Archaeology,Salisbury,47434,,,,
20194,SWX8531,Unpublished document,Report,Wareham and District Arch Soc,2001,"Bestwall Quarry Archaeological Project, Phase 10 - 2001",,,,,,,,,,,,,,
20195,SWX8626,Unpublished document,Report,"Harding, P",2001,"Hengistbury Head Outdoor Education and Field Studies Centre, Results of a Geophysical Survey and an Archaeological Investigation",,,,,,,,,,,,,,
20196,SWX8532,Unpublished document,Report,Wareham and District Arch Soc,2002,"Bestwall Quarry Archaeological Project, Phase 11 - 2002",,,,,,,,,,,,,,
20197,SDO13970,Unpublished document,Report,Wareham and District Arch Soc,2003,"Bestwall Quarry Archaeological Project, Phase 12 - 2003",,,,,,,,,,,,,,
20198,SWX8458,Unpublished document,Report,"Manning, A and Norcott, D",2003,"Preston Sewerage, Overcombe Down, Dorset. Archaeological Watching Brief",,,,,,,,,,,,,,
20199,SDO11628,Unpublished document,Report,"Leonard, A",2006,"The Former Allotments, Church Knapp, Wyke Regis, Weymouth Archaeological Excavation Archive Report.",,,,,,,,,,,,,,
20200,SDO12417,Unpublished document,Report,"Robinson, S., Laidlaw, M., and Martin, P.",2006,"Proposed extension of Manor Farm Quarry, Quarry Lane, Melbury Abbas, Dorset. Results of an archaeological trench evaluation",,,,,,,,AC archaeology,,,,,,
20201,SDO12418,Unpublished document,Report,"Martin, P.",2007,"Proposed extension of Manor Farm Quarry, Quarry Lane, Melbury Abbas, Dorset. Second Stage archaeological evaluation",,,,,,,,,,,,,,
20202,SDO13990,Unpublished document,Report,"Bellamy, P  S",2013,"Maumbury Rings, Dorchester, Dorset, Archaeological Observations and Recording during new fencing and retaining wall construction, June-September 2012",,,,,,,,,,,,,,
20203,SWX4483,Unpublished document,Unknown,"Grinsell, L V",1934-55,Dorset Barrows,,,,,,,,,,,,,,
20205,SWX1315,Unpublished document,Unpublished (Unspecified),Dorset County Museum,,Dorset County Museum Accessions Book,,,,,,,,,,,,,,
20206,SWX2678,Unpublished document,Unpublished (Unspecified),"Grinsell, L V",,Dorset Barrows (Unpublished MS),,,,,,,,,,,,,,
70925,,,Book,"Gerloff, S. ",,The Early Bronze Age daggers in Great Britain and a reconsideration of the Wessex culture ,,,,,,,,Beck (PBF),Munich,,,,,21/04/2017
70926,,,Book,"Gerloff, S.",,The Early Bronze Age daggers in Great Britain and a reconsideration of the Wessex culture ,,,,,,,,Beck (PBF),Munich,,,,,21/04/2017
70927,,,Book,Gerloff. S.,1975,The Early Bronze Age daggers in Great Britain and a reconsideration of the Wessex culture ,,,,,,,,Beck (PBF),Munich,,,,,21/04/2017
70928,,,Book,Ann Woodward; John Hunter; David Bukach; Fiona Roe,2011,An Examination of Prehistoric Stone Bracers from Britain,,,,,,,,Oxbow,Oxford,,,,,21/04/2017
70929,,,Book,"Woodward, A.; Hunter, J. ",2011,An Examination of Prehistoric Stone Bracers from Britain ,,,,,,,,Oxbow,Oxford ,,,,,21/04/2017
70930,,,Book Section,"Andrews, P.; Smith, A.",2011,Curing ails and brewing ales: the story of Springhead ,"Andrews, P. et al ",Settling the Ebbsfleet Valley ,,,,,,Oxford-Wessex Archaeology,Salisbury,,,,,28/04/2017
70931,,,Book,"Whimster, R.",1981,Burial Practices in Iron Age Britain. A Discussion and Gazetteer of the Evidence c.700 BC-AD 43,,,,,"BAR British Series 90, Volumes 1 and 2",,,British Archaeological Reports,Oxford,,,,,
70932,,,Journal Article,"Cotton, M.; Richardson, K.",1941,A Belgic cremation site at Stone,,,Proceedings of the Prehistoric Society,7,,134,141,,,,,doi:10.1017/S0079497X00020302,,14/05/2017
70933,,,Book Section,"Stead, I.",1976,The earliest burials of the Aylesford Culture,"Sieveking, G.; Longworth, I; Wilson, K; Clark, G",Problems in Economic and Social Archaeology,,,,401,416,Duckworth,London,,,,,
70934,,,Book,"Greenwell, W.",1877,British Barrows. A Record of Sepulchral Mounds in Various Parts of England,,,,,,,,Forgotten Books (Reprint),London,,,,,
70935,,,Book,"Mortimer, J.",1905,Forty Years' Researches. British and Saxon Burial Mounds of East Yorkshire,,,,,,,,Brown & Sons,London,,,,,
70936,,,Journal Article,"Warhurst, A.",1953,A Belgic burial from Borough Green,,,Archaeologia Cantiana,66,,157,160,,,,,,,17/05/2017
70939,,,Journal Article,XX,1891,XX,,,Yorkshire Archaeological Journal ,XX,,1,2,,,,,,,
70940,,,Journal Article,"Charles, T.",1844,Appendix,,,Archaeologia,30,,,,,,,,doi:10.1017/S0261340900016829,,06/10/2017
70941,,,Book Section,"Wheeler, R.",1932,Detling,"Page, W.",The Victoria History of the County of Kent,,,Volume 3,,,St Catherine Press,London,,,,http://www.kentarchaeology.org.uk/Research/03/03/01G/152.htm,17/05/2017
70942,,,Journal Article,"Kelly, D.",1963,Researches and discoveries in Kent: Ashford,,,Archaeologia Cantiana,78,,165,203,,,,,,http://www.kentarchaeology.org.uk/Research/Pub/ArchCant/Vol.078 - 1963/page v + vi contents.htm,16/06/2017
70947,,,Book,"Brewster, T. M.",1968,Ministry of Works Annual Excavation Report 1967,,,,,,,,HMSO,London,,,,,
70948,,,Book,"Bushe-Foxe, J.",1925,"Excavations of the Late Celtic Urnfield at Swarling, KentKent",,,,,"Reports of the Research Committee of the Society of Antiquaries of London, No.5",,,Society of the Antiquaries,London,,,,,
70951,,,Journal Article,"Sheppard, T.",1923-6,"Bronze Age relics at Elloughton, East Yorkshire",,,Transactions of the East Riding Antiquarian Society,25,,165,169,,,,,,,
70952,,,Journal Article,"St Joseph, J. K.",1971,The Kilham long barrow excavations 1965 to 1969,,,Antiquity,45(177),,50,53,,,,,,,23/07/2019
70953,,,Newspaper Article,Anon,1823,,,,Yorks Chronicle Thurs July 10 1823,,,,,,,,,,,
10000,SCO1007,Cornwall Event Report,Report,"Hartgroves, S & Bayfield, T",1992,An Archaeological Evaluation of the Four Burrows Windfarm Site,,,,,,,,,,,,,,
10001,SCO1012,Article in serial,Journal Article,"Hartgroves, S.; Harris, D.",1985,"A Bronze Age urn from Craig-a-bella, Poldhu, Gunwalloe",,,Cornish Archaeology,24,,155,158,,,,,,,
10002,SCO1016,Article in serial,Journal Article,"Jones, A.; Marley, J.; Quinell, H.; Hartgroves, H.",2011,"On the Beach: New Discoveries at Harlyn Bay, Cornwall (PPS 77, 2011)",,,Proceedings of the Prehistoric Society ,77,,89,109,,,,,,,
10003,SCO1131,Article in serial,Journal Article,"Higginbotham, E.",1977,"Excavations at Woolley Barrows, Morwenstow",,,Cornish Archaeology ,16,,10,16,,,,,,https://cornisharchaeology.org.uk/volume-16-1977/,07/02/2019
10004,SCO1146,Article in serial,Journal Article,"Hooper, S",1976,"Excavation of a Ring Cairn at Castle Hill, Innis Downs, Luxulyan (Cornish Archaeology No 15, 1976)",,,,,,,,,,,,,,
10005,SCO1240,Article in serial,Journal Article,"Johns, C.",2002-3,"An Iron Age sword and mirror cist burial from Bryher, Isles of Scilly",,,Cornish Archaeology,41/2,,1,79,,,,,,,
10006,SCO1387,Article in serial,Journal Article,"King, G.; Miles, H.",1976,"A Bronze Age Cist Burial at Trebartha, Northill (Cornish Archaeology No 15, 1976)",,,Cornish Archaeology ,15,,27,30,,,,,,,
10007,SCO1473,Article in serial,Journal Article,"Preston-Jones, A & Croft Andrew, CK",1944 & 1984,"Carnanton Cemetery, St Mawgan, 1943 (Cornish Archaeology No 23, 1984)",,,,,,,,,,,,,,
10008,SCO1554,Cornwall Event Report,Report,"Linford, N, Linford, P & Martin, L",1999,"Hillside Farm. Bryher, Isles of Scilly, Report on Geophysical Survey, Oct 1999 (AM Lab Reports) (1999)",,,,,,,,,,,,,,
10009,SCO162,Article in serial,Journal Article,"Ashbee, P.",1970,"Excavations at Halangy Down, St Mary's, Isles of Scilly, 1969-70 (Cornish Archaeology No 9, 1970)",,,Cornish Archaeology ,9,,11,20,,,,,,,
10010,SCO163,Article in serial,Journal Article,"Ashbee, P",1965,"Excavations at Halangy Downs, St Mary's. Isles of Scilly, 1964: Interim Report (Cornish Archaeology No 4, 1965)",,,,,,,,,,,,,,
10011,SCO168,Article in serial,Journal Article,"Ashbee, P.",1979,"The Porth Cressa cist-graves, St Mary's, Isles of Scilly: A postscript",,,Cornish Archaeology,18,,,,,,,,,,
10012,SCO2032,Cornwall Event Report,Report,"Scaife, RG",1988,"Pollen Analysis of the Bronze Age Cairn and an adjacent peat profile at Chysauster, Cornwall  (AM Lab Report 193/88)",,,,,,,,,,,,,,
10013,SCO2059,Cornwall Event Report,Report,"Sharpe, A",1990,"Ballowall Barrow at Carn Gluze, St. Just-in-Penwith, Cornwall: a new survey and re-assessment",,,,,,,,,,,,,,
10014,SCO20645,Cornwall Event Report,Report,"Jones, A",2009,"Excavation of a barrow on Constantine Island, St Merryn, Newquay to Trevose, Cornwall - Archive Report",,,,,,,,,,,,,,
10015,SCO2158,Article in serial,Journal Article,"Shepperd, PA",1960-1,"A Bronze Age Cemetery at Port Mellon, Mevagissey (PWCFC Vol 2/5, 1960-61)",,,,,,,,,,,,,,
10016,SCO23806,Cornwall Event Report,Report,"Preston-Jones, A with Rose, Nowakpwski, J & Dodd, L",2011,"Carwynnen Quoit, Camborne, Cornwall - Archaeological recording and proposal fpr restoration",,,,,,,,,,,,,,
10017,SCO23945,Cornwall Event Report,Report,"Johns, C & Mulville, J",2011,"Islands in a Common Sea: Archaeological fieldwork in Scilly, September 2005",,,,,,,,,,,,,,
10018,SCO2410,Article in serial,Journal Article,"Thomas, C.; Wailes, B.",1967,"Sperris Quoit: the excavation of a new Penwith Chamber Tomb - with a re-consideration of the evidence from Zennor Quoit (Cornish Archaeology No 6, 1967)",,,Cornish Archaeology ,6,,9,23,,,,,,,
10019,SCO25115,Article in serial,Journal Article,"MacNamara, Ellen",1973,A Note on the Aegean Sword-Hilt in Truro Museum,,,,,,,,,,,,,,
10020,SCO25133,Article in serial,Journal Article,"Couch, J.",1845,"An account of some ancient barrows in the parish of Pelynt and the remains found on opening themby Johnathan Couch, Esq. corresponding member for the Royal Institution of Cornwall",,,Report of the Royal Institution of Cornwall,27,,33,37,,,,,,"https://books.google.co.uk/books?id=jdEGAAAAYAAJ&pg=PA101&lpg=PA101&dq=An+account+of+some+ancient+barrows+in+the+parish+of+Pelynt,+and+of+the+remains+found+on+opening+them&source=bl&ots=PEccbqP25Q&sig=GvLer3D6mgoHQK_ot7c4vbLbTpU&hl=en&sa=X&ved=2ahUKEwiT6f6znPHcAhUFyIUKHQLcCEQQ6AEwAHoECAAQAQ#v=onepage&q=An%20account%20of%20some%20ancient%20barrows%20in%20the%20parish%20of%20Pelynt%2C%20and%20of%20the%20remains%20found%20on%20opening%20them&f=false",16/08/2018
10021,SCO25134,Article in serial,Journal Article,"Box, W.",1847,"On the barrows of Cornwall, with an account of the examination of those near Pelynt by W.H Box, Esq. East Looe",,,Report of the Royal Institution of Cornwall,28,,38,56,,,,,,,
10022,SCO25142,Bibliographic reference,Book,"Bayliss, A.; Hedges, R.; Otlet, R.; Switsur, R.; Walker, J.",2012,Radiocarbon Dates from samples funded by English Heritage between 1981 and 1988,,,,,,,,English Heritage,London,,,,,
10023,SCO25278,Cornwall Event Report,Report,"Johns, C",2009,"Bant's Carn and Halangy Down, St Mary's, Isles of Scilly - Archaeological assessment for periodic condition survey",,,,,,,,,,,,,,
10024,SCO25296,Article in serial,Journal Article,"Jones, AM",2008,A note on the Harlyn Bay structure,,,,,,,,,,,,,,
10025,SCO25305,Cornwall Event Report,Report,"Mulville, J, et al",2007,Islands in a Common Sea: Archaeological fieldwork in the Isles of Scilly 2006 ( St Mary's & St Martin's),,,,,,,,,,,,,,
10026,SCO25393,Cornwall Event Report,Report,"Johns, C",1999,"Sword Burial at Hillside Farm, Bryher, Isles of Scilly, 1999 - Archaeological Recording Archive Report",,,,,,,,,,,,,,
10027,SCO25630,Cornwall Event Report,Report,"Bartlett, A",2003,A30 Carland Cross to Chiverton Cross Improvement Stage 2 Environmental Assessment Report - Archaeogeophysical Surveys at Site OA36 and Sites OA152-4,,,,,,,,,,,,,,
10028,SCO25829,Article in serial,Journal Article,"DYMOND, CW",1882,Duloe Stone Circle,,,,,,,,,,,,,,
10029,SCO25947,Bibliographic reference,Unknown,"Bayliss, A et al",2013,Radiocarbon Dates: Samples funded by English Heritage between 1988 and 1993,,,,,,,,,,,,,,
10030,SCO25971,Bibliographic reference,Book,"Bayliss, A.; Hedges, R.; Otlet, R.; Switsur, R.; Walker, J.",2012,Radiocarbon Dates: from samples funded by English Heritage between 1981 and 1988,,,,,,,,English Heritage,London,,,,,
10031,SCO26020,Cornwall Event Report,Report,"Gossip, J, with Nowakowski, J",2012,"Discovering Carwynnen Quoit, Camborne, Cornwall: Archaeological Excavation - interim summary - September 2012",,,,,,,,,,,,,,
10032,SCO2641,Article in serial,Journal Article,"Wainwright, GJ",1965,"The Excavation of a Cairn at St Neot (Cornish Archaeology No 4, 1965)",,,,,,,,,,,,,,
10033,SCO2685,Article in serial,Journal Article,"Whimster, R.",1977,"Harlyn Bay Reconsidered; The Excavations of 1900-1905 in the Light of Recent Work (Cornish Archaeology No 16, 1977)",,,Cornish Archaeology ,16,,61,88,,,,,,,
10034,SCO2711,Bibliographic reference,Book,"Abercromby, J.",1912,Bronze Age Pottery,,,,,,,,,,,,,,
10035,SCO27217,Report,Report,South West Archaeology,2014,"Land at Goonvean Works, Greensplat, Treverbyn, Cornwall",,,,,,,,,,,,,,
10036,SCO2738,Article in serial,Journal Article,"Ashbee, P.",1976,A Jubilee Appreciation,,,Cornish Archaeology ,15,,11,20,,,,,,,
10037,SCO2739,Bibliographic reference,Book,"Ashbee, P.",1974,Ancient Scilly from the First Farmers to the Early Christians: An Introduction and Survey,,,,,,,,David & Charles,Newton Abbot,,,,,
10038,SCO27463,Booklet,Pamphlet,"Jackson, M. & Jackson, A.",2006,Ancient Stones of Kernow,,,,,,,,,,,,,,
10039,SCO2777,Bibliographic reference,Unknown,"Barnatt, J",1982,Prehistoric Cornwall: The Ceremonial Monuments,,,,,,,,,,,,,,
10040,SCO2797,Bibliographic reference,Unknown,"Bates, CP",1981,Cornwall,,,,,,,,,,,,,,
10041,SCO2860,Bibliographic reference,Unknown,"Blight, JT",1861,A Week at the Land's End,,,,,,,,,,,,,,
10042,SCO2866,Bibliographic reference,Unknown,"Blight, JT",1885,Churches of West Cornwall: with Notes of Antiquities of the Distrct,,,,,,,,,,,,,,
10043,SCO2870,Unpublished document,Unknown,"Blight, JT",1870,The Cromlechs of Cornwall,,,,,,,,,,,,,,
10044,SCO2887,Unpublished document,Book,"Borlase, W.",1872,Ancient Cornwall,,,,,,,,,,,,,,
10045,SCO2888,Unpublished document,Unknown,"Borlase, WC",18--,Antiquarian Notes on Cornwall,,,,,,,,,,,,,,
10046,SCO2890,Unpublished document,Unknown,"Borlase, WC",1863,Excavations and Discoveries 1862-63,,,,,,,,,,,,,,
10047,SCO2891,Unpublished document,Unpublished (Unspecified),"Borlase, WC",1882,Laregan Museum List,,,,,,,,,,,,,,
10048,SCO2892,Bibliographic reference,Book,"Borlase, W.",1872,Naenia Cornubiae: A Descriptive Essay illustrative of the sepulchres and funereal customs of the early inhabitants of the county of Cornwall,,,,,,,,Longmans,London,,,,https://scholar.google.com/scholar_lookup?title=Naenia+Cornubiae:+a+descriptive+essay+illustrative+of+the+sepulchres+and+funereal+customs+of+the+early+inhabitants+of+the+county+of+Cornwall&publication+year=1872&author=Borlase+W.C.,16/08/2018
10049,SCO2894,Bibliographic reference,Unknown,"Borlase, WC",1878,The Athenaeum,,,,,,,,,,,,,,
10050,SCO2968,Bibliographic reference,Book,"Bullen, R.",1912,Harlyn Bay and the Discoveries of its Prehistoric Remains,,,,,,,,Colonel Bellers,Harlyn Bay,,,,,
10051,SCO2969,Bibliographic reference,Unknown,"Buller, J",1842,A Statistical Account of the Parish of St Just-In-Penwith,,,,,,,,,,,,,,
10052,SCO3044,Bibliographic reference,Unknown,"Carew, R",1969,The Survey of Cornwall 1602,,,,,,,,,,,,,,
10053,SCO3054,Article in serial,Journal Article,"Caseldine, C.",1980,Environmental Change in Cornwall During the Last 13000 Years,,,Cornish Archaeology ,19,,,,,,,,,,
10054,SCO3059,Article in serial,Journal Article,"Christie, P.; Healey, F.; Roe, F.; Stead, S.; Cartwright, C.; Evans, J.",1985,Barrows on the North Cornish Coast. Wartime excavations by CK Croft Andrew 1939-1944,,,Cornish Archaeology,24,,23,122,,,,,,https://cornisharchaeology.org.uk/volume-24-1985/,16/08/2018
10055,SCO3067,Article in serial,Journal Article,"Christie, PM",1986,Cornwall in the Bronze Age,,,,,,,,,,,,,,
10056,SCO3072,Article in serial,Journal Article,"Christie, PM",1985,Trevellas Downs,,,,,,,,,,,,,,
10057,SCO3079,Bibliographic reference,Book,"Clarke, D.",1970,Beaker Pottery in Great Britain and Ireland,,,,,,,,Cambridge University Press,Cambridge ,,,,,
10058,SCO3177,Bibliographic reference,Unknown,"Cotton, W",1827,"Illustrations of Stone Circles, Cromlechs, and Other Remains of the Aboriginal",,,,,,,,,,,,,,
10059,SCO3199,Unpublished document,Unknown,"Cresswell-Payne, HM",19--,The Story of Newquay,,,,,,,,,,,,,,
10060,SCO3204,Bibliographic reference,Unknown,"Daniel, GE",1950,The Prehistoric Chamber Tombs of England and Wales,,,,,,,,,,,,,,
10061,SCO3240,Article in serial,Journal Article,"Douch, H.",1962,Archaeological Discoveries Recorded Before 1855,,,Cornish Archaeology ,1,,91,99,,,,,,,
10062,SCO3278,Cornwall Event Report,Report,"Dudley, P",2003,"Gillan Creek National Trust Properties, St Anthony in Meneage, Cornwall. Rapid Archaeological Assessment",,,,,,,,,,,,,,
10063,SCO3302,Bibliographic reference,Book,"Edmonds, R",1862,"The Land's End District: Its Antiquities, Natural History, Natural Phenomena and Scenery",,,,,,,,J. R. Smith,London,,,,,
10064,SCO3332,Bibliographic reference,Unknown,"Fox, A",1964,South West England,,,,,,,,,,,,,,
10065,SCO3352,Bibliographic reference,Book,"Gerloff, S.",1975,The Early Bronze Age Daggers in Great Britain,,,,,,,,Prahistoric Bronzefunde,Munich,,,,,
10066,SCO3360,Bibliographic reference,Book,"Gilbert, C.Gilbert, C.; Congdon, J.; Ackermann, R.",1817,An Historical and Topographical Survey of the County of Cornwall,,,,,,,,J. Congdon,Plymouth-Dock,,,,,
10067,SCO3362,Bibliographic reference,Unknown,"Gilbert, D (Ed)",1838,The Parochial History of Cornwall,,,,,,,,,,,,,,
10068,SCO3404,Article in serial,Journal Article,"Gray, A",1972,Prehistoric Habitation Sites on the Isles of Scilly,,,,,,,,,,,,,,
10069,SCO3407,Article in serial,Journal Article,"Griffith, F.; Maltby, E.; Caseldine, C.; Allen, J.; Drewett, P.; Ellison, A.",1984,"Archaeological Investigations at Colliford Reservoir, Bodmin Moor, 1977-78",,,Cornish Archaeology ,23,,47,141,,,,,,,
10070,SCO3431,Bibliographic reference,Unknown,"Hammond, J",1897,A Cornish Parish: Being an Account of St Austell,,,,,,,,,,,,,,
10071,SCO3440,Article in serial,Journal Article,"Harris, D",1979,"Poldowrian, ST Keverne: A Beaker Mound of the Gabbro of the Lizard Peninsula (Cornish Archaeology No 18, 1979)",,,,,,,,,,,,,,
10072,SCO3465,Bibliographic reference,Unknown,"Harvey, EG",1875,"Mullyon: its History, Scenery and Antiquities",,,,,,,,,,,,,,
10073,SCO3489,Bibliographic reference,Book,"Hencken, H.",1932,The Archaeology of Cornwall and Scilly,,,,,,,,Methuen,London,,,,,
10074,SCO3490,Bibliographic reference,Unknown,"Hencken, HO",1929,The Bronze and Early Iron Ages in Devon and Cornwall (Cambridge Phd Diss),,,,,,,,,,,,,,
10075,SCO3491,Bibliographic reference,Unknown,"Henderson, C",1937,A History of the Parish of Constantine in Cornwall,,,,,,,,,,,,,,
10076,SCO3496,Bibliographic reference,Unknown,"Henderson, C",1920,A History of the Parish of St Mewan,,,,,,,,,,,,,,
10077,SCO3501,Bibliographic reference,Unknown,"Henderson, C",1935,Essays in Cornish History,,,,,,,,,,,,,,
10078,SCO3503,Unpublished document,Unknown,"Henderson, C",1914,Notebooks of Parochial Antiquities,,,,,,,,,,,,,,
10079,SCO3506,Bibliographic reference,Unknown,"Henderson, C",1912,"Penwith, Kirrier and Carnmarth",,,,,,,,,,,,,,
10080,SCO3513,Unpublished document,Unknown,"Henderson, C",1915,Topography of Cornwall,,,,,,,,,,,,,,
10081,SCO3587,Unpublished document,Unpublished (Unspecified),"Herring, PC",1990,St Austell CC Survey Field Notes (Unpub),,,,,,,,,,,,,,
10082,SCO3593,Unpublished document,Unpublished (Unspecified),"Hirst, FC",19--,Archaeological Notes on West Penwith,,,,,,,,,,,,,,
10083,SCO3595,Bibliographic reference,Unknown,"Hitchins, F & Drew, S (Eds)",1824,The History of Cornwall,,,,,,,,,,,,,,
10084,SCO3614,Bibliographic reference,Unknown,"Hunt, R",1871,Popular Romances of the West of England,,,,,,,,,,,,,,
10085,SCO3615,Bibliographic reference,Unknown,"Husband, ST",1923,Old Newquay,,,,,,,,,,,,,,
10086,SCO3781,Bibliographic reference,Unknown,"Kempthorne, GA",1934,A History of the Parish of Sheviock,,,,,,,,,,,,,,
10087,SCO3863,Bibliographic reference,Unknown,"Lewis, HA",1948,"St Martin's, St Helen's and Tean",,,,,,,,,,,,,,
10088,SCO3881,Bibliographic reference,Unknown,"Lukis, WC & Borlase, WC",1885,Prehistoric Stone Monuments: Cornwall,,,,,,,,,,,,,,
10089,SCO3885,Bibliographic reference,Unknown,"Lysons, D & S",1814,Magna Britannia,,,,,,,,,,,,,,
10090,SCO3895,Bibliographic reference,Unknown,"Maclean, J",1876,A Parochial and Family History of the Deanery of Trigg Minor,,,,,,,,,,,,,,
10091,SCO3914,Bibliographic reference,Unknown,"Matthews, JH",1892,"History of the Parishes of St Ives, Lelant, Towednack and Zennor",,,,,,,,,,,,,,
10092,SCO3924,Article in serial,Journal Article,"Megaw, JVS",1963,The Neolithic in the South West of England,,,,,,,,,,,,,,
10093,SCO3932,Article in serial,Journal Article,"Mercer, R.",1986,The Neolithic in Cornwall,,,Cornish Archaeology,25,,35,80,,,,,,,
10094,SCO3939,Bibliographic reference,Unknown,"Michell, J",1974,The Old Stones of Land's End,,,,,,,,,,,,,,
10095,SCO3940,Article in serial,Journal Article,"Miles, H.",1975,"Barrows on the St Austell Granite, Cornwall (Watch Hill, Caerloggas, Trenance, Cocksbarrow)",,,Cornish Archaeology ,14,,5,83,,,,,,,
10096,SCO3941,Article in serial,Journal Article,"Miles, H.; Miles, T.",1971,"Excavations on Longstone Downs, St Stephen-in-Brannel and St Mewan ",,,Cornish Archaeology,10,,5,28,,,,,,,
10097,SCO4006,Bibliographic reference,Published (Unspecified),"Nowakowski, JA",1994,Bypassing Indian Queens,,,,,,,,,,,,,,
10098,SCO4008,Bibliographic reference,Journal Article,"Nowakowski, J.",1991,"Trethellan Farm, Newquay: The excavation of a lowland Bronze Age settlement and Iron Age cemetery",,,Cornish Archaeology,30,,5,242,,,,,,,
10099,SCO4015,Bibliographic reference,Unknown,"Nowakowski, JA",1987,"Bosporthennis, West Penwith, Zennor",,,,,,,,,,,,,,
10100,SCO4018,Bibliographic reference,Unknown,"Nowakowski, JA",1989,Gwithian: Life in Lowland Cornwall During the Bronze Age,,,,,,,,,,,,,,
10101,SCO4026,Bibliographic reference,Unknown,"Nowakowski, JA & Herring, PC",1987,"Tregerthen Farm, Nt West Penwith Archaeolgical Survey",,,,,,,,,,,,,,
10102,SCO4042,Bibliographic reference,Unknown,"O'Neil, BH St J",1961,Isles of Scilly MOW Guide,,,,,,,,,,,,,,
10103,SCO4068,Bibliographic reference,Book,"Page, W (Editor)",1906,Victoria History of the County of Cornwall,,,,,,,,,,,,,,
10104,SCO4087,Article in serial,Journal Article,"Patchett, F.",1944,"Cornish Bronze Age Pottery, Part I",,,Archaeological Journal,101(1),,17,49,,,,,,,
10105,SCO4088,Article in serial,Journal Article,"Patchett, F.",1952,"Cornish Bronze Age Pottery, Part II",,,Archaeological Journal ,107,,44,65,,,,,,,
10106,SCO4097,Bibliographic reference,Unknown,"Pearce, S.",1984,Bronze Age Metalwork in Southern Britain,,,,,,,,,,,,,,
10107,SCO4104,Bibliographic reference,Unknown,"Penaluna, W",1838,An Historical Survey of the County of Cornwall,,,,,,,,,,,,,,
10108,SCO4106,Bibliographic reference,Unknown,"Penaluna, W",1819,The Circle,,,,,,,,,,,,,,
10109,SCO4109,Bibliographic reference,Unknown,"Penhallurick, RD",1986,Tin in Antiquity,,,,,,,,,,,,,,
10110,SCO4132,Bibliographic reference,Unknown,"Piggott, S",1954,The Neolithic Cultures of the British Isles,,,,,,,,,,,,,,
10111,SCO4139,Bibliographic reference,Book,"Polsue, J.",1872,Lake's Parochial History of Cornwall,,,,,,,,,,,,,,
10112,SCO4140,Bibliographic reference,Unknown,"Polwhele, R",1803,History of Cornwall,,,,,,,,,,,,,,
10113,SCO4146,Article in serial,Journal Article,"Pool, PAS",1964,"Tolcreeg Barrow, Gulval",,,,,,,,,,,,,,
10114,SCO4149,Article in serial,Journal Article,"Pool, P.; Russell, V.",1964,"Excavation of a Menhir at Try, Gulval",,,Cornish Archaeology ,3,,,,,,,,,,
10115,SCO4189,Article in serial,Journal Article,"Preston-Jones, A & Rose, PG",1986,"Mrs Hurn's Urn  (Cornish Archaeology No 26, 1987)",,,,,,,,,,,,,,
10116,SCO423,Article in serial,Journal Article,"Buckley, DG",1972,"The Excavation of Two Slate Cairns at Trevone, Padstow, 1972 (Cornish Archaeology No 11, 1972)",,,,,,,,,,,,,,
10117,SCO4241,Bibliographic reference,Unknown,"Redding, C",1842,An Illustrated Itinerary of the County of Cornwall,,,,,,,,,,,,,,
10118,SCO4312,Bibliographic reference,Unknown,"Russell, V",1980,Isles of Scilly Survey,,,,,,,,,,,,,,
10119,SCO4314,Bibliographic reference,Book,"Russell, V.",1971,West Penwith Survey,,,,,,,,,,,,,,
10120,SCO4404,Article in serial,Journal Article,"Sheppard, P.A.",1971,One Barrow Or Two,,,Cornish Archaeology ,10,,,,,,,,,,
