GID,GID_gg,HER_finds_ID,Object_category,HER_object_montype,HER_object_findtype,Object_type_code,Object_type,Object_type_specific,Object_description,Metalwork_phase,Object_completeness,Object_condition,Object_orientation,Object_body_relationship,Object_placement_broad,Object_placement_specific,Decorated_object,Old_object,Materials_summary,Related_GID_hr,Current_museum_location,Museum_accession_number,PAS_ID,PAS_URL,Related_Event_ID
50224,73069,,Pot,,,242,Pot,Gallo-Belgic Ware (Specified type),"Butt-beaker used as a cremation urn. Rather finely granular red-brown ware, smoothly burnished, with burnished horizontal lines on body (Frere et al. 1987, 203).",N/a,Complete,Unknown,Unknown,Direct,Container of body,,Y,,Pottery,71359,Unknown,,,,142
50224,73070,,Pot,,,241,Pot,Belgic-Related Tradition (Other specified type),"Small cordoned jar (Frere et al. 1987, 203).",N/a,Unknown,Unknown,Unknown,Indirect,Secondary association,,,,Pottery,71359,Unknown,,,,142
72201,73071,,Pot,,,242,Pot,Gallo-Belgic Ware (Specified type),Native butt-beaker. No further details available.,N/a,Unknown,Unknown,Unknown,Unknown,Unknown,,Y,,Pottery,71361,Unknown,,,,142
72200,73072,,Pot,,,242,Pot,Gallo-Belgic Ware (Specified type),Native butt-beaker. No further details available.,N/a,Unknown,Unknown,Unknown,Unknown,Unknown,,Y,,Pottery,71360,Unknown,,,,142
72300,73073,,Pot,,,238,Pot,Belgic-Related Tradition (Pedestal Urn),Pedestal urn. Wheel turned with a burnished surface.,N/a,Unknown,Unknown,Upright,Direct,Container of body,,,,Pottery,71362,Unknown,,,,
72301,73074,,Pot,,,238,Pot,Belgic-Related Tradition (Pedestal Urn),Pedestal urn. Wheel turned with a burnished surface.,N/a,Unknown,Unknown,Upright,Direct,Container of body,,Y,,Pottery,71363,Unknown,,,,
72302,73076,,Pot,,,149,Pot,Deverel-Rimbury (Bucket Urn),"East Kent Access Route (Zone 11, Burial 153017): Upper half of a bipartite jar. The rim is upright, flat and plain. The walls splay out to a weak shoulder with a shallow applied cordon, c. 12 cm below the rim with abraded finger impressions (Leivers in Andrews et al. Vol. 2, 173 fig.8.1 no.8).",N/a,Unknown,Unknown,Inverted,Direct,Covering the body,,,,Pottery,71365,Unknown,,,,983
72304,73077,,Pot,,,164,Pot,Post-Deverel-Rimbury (PDR) (Other specified type),"East Kent Access Route (Zone 14): Truncated Late Bronze Age jar, positioned with the base at the bottom of the pit. No further information available.",N/a,Unknown,Unknown,Upright,Direct,Container of body,,,,Pottery,71366,Unknown,,,,984
72305,73078,,Unknown,,,211,Unknown Object,,"East Kent Access Route (Zone 19, Burial 205111/205108): Pierced and polished cattle carpel, possible amulet.",N/a,Complete,Unknown,Unknown,Unknown,Unknown,,,,Bone/Antler/Horn/Ivory/Tooth (Animal) [Bone],71367,Unknown,,,,985
72306,73079,,Jewellery,,,177,Ring (Hand/Toe/Ear),,"East Kent Access Route (Zone 19, Burial 216010/216011): Hollow ring made of two parts held together by three rivets. The join line runs around the circumference (Fitzpatrick in Andrews et al. 2015 Vol. 2, 87-8).",N/a,Almost complete,Unknown,Unknown,Unknown,Unknown,,,,Bronze/Cu Alloy [Copper Alloy],71368,Unknown,,,,985
72306,73080,,Other,,,71,Collar,,"East Kent Access Route (Zone 19, Burial 216010/216011):Small collar (3 fragments). Band or collar, perhaps used as a binding on a wooden rod (Nelson in Andrews et al. 2015 Vol. 2, 88)",N/a,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Bronze/Cu Alloy [Copper Alloy],71368,Unknown,,,,985
72307,73081,,Jewellery,,,88,Ear/Hair Ornament (Other),,"East Kent Access Route (Zone 19, Burial 257016/257015): Pin, Cu-alloy, hairpin in two pieces (Andrews et al. 2015, 304). Details from metalwork report not added for now as potentially early Roman.",N/a,Complete,Unknown,Unknown,Direct,Head,,Y,,Bronze/Cu Alloy [Copper Alloy],71369,Unknown,,,,985
72309,73082,,Pin/point/brooch_b,,,42,Brooch (Specified type),,"East Kent Access Route (Zone 19, Burial 278060/278058): Penannular brooch, small, with 'cotton reel' terminals (not located in plan) (Fitzpatrick in Andrews et al. 2015, 88).NB position of brooch not clear on grave plan or noted in text",N/a,Unknown,Unknown,Unknown,Direct,Unknown,,Y,,Bronze/Cu Alloy [Copper Alloy],71371,Unknown,,,,985
72308,73083,,Jewellery,,,179,Ring (Hand/Toe/Ear),Ring (Finger),"East Kent Access Route (Zone 19, Burial 262044/262043): Spiral finger ring. Coiled cu alloy wire with slightly flattened terminals. Coiled finger rings of Roman date are known but this burial, which is crouched, may be prehistoric (Fitzpatrick in Andrews et al. 2015, 88).",N/a,Complete,Unknown,Unknown,Direct,Feet,,,,Bronze/Cu Alloy [Copper Alloy],71370,Unknown,,,,985
72310,73084,,Pin/point/brooch_b,,,42,Brooch (Specified type),,"East Kent Access Route (Zone 11): Copper alloy bow brooch, foot and catchplate missing, Nauheim derivative. Placed in north-east of pit against edge of cut (Andrews et al. 2015, 272, fig. 4.42 No. 435).NB Fitzpatrick's metalwork report describes this as a two-piece Colchester derivative brooch, poorly preserved. Foot and catchplate missing. Spring of the six coils secured by a rear hook (Fitzpatrick in Andrews et al. 2015, Vol.2, 72).",N/a,Unknown,Unknown,Unknown,Indirect,Secondary association,On base of grave,Y,,Bronze/Cu Alloy [Copper Alloy],71372,Unknown,,,,983
72310,73085,,Pot,,,242,Pot,Gallo-Belgic Ware (Specified type),"East Kent Access Route (Zone 11): Whiteware globular bodied flagon (Cam 131); rim missing, base very battered or spalled, first half of 1st century AD. Placed in north-west corner of grave (Andrews et al. 2015, 272, fig. 4.42 No. 436).",N/a,Unknown,Damaged,Upright,Indirect,Secondary association,in NW corner of grave,,,Pottery,71372,Unknown,,,,983
72310,73086,,Pot,,,242,Pot,Gallo-Belgic Ware (Specified type),"East Kent Access Route (Zone 11): Whiteware butt beaker (Cam 113), AD 5-54/61. Placed within the south-west corner of the grave (Andrews et al. 2015, 272, fig. 4.42 No. 437).",N/a,Complete,Unknown,Unknown,Indirect,Secondary association,On base of grave,Y,,Pottery,71372,Unknown,,,,983
72310,73087,,Pot,,,241,Pot,Belgic-Related Tradition (Other specified type),"East Kent Access Route (Zone 11): Grog-tempered ware shouldered bowl, first half of 1st century AD. Placed in south-west corner of grave (Andrews et al. 2015, 272, fig. 4.42 No. 438).",N/a,Complete,Unknown,Unknown,Indirect,Secondary association,On base of grave,,,Pottery,71372,Unknown,,,,983
72310,73088,,Pot,,,242,Pot,Gallo-Belgic Ware (Specified type),"East Kent Access Route (Zone 11): Terra rubra (TR1C) platter (Cam 8; Stead and Rigby 1989, fig 54 type GB13), AD 10/25-65. Stamped by Vervico (potter. no. 139 in the Gallo-Belgic pottery database), possibly made in Reims. Repaired in antiquity with birch bark tar derived glue. Placed just south of the centre of the grave (Andrews et al. 2015, 272, fig. 4.42 No. 439).",N/a,Complete,Repaired,Upright,Direct,Alongside body,On base of grave next to cremated bone,,,Pottery,71372,Unknown,,,,983
72310,73089,,Pot,,,242,Pot,Gallo-Belgic Ware (Specified type),"East Kent Access Route (Zone 11): Terra Nigra cup (Cam 56A; Rigby 1989, 125, fig 54, type GB 17), AD 1-65. Stamped by Avotis (potter no. 378 in the Gallo-Belgic pottery database). Placed in the south-east corner of the grave (Andrews et al. 2015, 272, fig. 4.42 No. 440).",N/a,Complete,Unknown,Upright,Direct,Alongside body,"On base of grave, next to smaller deposits of human bone",,,Pottery,71372,Unknown,,,,983
72310,73090,,Pin/point/brooch_b,,,55,Brooch (Unknown/Unspecified),,"East Kent Access Route (Zone 11): Copper alloy brooch spring (Andrews et al. 2015, 272).Cremated bone occupied a small area within central eastern part of grave, and may have been originally placed within a bag. A brooch spring, was located on top of the cremated bone, perhaps to seal the bag.",N/a,Fragment(s),Unknown,Unknown,Direct,On top of body,,,,Bronze/Cu Alloy [Copper Alloy],71372,Unknown,,,,983
72311,73091,,Container,,,212,Vessel (Unknown/Unspecified),,"Small steatite urn (which was in the NW corner). The urn was c 120 mm across the mouth, c 90 mm across the base and c 76 mm high and it had a flat incised band below the rim; its present whereabouts are not known.",N/a,Complete,Unknown,Upright,Direct,In chamber/cist,Placed in NW corner of cist near cremated bone but not containing it ,,,Steatite,71373,Orkney Museum (Kirkwall),,,,
72312,73092,,Animal bone,,,1,Animal Bone (Other),,"<Ritchie and Ritchie 1967, Queenafjold>: Fragments of cremated deer bone mixed in with cremated remains in cist.",N/a,Unknown,Burnt,Unknown,Direct,Mixed with body parts,,,,Bone/Antler/Horn/Ivory/Tooth (Animal) [Bone],,Unknown,,,,
72312,73094,,Other,,,244,Lid,,"<Ritchie and Ritchie 1967, Queenafjold>: Circular stone disc or pot lid; chipped flagstone. The pot-lid appeared to cover an area of cremated bone with no admixture of charcoal and earth, but the clean bone merged with the surrounding mixture of material",N/a,Complete,Unknown,Unknown,Direct,Covering the body,,,,Stone (Uncertain/Unspecified),,Orkney Museum (Kirkwall),,,,
72312,73095,,Pot,,,172,Pot (Unknown/Unspecified),,"<Ritchie and Ritchie 1967, Queenafjold>: Sherd of burnt non-diagnostic pottery with cremated remains (jn pyre).The pottery from this site is described as 'flat-rimmed' (MBA?) in Moore and Wilson 1995",N/a,Fragment(s),Burnt,Unknown,Direct,Mixed with body parts,,,,Pottery,,Unknown,,,,
72313,73096,,Pot,,,152,Pot,Food Vessel,Sherds of Food Vessel Urn from disturbed cist - decorated rim sherd,N/a,Fragment(s),Damaged,Unknown,Indirect,In chamber/cist,The vesesl may have been disturbed when the cist was ,,,Pottery,"71376, 71377",Unknown,,,,
72315,73098,,Pot,,,172,Pot (Unknown/Unspecified),,Quinni Moan (Petrie 1869): urn. No further details,N/a,Unknown,Unknown,Unknown,Indirect,In chamber/cist,,,,Pottery,71379,Unknown,,,,
72316,73099,,Container,,,28,Bag,,Textile organic bag or coarse mat by legs of male. It contained the disarticulated bones of a female with beads,N/a,Unknown,Unknown,Unknown,Direct,Container of body,Coarse mat bag placed by legs of male and containing bones of female ,,,Textile,71381,Unknown,,,,
72316,73100,,Jewellery,,,124,Necklace,,Beads of jet and likely relate to a jet necklace that was reportedly found with the disarticulared remains of the female ,N/a,Unknown,Unknown,Unknown,Direct,Mixed with body parts,,,,Jet/Lignite/Shale/Coal (Unspecified),71381,Unknown,,,,
72317,73101,,Animal bone,,,1,Animal Bone (Other),,"<Downes 2005, Varme Dale>: Cremated sheep/goat remains with central double cremation. Pyre good and mixed in with the cremated human bones ",N/a,Unknown,Burnt,Unknown,Direct,Mixed with body parts,Mingled in with cremated human bone and lilely also burnt on the pyre ,,,Bone/Antler/Horn/Ivory/Tooth (Animal) [Bone],,Unknown,,,,
72317,73102,,Unknown,,,211,Unknown Object,,Worked bone object that was cremated with the burials - pyre good ,N/a,Fragment(s),Burnt,Unknown,Direct,Mixed with body parts,Burnt worked bone object mixed in with the cremated human bone ,,,Bone/Antler/Horn/Ivory/Tooth (Animal) [Bone],,Unknown,,,,
60008,73104,,Other,,,86,Disc,,"Knowes of Trotty Barrow 1: One of four thin circular disc of gold with raised geometric design, from the grave of important individual, probably a woman, buried at the Knowes of Trotty, Huntiscarth, Orkney, around 1900 BCTwo of the discs were almost complete while the other two were fragmentary all four are very fragile, and were torn, crumpled and two were rather incomplete. Originally they would all have been roughly the same size – c. 75 mm in diameter and with central hole c. 10 mm in diameter. The discs were decorated with a geometric linear design featuring concentric circles and some were filled with zigzag or wavy motifs. Compositional analysis of the gold in the 1960s indicates that they all had a very similar composition, and may have been made from the same parent material.  They were relatively tin-rich gold and it is possible that they relate to as a yet located unlocated Scottish source as suggested by Joan Taylor (1980: 19–21). These gold discs have in form parallels with the eg from Banc Tynddiol (Cwmwystwyth) and of course Wessex regions even more exotic climes such as northern and central Portugal (eg Oiros, Atios & Valdeprados)",N/a,Almost complete,Unknown,Unknown,Indirect,In chamber/cist,"On the floor of one corner of the cist resting on a flat stone, Near unurned cremation ",Y,,Gold,71387,National Museum of Scotland,X.EQ 129,,,
60008,73105,,Other,,,86,Disc,,"Knowes of Trotty Barrow 1: One of four thin circular disc of gold with raised geometric design, from the grave of important individual, probably a woman, buried at the Knowes of Trotty, Huntiscarth, Orkney, around 1900 BCTwo of the discs were almost complete while the other two were fragmentary all four are very fragile, and were torn, crumpled and two were rather incomplete. Originally they would all have been roughly the same size – c. 75 mm in diameter and with central hole c. 10 mm in diameter. The discs were decorated with a geometric linear design featuring concentric circles and some were filled with zigzag or wavy motifs. Compositional analysis of the gold in the 1960s indicates that they all had a very similar composition, and may have been made from the same parent material.  They were relatively tin-rich gold and it is possible that they relate to as a yet located unlocated Scottish source as suggested by Joan Taylor (1980: 19–21). These gold discs have in form parallels with the eg from Banc Tynddiol (Cwmwystwyth) and of course Wessex regions even more exotic climes such as northern and central Portugal (eg Oiros, Atios & Valdeprados)",N/a,Almost complete,Unknown,Unknown,Indirect,In chamber/cist,"On the floor of one corner of the cist resting on a flat stone, Near unurned cremation ",Y,,Gold,71387,National Museum of Scotland,X.EQ 128,,,
60008,73106,,Other,,,86,Disc,,"Knowes of Trotty Barrow 1: One of four thin circular disc of gold with raised geometric design, from the grave of important individual, probably a woman, buried at the Knowes of Trotty, Huntiscarth, Orkney, around 1900 BCTwo of the discs were almost complete while the other two were fragmentary all four are very fragile, and were torn, crumpled and two were rather incomplete. Originally they would all have been roughly the same size – c. 75 mm in diameter and with central hole c. 10 mm in diameter. The discs were decorated with a geometric linear design featuring concentric circles and some were filled with zigzag or wavy motifs. Compositional analysis of the gold in the 1960s indicates that they all had a very similar composition, and may have been made from the same parent material.  They were relatively tin-rich gold and it is possible that they relate to as a yet located unlocated Scottish source as suggested by Joan Taylor (1980: 19–21). These gold discs have in form parallels with the eg from Banc Tynddiol (Cwmwystwyth) and of course Wessex regions even more exotic climes such as northern and central Portugal (eg Oiros, Atios & Valdeprados)",N/a,Fragment(s),Unknown,Unknown,Indirect,In chamber/cist,"On the floor of one corner of the cist resting on a flat stone, Near unurned cremation ",Y,,Gold,71387,National Museum of Scotland,X.EQ 126,,,
60008,73107,,Other,,,86,Disc,,"Knowes of Trotty Barrow 1: One of four thin circular disc of gold with raised geometric design, from the grave of important individual, probably a woman, buried at the Knowes of Trotty, Huntiscarth, Orkney, around 1900 BCTwo of the discs were almost complete while the other two were fragmentary all four are very fragile, and were torn, crumpled and two were rather incomplete. Originally they would all have been roughly the same size – c. 75 mm in diameter and with central hole c. 10 mm in diameter. The discs were decorated with a geometric linear design featuring concentric circles and some were filled with zigzag or wavy motifs. Compositional analysis of the gold in the 1960s indicates that they all had a very similar composition, and may have been made from the same parent material.  They were relatively tin-rich gold and it is possible that they relate to as a yet located unlocated Scottish source as suggested by Joan Taylor (1980: 19–21). These gold discs have in form parallels with the eg from Banc Tynddiol (Cwmwystwyth) and of course Wessex regions even more exotic climes such as northern and central Portugal (eg Oiros, Atios & Valdeprados)",N/a,Fragment(s),Fresh,Unknown,Indirect,In chamber/cist,"On the floor of one corner of the cist resting on a flat stone, Near unurned cremation ",Y,,Gold,71387,National Museum of Scotland,X.EQ 127,,,
60008,73108,,Jewellery,,,124,Necklace,,"Knowes of Trotty Barrow 1: angularly-shaped pieces of amber. Petrie admitted that it was likely that a number of additional amber beads had been lost in amongst the debris falling into the cist. His illustrations show 27 pieces of amber but only 20 are now extant and of these, 18 belong to identifiable objects. These are 15 cylindrical and disc-shaped beads with rectangular spacer-plate - amber spacer bead necklace ",N/a,Almost complete,Unknown,Unknown,Direct,Mixed with body parts,On floor of cist with cremated remains ,,,Amber,71387,National Museum of Scotland,X.EQ 130,,,
60008,73109,,Jewellery,,,234,Lozenge,,Knowes of Trotty Barrow 1: fragments of gold from gold lozenge (with decoration),N/a,Fragment(s),Worn,Unknown,Unknown,Unknown,,Y,,Gold,71387,National Museum of Scotland,,,,
60008,73110,,Jewellery,,,129,Pendant,,Knowes of Trotty Barrow 1: two large hook amber pendants,N/a,Almost complete,Unknown,Unknown,Indirect,In chamber/cist,On the floor of one corner of the cist resting on a flat stone near the unurned cremation ,,,Amber,71387,National Museum of Scotland,,,,
71687,73111,,Pot,,,239,Pot,Belgic-Related Tradition (Other fineware vessel),"Wheel-made, brown-grey grog-tempered fabric with buff interior surface and pale red outer surface, softish, smoothed but not burnished. This is one of a group of interesting early attempts at producing locally made jugs. All these early jugs show much individuality of form. The Allington example perhaps copies a metal prototype. The drawing shows where the wall of the pot was spread around the plug handle to attach it firmly; but it was evidently not firm enough (Thompson 1978, 131-3, fig.2 no. 11).",N/a,Unknown,Unknown,Unknown,Missing,Unknown,,,,Pottery,74393,Maidstone Museum,"Allington, 4 AL 1.23. ",,,409
71687,73112,,Pot,,,239,Pot,Belgic-Related Tradition (Other fineware vessel),"Wheel-made, black gritty fabric with pale buff-brown patchy surfaces, burnished. The fabric is not easy to distinguish.(Thompson 1978, 133, fig.2 no. 12).",N/a,Unknown,Unknown,Unknown,Missing,Unknown,,,,Pottery,74393,Maidstone Museum,"Tassel's Quarry, 4 AL 1.9.",,,409
71687,73113,,Pot,,,242,Pot,Gallo-Belgic Ware (Specified type),"Brown gritty fabric; tooling marks all over the surface. A curious little flask shape. These are apparently related to Camulodunum type 234, defined as 'a small flask with mildly flattened shoulder', usually in thin romanizing native ware (Thompson 1978, 133, fig.2 no. 13).",N/a,Unknown,Unknown,Unknown,Missing,Unknown,,,,Pottery,74393,Maidstone Museum,"Tassel's Quarry, 4 AL 1.19.",,,409
71687,73114,,Pot,,,242,Pot,Gallo-Belgic Ware (Specified type),"Kent gritty fabric, brownish-grey; interior conjectural as now badly distorted and much restored. Rim accurate. Apparently a butt-beaker copy, Camulodunum type 115; the beaded foot is rare (Thompson 1978, 133, fig.2 no. 14).",N/a,Unknown,Unknown,Unknown,Missing,Unknown,,,,Pottery,74393,Maidstone Museum,Tassel's Quarry 4 AL 1.2.,,,409
71687,73115,,Pot,,,241,Pot,Belgic-Related Tradition (Other specified type),"Kent gritty fabric, grey-buff, traces of burnishing and tooled lines on outside. A basically biconical shape with a small rim (Thompson 1978, 133-4, fig.2 no. 15).",N/a,Unknown,Unknown,Unknown,Missing,Unknown,,,,Pottery,74393,Maidstone Museum,Tassel's Quarry 4 AL 1.5. Charles Coll.,,,409
71687,73116,,Pot,,,239,Pot,Belgic-Related Tradition (Other fineware vessel),"Hard hand-made Kent gritty fabric,black core, patchy brown-black worn burnished outside surface, grey smooth inside. These deep lids could easily be used as small bowls (Thompson 1978, 134, fig.2 no. 16).",N/a,Unknown,Worn,Unknown,Missing,Unknown,,,,Pottery,74393,Maidstone Museum,"Tassel's Quarry, 4 AL 1.10.",,,409
71687,73117,,Pot,,,242,Pot,Gallo-Belgic Ware (Specified type),"Dark brown probably grog-tempered fabric with patchy brown-buff-black surface. A plain version of Camulodunum type 221, the standard shallow wide-mouthed jar type. The rim here is the local unthickened version, only slightly everted (Thompson 1978, 134, fig.2 no. 17).",N/a,Unknown,Unknown,Unknown,Missing,Unknown,,,,Pottery,74393,Maidstone Museum,"Tassel's Quarry, 4 AL 1.8.",,,409
72318,73118,,Pot,,,239,Pot,Belgic-Related Tradition (Other fineware vessel),"Roughish pale red fabric, not very hard, pale grits, and patchy red-buff-black surface once burnished black over rim and shoulder. A curious elegant tulip shape reminiscent of the earlier Iron Age tradition of everted-rim footring bowls (Thompson 1978, 134, fig.2 no. 18).",N/a,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Pottery,71388,Maidstone Museum,"Tassel's Quarry, 4 AL 1.6.",,,409
71687,73119,,Pot,,,242,Pot,Gallo-Belgic Ware (Specified type),"Hard pale cream fabric, light weight. Camulodunum type 161 Ab, imported, before A.D. 50 (Thompson 1978, 134, fig.2 no. 19).",N/a,Unknown,Unknown,Unknown,Missing,Unknown,,,,Pottery,74393,Maidstone Museum,"Allington, 4 AL B",,,409
60013,73120,,Other,,,264,Cramp,,Cramp that may just be pyre debris but may be organic pyre goods ; it could be seaweed. Note that some of this vitrified material/ cramp was attached to the body - it may also be related to the burning of the body - burning of body fat ,N/a,Unknown,Unknown,Unknown,Direct,Mixed with body parts,Cramp associated with the cremated remains and some adhees to the urn - possible seaweed or organic grave goods or burnt far while pot also in pyre? ,,,Organic  (Uncertain/Unspecified),71390,Unknown,,,,
60015,73121,,Flint tool,,,22,Arrowhead (Unknown/Unspecified),,In paving of cist was a flaked leaf-shaped or ogival arrowhead,N/a,Almost complete,Worn,Unknown,Direct,Under body,Found embedded in clay and paving of the cist floor below cremation ,,,Chert / Flint [Flint],71391,Orkney Museum (Kirkwall),,,,
60016,73122,,Axe,,,25,Axe/Axehead,Axe (Polished),Knoll of Skulzie: Two polished stone axes with the human  skulls ; not certain whether they are curated objects or contemporaneous with the bodies,N/a,Complete,Unknown,Unknown,Direct,Mixed with body parts,Placed with the human skulls,,,Stone (Uncertain/Unspecified),60001,Unknown,,,,
60021,73123,,Natural object,,,128,Pebble,,Barra Grave 303 (Cook 2006): Beach cobble from grave 303 - smoothed and polished ,N/a,Complete,Unknown,Unknown,Indirect,In chamber/cist,Placed in corner of cist,,,Stone (Uncertain/Unspecified),71392,Unknown,,,,
60021,73124,,Pot,,,139,Pot,Beaker,"Barra Grave 303 (Cook 2006): Small sherds of Beaker pot from grave - just in grave fill. Also note this is not a complete Beaker pot. Like Ireland, Beakers seem to be deposited as parts and not wholes here. Also judging by the 14C dates, this is rather late if not indeed EBA in date",N/a,Fragment(s),Worn,Unknown,Indirect,In grave fill,Placed in grave fill ,,,Pottery,71393,Unknown,,,,
72319,73125,,Natural object,,,128,Pebble,,Barra Cist 306 (Cook 2006): Gneiss/ granite (non-local stone from Lewis) in corner of grave 306,N/a,Complete,Unknown,Unknown,Indirect,In grave fill,Placed in corner of cist ,,,Granite,71394,Unknown,,,,
72320,73127,,Grave furnishing,,,255,Pillow,,Barra Cist 103 (Cook 2006): An organic pillow under head of burial in grave 103 (head slumped); some staining ,N/a,Unknown,Unknown,On side,Direct,Head,Pillow made of organic material and flowers etc placed under head,,,Organic  (Uncertain/Unspecified),71395,Unknown,,,,
72321,73128,,Natural object,,,128,Pebble,,Several quartz pebbles in cist,N/a,Unknown,Unknown,Unknown,Indirect,In grave fill,Placed in the cist with the burial- disturbance make relationship unclear ,,,Quartz/Quartzite,71396,Unknown,,,,
72321,73129,,Pot,,,139,Pot,Beaker,Beaker pot sherds  found in cist - again interesting that these are parts not wholes of a vessel,N/a,Fragment(s),Unknown,Unknown,Indirect,In chamber/cist,Sherds of Beaker in cist ,,,Pottery,71396,Unknown,,,,
72322,73130,,Container,,,212,Vessel (Unknown/Unspecified),,"Broken steatite urn with incised line decoration. Suggestion that there may have been fragments of two steatite urns. Mainly base and three pieces of rim. As the cremated remains, including skull fragmets, were found in and amongst the steatite urn, it is likely that the vessel originally contained them ",N/a,Fragment(s),Unknown,Unknown,Direct,Mixed with body parts,"Mixed in with cremated remains and may originally have been the container of them, only now broken ",,,Steatite,71397,Unknown,,,,
72323,73131,,Pot,,,170,Pot,Urn (Unknown/Unspecified),"Large bucket shaped urn (but note not Deverel-Rimbury), undecorated apart from incised lines along edge of rim; 75% complete . Dates suggest it is of EBA date. It contained the two individuals and was in an inverted position in the cist and cremated remains had spilled out ",N/a,Almost complete,Unknown,Inverted,Direct,Container of body,,,,Pottery,"71398, 71399",Unknown,,,,470
72324,73134,,Other,,,225,Assemblage,,"<Barber et al 1996, Bu Farm>: Mammal, bird and fish bones were represented  in the deposit which underlay  the cist (F406). The mammal remains included sheep (Ovis aries), dog/fox (Canis sp/ Vulpes vulpes), and common vole (Microtus arvalis). It should be noted that  immature  dog and fox bones  are morphologically very similar and, in the case of a single bone, it is difficult to draw a definite conclusion about the species present. The bird remains included red grouse (Lagopus scoticus), teal (Anas crecca), kitti  wake (Rissa tridactyla), guillemot (Uria aalge), snipe (Gallinago gallinago ), gannet (Sula bassana) and greylag goose (Anser anser). Fish was represented by a single cod (Gadus morhua) premaxilla.O'Sullivan in Barber et al 1996 notes that: this material may represent either creatures that used the cairn for nesting or remains which were deposited in the cairn by predators and carrion-eaters. This explanation may account for the wide range of faunal remains from the disturbed, partly vacuous body of the cairn, but is less likely to be true of the sheep, vole, dog/fox and wildfowl bones which were sealed by the central cist. These - with the possible exception of the rodent bones - may have been deliberately deposited prior to construction of the cist. This could be asserted with more confidence if the bones were burnt. However, as this is not the case, the possibility  that these bones  are also intrusive cannot be dismissed and their significance remains unresolved.",N/a,Unknown,Unknown,Unknown,Direct,Mixed with body parts,,,,Bone/Antler/Horn/Ivory/Tooth (Animal) [Bone],71400,Unknown,,,,
60025,73136,,Unknown,,,219,Worked Stone,,roughly carved skull-shaped stone in cist with cremation ,N/a,Unknown,Unknown,Unknown,Indirect,In chamber/cist,In cist with unurned cremation ,,,Stone (Uncertain/Unspecified),71402,Unknown,,,,
60027,73138,,Natural object,,,188,Shell,,Mass of limpet shells associated with the cists,N/a,Unknown,Unknown,Unknown,Indirect,In chamber/cist,Pile of limpet shells placed in cist ,,,Coral/Shell [Shell],71404,Unknown,,,,
60027,73139,,Pot,,,170,Pot,Urn (Unknown/Unspecified),fragment of undecorated coarse pottery blackened by fire was also amongst the shells. ,N/a,Fragment(s),Burnt,Unknown,Indirect,In chamber/cist,Sherd of burnt pt placed with the burial in the cist ,,,Pottery,71404,Unknown,,,,
60028,73140,,Pin/point/brooch_p,,,134,Pin (Unknown/Unspecified),,"<Murphy et al 2006 Northton, Harris, Corbelled Cist, primary burial (Skeleton III)>: Highly polished bone pin with a perforated head, made from a bird or medium sized mammal long bone. The pin may be a dress or body ornament and has certain parallels with Early Bronze Age metal ring-headed pins.",N/a,Complete,Unknown,Unknown,Direct,Unknown,,,,Bone/Antler/Horn/Ivory/Tooth (Animal) [Bone],71406,Unknown,,,,
72327,73141,,Pot,,,172,Pot (Unknown/Unspecified),,"<Murphy et al 2006 Northton, Harris, Corbelled Cist, secondary burial, Skeleton I>: Small barrel-shaped coarse plain pot.",N/a,Almost complete,Unknown,Unknown,Direct,Mixed with body parts,,,,Pottery,71408,Unknown,,,,
72326,73142,,Pot,,,172,Pot (Unknown/Unspecified),,"<Murphy et al 2006 Northton, Harris, Stone Setting II (Find no. 80/Vessel 17)>: Small, thick and heavy barrel-shaped pot.",N/a,Complete,Unknown,Unknown,Direct,Mixed with body parts,,,,Pottery,71409,Unknown,,,,
60029,73143,,Pot,,,170,Pot,Urn (Unknown/Unspecified),"burnt bones and ashes in urn  and covered with clay and with a whetstone. urn, 13ins. high and 10ins. wide at its mouth, three fourths full of burnt bones and ashes",N/a,Complete,Fresh,Upright,Direct,Container of body,Placed in centre of the cist and 3/4 full of bone and ashes ,,,Pottery,71410,Unknown,,,,
60029,73144,,Tool,,,217,Whetstone ,,elongated whetstone found just outside cist and on capstone at NE end;  perforated ; possibly also a pendant ,N/a,Unknown,Worn,Unknown,Indirect,On cist/capstone,Placed n top of the cist capstone at its NE end.,,,Stone (Uncertain/Unspecified),71410,Unknown,,,,
60030,73145,,Tool,,,217,Whetstone ,,"Sandwiched between 2 slabs  were many shells and alsoa perforated triangular beache pebble, elongated in form and made of sandstone. It is likely a =whetstone ",N/a,Complete,Worn,Unknown,Direct,Under body,Below body and sandwiched between two stone slabs with 100s of shells ,,,Sandstone,71411,Unknown,,,,715
60030,73146,,Other,,,225,Assemblage,,"Sandwiched Between 2 slabs on which were several hundred small shells placed in a concentric pattern,Deliberately arranged shells? ",N/a,Unknown,Unknown,Unknown,Direct,Under body,Below body and sandwiched between two stone slabs with 100s of shells ,,,Coral/Shell [Shell],71411,Unknown,,,,715
60030,73147,,Tool,,,217,Whetstone ,,"Spatulate polished sandstone implement, 1 1/4"" thick. ",N/a,Almost complete,Unknown,Unknown,Indirect,On cist/capstone,Placed on the cist capstone ,,,Sandstone,71411,Unknown,,,,715
