Site_ID,PGGP_event_ID,HER_event_ID,HER_event_type,Event_type,Event_name,Event_description,Event_summary,Event_start,Event_end
60182,436,609725,EXCAVATION,Partial Investigation,,"NF 7754 6172 A small rescue excavation was carried out at the extensive midden and settlement site at Ceardach Ruadh, (NF76SE 9). Local school children helped to carry out the excavation as part of a collaborative project organised by the cultural co-ordinator service of the CNES education department, the Access Archaeology group and Uist Archaeology. The excavation focused on a small area on the foreshore where archaeological deposits had recently been exposed through erosion.The excavation revealed the remains of a possible Iron Age wheelhouse. An area of shingle was cleared, exposing deep floor deposits abutting a possible pier. Large amounts of animal bone and pottery were recovered from the floor deposits. Small finds included an almost complete pot and a single piece of flint. The pottery included wavy cordon decorations and everted rim ware indicating middle to late Iron Age dates. The remains lie 20m to the N of Iron Age structures and burials excavated in the 1960s to 1990s (NF76SE 9), andare probably part of the same settlement complex.Archive and Report: CNES SMR and RCAHMS (intended)Funder: Comhairle Nan Eilean SiarKate MacDonald and Rebecca Rennell ? Uist Archaeology 2009",,01/01/2009,31/12/2009
60182,437,587445,PUBLICATION ACCOUNT,N/a,,"NF76  1  A CHEARDACH RUADH ('Cheardach Ruadh',  `Baleshare?)  NF/7763 6157The remains of this probable wheel-house on Baleshare Island in North Uist  have been exposed by coastal erosion (the name means 'The red smiddy').  Midden material in layers in the sand has been observed over the years, including plain ?wheelhouse pottery? in an upper layer [3, 1963] and, in a lower level, thick sherds. Human remains have been excavated at the site but the Iron Age dwelling, if it exists, remains unexplored.In the 1980s a programme of record-ing eroding archaeological sites in Bale-share was  undertaken and a vast amount of data collected [9]. The methodology employed meant that  only the eroding sections of sites were explored and that their nature could not be investigated  in depth.   One of the sites is thought to have been near or at the supposed wheelhouse and dumped material in a stone passage (`Block 7?) revealed most of a pot which bears a remarkable resemblance to that found in 1956 at Bruthach a? Tuath (NF75 1) in Benbecula [9, photo on p. 43].     The stratified sequence of radiocarbon dates obtained suggests that the Block 7 deposits, though not themselves dated,  fall between  about 2250 and 2120 bp [9,  40] ?  that is probably in about the 3rd century BC.Sources:  1. NMRS site no. NF 76 SE 9:  2.  Beveridge 1911, 229: 3. Discovery and Excavation in Scotland 1963, 31-2:  Ibid. 1964,  33:  Ibid 1975, 60:  Ibid. 1984, 44:  Ibid. 1993, 113:  Ibid. 2001, 102:  4. Armit 1996, 28, 99, 149:  5. Gilmour 2002, 57:  6. Proc Soc Antiq Scot 56 (1921-22), 16 (donation):  7. Proc Soc Antiq Scot 105 (1972-74), 325 (donation):  8. Proc Soc Antiq Scot 107 (1975-76), 333 (donation):  9. See the Scottish Archaeology  Internet Report at http://www.sair.org.uk/sair3/.E W MacKie 2007",,2007,
60182,438,993374,EXCAVATION,Full Excavation (1950-),,"NF 77630 61590 An excavation was undertaken 6?18 January 2012 of a possible cremation urn, which had been discovered in eroding sand dunes. The ongoing erosion has created 4m high W-facing dunes and the urn was exposed near the base of a sequence of midden deposits. The midden extends c40m to the N, 10m to the S and is c1.5m deep.The pot had been deliberately deposited above a layer of midden material. Although the base of the pot was intact the vessel was not complete and only one side of the pot, which had collapsed, was in situ. The pot is an undecorated, straight-sided, bucket-shaped vessel, and has a straight rim with a slightly bevelled interior. The pot contained nine quartz pebbles within loose dark brown sand. There was no evidence that the pot had contained cremated material. However, a thin black residue was visible on the inner surface of the pot. The contents of the pot were recovered for further analysis. The pot was covered by further midden deposits. A setting of five, irregular shaped stones which had been set within one of the upper deposits may have been placed to mark the pot?s location. Further midden deposits had accumulated above the stone marked layer, one of which contained several pieces of plain pottery, a bone point and unworked bone.A large amount of archaeological material has been recorded at Ceardach Ruadh over the last century, and the progressive and ongoing erosion has revealed a complex sequence of Late Bronze Age to Late Iron Age activity, as well as a number of burials. It is probable that the pot and midden form part of this prehistoric settlement complex.Archive and report: RCAHMS (intended). Report: CNES SMRFunder: Historic ScotlandKate MacDonald, Uist ArchaeologyRebecca Rennell, 2012",,01/01/2012,31/01/2012
60182,439,1007935,FIELD VISIT,N/a,,"ShoreUPDATE:A 2-3m thickness of midden material comprising peat ash with frequent marine shell, bone and pot exposed along 50-60m of eroding dune face. A small amount of stone, just appearing appears to be laid horizontally. No sign of other stone structures yet. They may survive in the mound of which the midden forms the seaward side.This is almost certainly the beginnings of the erosion of a further wheelhouse; part of the settlement of which wheelhouse 9609 c. 200m to the north is part.Visited by Scotland's Coastal Heritage at Risk (SCHARP) 22 September 2014",,2014,
60182,440,1000789,ENVIRONMENTAL SAMPLING,Partial Investigation,,"NF 776 615  The site was initially cored to establish the horizontal extent of the midden exposed in the sand dune by erosion.  Humus-stained sand and midden deposits were found up to 100m from the beach and for at least 50m along its length.  The midden face was straightened, drawn and sampled.  The partial remains of a drystone circular structure and other stone structures were found.  On either side, the midden was about 3m in depth beneath 1m of clean sand.  A second midden was found beneath the first, separated from it by about 0.5m of clean sand.J Barber 1984c.",,01/01/1984,31/12/1984
60104,441,656828,ARCHAEOLOGY NOTES,Antiquarian Excavation (pre-1950),,"NF77NE 15 7684 7520 (NF 7684 7520) - Chambered cairn or long cist lying upon Geirisclett, almost exactly at high-water-mark on the extremity of a small point. It was investigated by Beveridge who found three of its sides intact but the east end entirely lost. At that point there were slight indications of a narrow passage bending towards the south. Part of a fallen capstone was found at the western end and what appeared to be the main capstone a few yards away. The chamber was paved throughout.  Finds included fragments of pottery, a flint scraper and a broken hammerstone. (E Beveridge 1911)  The site was visited by Miss Henshall in 1962, when the cairn was found to be considerably robbed and disturbed:  on the south side stones have been built into a rough breakwater projecting from the cairn to make a sheltered landing-place.  (Information from MS, A S Hensall [Chambered Tombs of Scotland, Vol. 2])  The finds are in the National Museum of Antiquities of Scotland (NMAS).  E Beveridge 1911; Proc Soc Antiq Scot 1912.   The remains of this much-robbed cairn are generally as described and planned by Henshall.  The chamber is in a good state of preservation. To the east of the chamber, on the high-water-line, is the probable capstone, with another large stone to its north.  Surveyed at 1/10,560.  Visited by OS (W D J), 21 June 1965.NF 7684 7520  A trial excavation was conducted, by the author in association with CFA, in the chamber of this Neolithic tomb which had been previously investigated by Erskine Beveridge in the first decade of this century (NF 77 NE 15). The chamber lies at HWM and is highly vulnerable to tidal erosion and scouring.Excavations revealed an inner and outer chamber divided by a substantial threshold slab. The inner chamber was neatly paved, as Beveridge had suggested, and also incorporated a hearth in its NW corner. Further excavation, in a 1 x 1m area where there was no paving, revealed underlying and apparently undisturbed deposits, the earliest of which was a dark silty material banked up against the sides of the chamber.Paving in the outer chamber had been all but removed by scouring, apparently since Beveridge's time, revealing a partial lower paving of small stones and a post-hole containing two sherds of Neolithic pottery (Hebridean Ware), probably residual.The paving and associated features in both chambers appear to date to a period after the removal of the tomb's capstones, possibly in the Bronze Age or later, and may relate to secondary buildings built into the body of the cairn. The excavations have, however, demonstrated the survival of earlier deposits and artefactual remains at risk from further erosion and scouring.Sponsor: Historic ScotlandI Armit 1996.NF 7684 7520  Further excavations were conducted during May 1997 at the Neolithic chambered tomb of Geirisclett (NMRS NF 77 NE 15). Trial excavations in 1996 (Armit 1996) had demonstrated that primary tomb deposits in the burial chamber and passage areas had survived previous investigations c 1900-10 by Erskine Beveridge, but that these were now under threat of scouring by tidal action. The 1997 season was designed to excavate fully any deposits surviving in the burial chamber and passage areas in advance of their destruction. The structure of the cairn was not examined as it is not considered to be at risk in the medium term. The burial chamber is an open-ended rectangle, 2.7 x 1.4m, and is divided into two compartments by upright sill stones c 0.5m high. Its walls are defined by five large orthostats, 1.15-2m high. The passage leading to the chamber is c 2.1m long and of uncertain width, and the kerb of the cairn was traced running in a gentle arc to the N from the passage for c 4.5m.The inner compartment of the burial chamber contained a sequence of fills which can be divided into four units - patches of a primary floor, in situ secondary fills, disturbed secondary fills, and tertiary paving associated with hearths. It",,01/01/1901,31/12/1910
60104,442,578944,FIELD VISIT,N/a,,"This chambered cairn is situated at the present high water mark where it is still susceptible to tidal movement and erosion. The cairn is largely as described by Henshall and it remains unclear whether the large prostrate slab at the SW side of the chamber entrance was a portal stone or an upright of a facade. Excavation of the chamber and its floor deposits in 1997 revealed that it was divided into two compartments by upright sill stones 0.5m high, and presumably these stones equate with those shown on Henshall?s plan and described in the accompanying account as `two small stones placed across the chamber floor? (page 516). However, Beveridge?s photographs of the chamber taken in 1908 do not appear to show these stones and indeed the interior appears relatively stone free. This suggests that Beveridge?s photographs were taken after he had cleared the chamber of `the accumulated rubbish?, and raises the possibility that he introduced the sill stones, perhaps in an attempt to stabilise the sides of the chamber and minimise further tidal erosion.Visited by RCAHMS (ARG,SPH) 31 August 2009",,2009,
60149,443,656769,ARCHAEOLOGY NOTES,Partial Investigation,,"NF77NE 9 7683 7618.   (Name: NF 7683 7618) Sithean an Altair (NAT)  OS 6""map, Inverness-shire, 2nd ed., (1904)   Sithean an Altair is a small mound of sand situated near the centre of Vallay. Probable Late Bronze Age cremations were found in 1904 and later. From 12 to 14 cists contained burnt bone or ashes: two had incomplete cremations and two others contained rounded quartz pebbles, of which about 260 were found during the excavation. Various levels suggests burials over a long period.  E Beveridge 1911.   Sithean an Altair is a featureless area of uneven ground now under cultivation.  Visited by OS (J T T) 22 June 1965.",,01/01/1904,31/12/1911
60038,444,921086,FIELD VISIT,N/a,,"The remains of this chambered cairn are as described and planned by Henshall.  At least two sub-oval buildings (the larger 5.0m by 4.0m) lie among the cairn stones and there are the possible outlines of another in the cairn debris to the south.  Surveyed at 1/10,560.  Visited by OS (W D J) 17 June 1965.",,1965,
60038,445,921087,DESK BASED ASSESSMENT,N/a,,"(NF 7516 7101) Tigh Chloiche (NR)  OS 6""map, Inverness-shire, 2nd ed., (1903)   Tigh Chloiche, South Clettraval, a chambered cairn, has been much disturbed by secondary buildings and its present form bears little relationship to its original plan.  The narrow and almost parallel-sided chamber is surrounded on the N, E and S by traces of what appear to be circular buildings. Four orthostats of the chamber remain on the SW but the northern part cannot be traced. The entrance was from the E but nothing can be seen of the passage walls.  Large flat stone slabs lie displaced outside the chamber and, whereas the extent of the cairn is fairly well marked to the N. and E., it drops to an extensive low spread to the S and SE.  Finds of potsherds are in the National Museum of Antiquities of Scotland (NMAS).  A S Henshall 1972, visited 2 May 1962.",,1965,
60038,446,921129,FIELD VISIT,N/a,,"From RCAHMS 1928, 79234. Chambered Cairn (ruined), Tigh Cloiche, South Clettraval.On the south-eastern slope of South Clettraval, some 750 yards north of Loch Vausary, at an elevation of about 225 feet above sea-level, is Tigh Cloiche, a ruined chambered cairn. What survives is a mere fragment of the mound with the remains of the chamber quite exposed. The cairn seems to have been of the circular variety with a diameter of at least 60 feet, but it is now an irregular mass of stones measuring some 56 feet from east to west, 53 feet from north to south, and 5 feet in height, with two detached heaps of stone lying on the south or lower side. The chamber, which has been curvilinear with a diameter of possibly 9 feet, has been formed of slabs set on end, six or seven of these on the south and west remaining near their original position. The largest of these slabs on the south of the chamber stands 4 feet above the debris in which it is embedded, and measures5 feet in width and 8 inches in thickness; its top stands 9 feet above the outer level on the south side of the cairn. Within the chamber are two large cover stones or perhaps one broken longitudinally in two; taken together they show a length of 8 feet 6 inches and a breadth of 7 feet 7 inches. The entrance passage is not traceable, but it seems to have run out from the chamber slightly to the north of east. A fine, large slab, 9 feet long, 3 feet 10 inches broad, and 11 inches thick, lying just outside the east of the chamber, which possibly may not have been disturbed, has the appearance of the inner lintel stone of the passage. Between it and the edge of the cairn and on the south-west and north slopes are many large slabs. Some fragments of pottery were found by Dr. Beveridge on the floor of the chamber and the passage.North Uist, p. 252.North Uist xxxiv. Visited by RCAHMS 9 September 1914",,1914,
60038,447,578952,FIELD VISIT,N/a,,"Lying immediately to the E of a modern fence in peat moorland, the remains are as planned by Henshall, though there are considerable doubts whether these relate to a chambered cairn or a round house. The sheer quantity of stones argues that this probably was a cairn, but it is not clear whether all of the four orthostats recorded on Henshall?s plan belong to the chamber. The lintels are set on piers within their line. While these may have been robbed from a chamber, in their present position they are more likely to roof a later domestic structure. Amongst the stone debris, there are traces of at least another two subrectangular buildings.Visited by RCAHMS (ARG,SPH) 31 August 2009",,2009,
60038,448,864404,ARCHAEOLOGY NOTES,Partial Investigation,,"NF77SE 14 7516 7101.   (NF 7516 7101) Tigh Chloiche (NR)  OS 6""map, Inverness-shire, 2nd ed., (1903)   Tigh Chloiche, South Clettraval, a chambered cairn, has been much disturbed by secondary buildings and its present form bears little relationship to its original plan.  The narrow and almost parallel-sided chamber is surrounded on the N, E and S by traces of what appear to be circular buildings. Four orthostats of the chamber remain on the SW but the northern part cannot be traced. The entrance was from the E but nothing can be seen of the passage walls.  Large flat stone slabs lie displaced outside the chamber and, whereas the extent of the cairn is fairly well marked to the N. and E., it drops to an extensive low spread to the S and SE.  Finds of potsherds are in the National Museum of Antiquities of Scotland (NMAS).  A S Henshall 1972, visited 2 May 1962.   The remains of this chambered cairn are as described and planned by Henshall.  At least two sub-oval buildings (the larger 5.0m by 4.0m) lie among the cairn stones and there are the possible outlines of another in the cairn debris to the south.  Surveyed at 1/10,560.  Visited by OS (W D J) 17 June 1965.Lying immediately to the E of a modern fence in peat moorland, the remains are as planned by Henshall, though there are considerable doubts whether these relate to a chambered cairn or a round house. The sheer quantity of stones argues that this probably was a cairn, but it is not clear whether all of the four orthostats recorded on Henshall?s plan belong to the chamber. The lintels are set on piers within their line. While these may have been robbed from a chamber, in their present position they are more likely to roof a later domestic structure. Amongst the stone debris, there are traces of at least another two subrectangular buildings.Visited by RCAHMS (ARG, SPH) 31 August 2009",,01/01/1901,31/12/1950
60038,449,933241,MEASURED SURVEY,,,Plane table and SRA method analytical survey of chambered cairn and attendant roundhouses.,,2012,2012
60098,450,921056,FIELD VISIT,Partial Investigation,,This chambered cairn is so mutilated that only the chamber and passage are surveyable.  Visited by OS 17 June 1965. and partially excavated by RCAHMS in 1966,,01/01/1966,12/12/1966
60098,451,921108,FIELD VISIT,N/a,,"Taken from RCAHMS 1928, 78233. Segmented Cairn (ruined), South Clettraval.About 400 yards south-east of the summit of South Clettraval and about 450 yards north-west of the chambered cairn (No. 234; NF77SE 14),at an elevation of about 400 feet above sea level, is a fragment of a segmented cairn, the stones no doubt having been utilised in the construction of the dun (No. 178; NF77SW 24), which encroaches on the western side of the cairn. The whole of the mound has disappeared with the exception of a slight heap lying to the south of the megalithic long chamber which was covered by the cairn and which has partly survived. Of this chamber and the entrance passage the western end slab, a stone 5 feet 2 inches in length, 3 feet in height, and 10 inches in thickness, and four of the slabs on the south side remain in situ, the south-western corner of the chamber being undisturbed; the side slabs reading from the west measure 8 feet6 inches, 5 feet 5 inches, 4 feet 4 inches and 5 feet 6 inches in length respectively, the extreme slabs being 3 feet and 2 feet 9 inches in height. The chamber and passage, which run east-south-east and west-north-west, have been 30 feet in length, and, judging from the slab at the west end, the former has been about 5 feet in breadth at that part. Parallel to the most easterly side slab, and 2 feet to the north of it, the edge of a slab just appears above ground, possibly giving the width of the passage near its entrance. To the south is a displaced stone of considerable size.North Uist xxxiv (unnoted). Visited by RCAHMS 9 September1914.",,1914,
60098,452,579259,FIELD VISIT,N/a,,"NF 7499 7135 During the course of a field visit by members of the Society in April 2008 it was noted that a cup-marked stone was lying loose near the base of the S side of the cairn. The stone measured c0.25 x 0.25m and the pecked cup mark was 75mm in diameter. The stone was left as found and the Western Isles archaeologist notified.Funder: BEVARSDiana Coles (BEVARS), 2008",,2008,
60098,453,864516,ARCHAEOLOGY NOTES,,,"NF77SW 15 7499 7135.   A Clyde-type, chambered long cairn, wedge-shaped, 95ft (29m) long E-W with, at the E end, an impressive facade, mainly orthostatic, through which the chamber, c. 34 1/2 ft (10.5m) long, was entered and in front of which was a paved forecourt.  A kerb consisting of massive blocks, averaging 2 1/2ft (0.7m) high can be traced in stretches. The cairn was severely damaged and robbed for the building of an iron age aisled round-house (NF77SW 24) which was inserted into its W end. The site was excavated by Scott in the 1930s and 1940s; finds from the cairn, now in NMAS, include beaker sherds.  E Beveridge 1911; RCAHMS 1928;W L Scott 1935; 1947; A S Henshall 1972.   This chambered cairn is so mutilated that only the chamber and passage are surveyable.  Visited by OS 17 June 1965. This chambered cairn is situated on the leading edge of a terrace in peat moorland and is largely as planned and described by Henshall. The cairn material has been heavily robbed for the construction of an Iron Age round house that overlies its W end (NF77SW 24). At its E end, the orthostats of its once impressive facade have fallen and lie displaced, those on the S originally forming a near continuous line of six slabs reducing in height towards the outer edge of the cairn. The chamber, entered from the E, comprises five compartments and is set on a slight curve, though it is not central to the surviving cairn material.Visited by RCAHMS (ARG, SPH) 31 August 2009",,,
60098,454,578948,FIELD VISIT,N/a,,"This chambered cairn is situated on the leading edge of a terrace in peat moorland and is largely as planned and described by Henshall. The cairn material has been heavily robbed for the construction of an Iron Age round house that overlies its W end (NF77SW 24). At its E end, the orthostats of its once impressive facade have fallen and lie displaced, those on the S originally forming a near continuous line of six slabs reducing in height towards the outer edge of the cairn. The chamber, entered from the E, comprises five compartments and is set on a slight curve, though it is not central to the surviving cairn material.Visited by RCAHMS (ARG,SPH) 31 August 2009",,2009,
60098,455,566913,SUMMARY RECORD,,,"Chambered Cairn, Clettraval 4th-3rd millennia bc Neolithic tomb of a rectangular form associated with the Clyde area, but virtually unique in the Hebrides. Originally wedge-shaped with a compartmented chamber, this 'long cairn' has been much robbed, although most of the large slabs supporting the chamber walls survive. To its west, the site of an Iron Age wheelhouse.Taken from ""Western Seaboard: An Illustrated Architectural Guide"", by Mary Miers, 2008.  Published by the Rutland Press  http://www.rias.org.uk",,2008,
60098,456,974220,MEASURED SURVEY,,,A measured survey of the cairn and roundhouse was undertaken by RCAHMS.,,2012,2012
60142,457,921036,FIELD VISIT,,,"Approx. NF 7084 7202. Mr Macdonald (L Macdonald, Tighary) stated that the skull and cist were uncovered by his grandfather, about 100 years ago, close to a spot where he himself dug up a skeleton, of no great age, in 1956.  There is no evidence of a cist to be seen at the site. Visited by OS ( J T T), 24 June 1965.",,1965,
60142,458,656781,ARCHAEOLOGY NOTES,Casual Observation,,"NF77SW 4 c. 7084 7202 An inhumation in a short cist was found by a crofter in his garden at Tighary. The grave was cleared of its contents, which included 'a skull so vast that when placed on his (the finder's) own head it covered his shoulders'.  The bones were later re-interred.  J V S Megaw and D D A Simpson 1963; J V S Megaw 1963.   Approx. NF 7084 7202. Mr Macdonald (L Macdonald, Tighary) stated that the skull and cist were uncovered by his grandfather, about 100 years ago, close to a spot where he himself dug up a skeleton, of no great age, in 1956.  There is no evidence of a cist to be seen at the site. Visited by OS ( J T T), 24 June 1965.",,01/01/1850,31/12/1850
60142,459,934557,FIELD VISIT,N/a,,"An upright slab, measuring 0.7m high by 0.45m broad and 0.12m thick, and leaning slightly to the N, stands in a field of pasture immediately SW of the cottage at Tighary. The present occupant of the cottage, who recalls that the stone lay fallen when found, believes it to have once formed part of a cist, although no comparable stones are visible. Visited by RCAHMS (JRS, ATW), 30 May 2012.",,2012,
60174,460,656574,ARCHAEOLOGY NOTES,Partial Investigation,,"NF85SE 4 8728 5380.   NF 873 537 Rossinish, Benbecula. Many early horizons have been recently revealed by wind erosion in a large isolated machair hillock. At a low level and endangered by the sea is a complex burial site of cremation pits, slab cist, and at least one beehive tomb. Skeletal material and pottery were found.  Mr Peter Morrison, Grimsay, reported this site and a rescue operation was carried out here in August (1964) on behalf of the National Museum of Antiquities of Scotland (NMAS).  I A Crawford 1964.   The only remaining significant feature at this site is the remains of a small, almost circular, yard, about 2.5m in diameter by 0.3m high, at NF 8728 5380, around which there are numerous middens.  Visited by OS (R D) 8 June 1965.   No conclusions as yet, but provisional dating is Neolithic Beaker period.  Information in telecommunication from I A Crawford, School of Scottish Studies.NF 8724 5381 Decorated and plain Iron Age pottery found 4th September 1999. Site identified during a desk-based coastal zone assessment by GUARD.David Sneddon, 2006.",,01/08/1964,30/08/1964
60112,461,656217,ARCHAEOLOGY NOTES,Antiquarian Excavation (pre-1950),,"NF86NW 4 80033 66859See also NF86NW 18 (Iron Age house). A square cairn, with a Hebridean type chamber, excavated by Scott in 1935 and 1939 (W L Scott 1950).  It measures 53ft (16.1m) along each side and 4ft (1.2m) in maximum height. The facade in the ESE and the peristalith, where visible, are of orthostats alternating with drystone walling. The chamber, entered through the facade, contained a cist-like structure with inhumations. Pottery from the cairn included Grooved Ware, Beaker and Cinerary Urn as well as its definitive round-based ware. Some 23ft (7m) from the SW corner of the cairn is a standing stone, 10ft (3m) high and 5ft (1.5m) wide, facing the centre of the cairn. In the early iron age a stone-walled house (NF86NW 18) was built into the NE corner of the cairn. E Beveridge 1911; RCAHMS 1928; W L Scott 1948; A S Henshall 1972.",,01/01/1935,31/12/1939
60112,462,629736,FIELD VISIT,N/a,,"Situated on a terrace on the SW flank of Unival, this chambered cairn is largely as described and planned by Henshall. Though the cairn is said to be `almost square in plan?, it may be more D-shaped, with the facade on the ESE bowing outwards and the NNW and SSW sides narrowing slightly towards the rear, WNW, side. The cairn is grass grown with loose stones strewn across its interior and is defined by a peristalith of large slabs with little evidence of drystone masonry surviving between them. What may have been the stone forming the WSW corner lies flat, partly hidden in the heather. The entrance is more or less central to the facade with a short passage 1.4m long leading to an oval chamber; both the passage and chamber are set askew to the axis of the facade. Seven slabs make up the chamber, the tallest standing 2m high at the rear, W, end. The axis of the chamber extends through this slab and coincides not only with the tallest stone still standing on the WNW side of the peristalith, but also the largest stone on the facade. The remains of an Iron Age house (NF86NW 18) overlie the E of the cairn, while on the WSW, 7m beyond the peristalith, there is an impressive standing stone. This measures 1.45m in breadth by 0.15m in thickness and stands 2.6m in height in a water-filled peaty hollow with some chocking stones exposed around its base. Visited by RCAHMS (ARG,SPH) 23 September 2010",,2010,
60150,463,657292,ARCHAEOLOGY NOTES,Casual Observation,,"NF87NE 12 8878 7735 and 8879 7735.   (NF 8878 7735) Stone Cists (NR) Containing Human Remains found AD. 1845 OS 6"" map, Inverness-shire, 2nd ed., (1904)   Three stone cists were found.  Name Book 1978.   NF 887 773. A short cist containing a crouched female skeleton, a fragment of burnt bone and two small sherds comparable with 'wheel-house' pottery (Information from R J C Atkinson) was ploughed up by John Macaskill in 1955 on his land, 300 yards W of Newton House, and was examined by members of the Edinburgh University Archaeol Soc in 1957.  J V S Megaw and D D A Simpson 1963.   The short cist was sited at NF 8879 7735 (Information from Mr Donald MacAskill, Newton, North Uist) but has been ploughed over.  Site surveyed at 1/2500.  No further information could be obtained about the cists found AD.1845. Visited by OS (N K B) 22 June 1965.",,01/01/1845,31/12/1845
60163,464,657610,ARCHAEOLOGY NOTES,Antiquarian Excavation (pre-1950),,"NF87NE 6 899 782.   (Area : NF 900 784) Several ruined cists have been found by Beveridge on the sandy slope at Rudha na Traghad, a little to the east of Port nan Long. One contained an inverted urn with evidence of a cremated burial. The vessel had a crudely incised ornamental design on its flat base and nearby was a circular flat stone which would fit exactly the inverted mouth.  The quantity of potsherds over the area suggested a kiln, and in addition iron slag and red ashes were found, as if from a furnace.  Other finds included bone pinds, bronze brooches, two pieces of flint, boat rivets of Viking type etc., and part of a small clay crucible. (E Beveridge 1911)  The finds are in the National Museum of Antiquities of Scotland (NMAS).  E Beveridge 1911; Proc Soc Antiq Scot 1912; 1922; 1948.   Nothing was seen of the cists, but there is an extensive spread of midden material and fragmentary building remains in the area of open dune centred at NF 8992 7820.  Visited by OS (J T T) 26 June 1965.",,01/01/1901,31/12/1910
60163,465,1000791,EXCAVATION,Full Excavation (1950-),,"A midden was traced up to 40 m from the beach and for a length of over 100m. A section cut across the exposed midden face revealed dark stained sand and midden deposits to a depth of about 1.5 m. Possible stone wall foundations seen within the eroded debris were of post-medieval date.J Barber, 1984.",,1984,
60055,466,657268,ARCHAEOLOGY NOTES,Partial Investigation,,"NF87NW 1 8242 7843.   (NF 8242 7843) '... a ritual complex, of an orthostatic circle with associated cists amounting to a graveyard clearly extending well beyond the limits of this excavation,' was partially explored in 1964. It lies some 400ft due NW of the main mediaeval settlement at Udal (NF87NW 2). The complex appears to have been systematically robbed (so far as excavated at present) by the depositors of a large midden heap which abutts on to the ritual enclosure.  Pottery fragments and the structures themselves indicate a Bronze-to-Iron Age dating.  Excavation was abandoned as the discovery did not relate directly to the mediaeval settlement.  I A Crawford 1964.   Further evidence, but not yet conclusive, indicates a Neolithic-Iron Age burial complex.  Information in telecommunication from I A Crawford (School of Scottish Studies) to OS.",,01/01/1964,31/12/1964
60055,467,587494,PUBLICATION ACCOUNT,Full Excavation (1950-),,"NF87 6 THE UDAL (`Coileagean an Udail?)NF/824783These are four aisled wheelhouses, probably dug-out,  in North Uist [7, 232-3].  They appear to have been built into a slope and therefore to have been partly dug-out and partly free-standing.  The site at Udal is one of the most remarkable in north-west Europe and consists of several mounds containing structure and occupation layers spanning the last  three or four millennia.    It was excavated for many years in the 1960s, 1970s and 1980s by Iain Crawford  but full details of the discoveries are not available yet, and several interim reports have to be relied on.Judging from the small scale plan available [7, 122] three of the wheelhouses at Udal form a fairly tight cluster, like Foshigarry (NF77 6).   Some further architectural details can be gleaned from Crawford?s comments and table [7].   Four C-14 dates are listed in his table of dates [7, Table 15] and they all fall into the first and second centuries AD.   A piece of 3rd century Roman pot in a late wheelhouse context was also found [7, Table 17].Sources:  1. NMRS site no. NF 87 NW 1 and 2:  2. RCAHMS 1928, 273, no. 89:  3. Crawford 1965:  4. Crawford 1966:  5. Discovery and Excavation in Scotland,  1966, 29:  6. Armit 1992, 51-2:  7. Crawford 2002.E W MacKie 2007",,2007,
60059,468,656931,ARCHAEOLOGY NOTES,N/a,,"NF99SE 4 970 914.   (Area NF 970 915) Evidence of settlement is apparent among the sandhills on the neck of the Rudh 'an Teampull promontory to the N of the church An Teampull (NF99SE 6), the whole area being littered with shells, unornamented hand-made pottery and occasional animal bones. The area contains a grave (5ft 2ins x 1ft 6ins) formed by stone slabs set on edge, within which were found a few skeletal remains. Circular heaps of stones (12ft diameter x 1ft high) resembling cairns; a group of structures consisting of a circular setting of stones (9ft diameter), like a hut circle; a circular ring of stones (4ft 3ins diameter) with an inch-thick dark layer at foundation level; and another circular ring containing only clean sand.  On the edge of a sandhill area (34 x 13ft) with rounded corners outside the S corner of which is blackened sand indicating a fire-place.  RCAHMS 1928.   Little is now to be seen in this area of dunes, centred at NF 9700 9144, except a few small mounds, resembling clearance heaps, in a hollow, and what is probably the 'grave' described by the Commission. This latter, at NF 9697 9145, is defined by eleven small stones on edge, and is oriented N-S. There is no sign of skeletal remains and the setting bears little resemblance to a cist or later grave.  There are traces of cultivation both within and with- out the wall which spans the headland to the S, but this is probably fairly recent. (See NF99SE 6 for possible association with chapel and broch site)  Visited by OS (A A) 3 July 1969.",,,
