Site_context_ID,Site_context_name,HER_site_context_montype,Site_context_summary,Site_context_description
10004,"CHYSAUSTER - Bronze Age cairn, Bronze Age cup marked stone",CUP MARKED STONE,"An excavated cairn initially interpreted as a hut circle. The cairn was the focus for a number of cremations, six of which were associated with urns of Middle Bronze Age date.","A cairn on the slopes above Chysauster was initially interpreted as a hut circle in the 1950s during a survey by the OS. A subsequent OS visit in 1975 cast doubt on this interpretation; the surveyor then suggesting that it was in fact a clearance cairn. Excavation and survey by CAU and the CEU in 1984 proved it to be a Bronze Age funerary cairn. The monument is sited within a later IA/RB field system (36007.7). Excavations revealed a kerbed cairn, over 6m in diameter, comprising large granite blocks, each with one natural approximately flat surface and most of similar height, placed in position so that the flat faces made up the outer perimeter of a quite accurate circle; an apparent entrance c2m wide was incorporated on its south side. The body of the cairn was made up of sub-angular granite blocks laid mainly horizontally to produce a flattened top, level with the tops of the kerb stones. The exposed surface of one of the top stones of the infill, close to the possible entrance gap had a pecked cup-mark. The cairn was the focus for a number of cremations (9), six of which were associated with urns. The cairn had several structural phases. Within the main central body two adjacent features contained urned cremation burials and appear to have been the primary burials around which the cairn was designed. Placed outside the cairn kerb were a further six irregularly spaced satellite burials, four of which contained complete pots. Two further pits, shallow and truncated by ploughing, were located north-east of the cairn kerb with one containing a fragment of pottery.Finds included Trevisker style cremation urns, worked flint debitage, an amber bead, an ovoid slate disc, quartz crystals and a worked pebble (b7). A buried soil sampled from beneath the kerbed stones, provided a calibrated radiocarbon date 2280-1780BC. Radiocarbon dates from the cremation urns showed the monument to have been in use during the  Middle Bronze Age with the period c1800-1500 cal BC proposed as the bracket in which it was at one time built and used (b7). The site was reinstated after excavation and now sits in an area of enclosed croft (h4).Charcoal (Quercus sp.) was extracted from the top of the old land surface beneath cairn 38, context OLS 534 (7). The charcoal occurred over a fairly wide area and was scattered; ie it was not just a result of a small fire but may be the result of clearance of the woodland prior to the construction of the cairn. Radiocarbon dating from an oak sample from this deposit returned a date of 3650 80 BP (HAR-6548) - current calibration provides a date of 2_: 2280-1770 cal BC (b9).--------------------------------Site history:1: 1960. GEARY, E / OS2: 1975. FLETCHER, MJ / OS4: 1985. NOWAKOWSKI, J AND SHARPE, A / CAU--------------------------------"
10005,"TRYE - Bronze Age cairn, Bronze Age standing stone",STANDING STONE,"A menhir standing by a cairn, of which the latter was excavated in 1958 and 1962. A cremation and beaker vessel contained within a cist were recovered.","A standing stone is recorded at Trye on current OS maps (b9). It was excavated by Pool and Russell in 1958 and 1962 (h1, h3) and subsequent reports appeared in Proceedings of the West Cornwall Field Club and Cornish Archaeology (b1-b4). Excavation showed that the menhir stood by a cairn of stones, below which was a cremation and a beaker vessel contained within a cist (31514.01). The menhir was erected before the cist but it is probable that they form a single monument. Sherds found on the surrounding soil suggest the insertion of secondary burials which have since been scattered by ploughing (b4). The standing stone is of triangular section, tapering upwards. At the base, the sides are 0.6m wide and the stone is 2.5m high. There are no surface remains of the cairn (h2). Pool and Russell record that the west side of the pit containing the menhir had been disturbed by a later horse burial (31514.02). Trye menhir is a Scheduled Monument but no HBMC record is held at CAU.--------------------------------Site history:2: 1960. QUINNELL, NV / OS--------------------------------<MCO27782>: During excavations at Trye menhir (h1,h3), a cist was found, sunk into the rab, beneath a cairn. Pool and Russell record that the cist was c1.0m east of the menhir and was formed by four granite blocks set on edge, covered by a single capstone which was in turn covered by a cairn and loose stones. Within the cist was a handled beaker found lying intact on its site (this vessel is illustrated by Clarke in b7). Fragments of cremated bone were scattered throughout. The filling and two unburnt long bones were found on the paved floor. A few beaker and Middle Bronze Age sherds were found in the cist and cairn, and amongst the cairn stones was a saddle quern (b3). Another pit was found to the south west of the cist. This contained beaker sherds and was also sealed by a capstone. Both the cist and the separate pit  were covered by the cairn and are therefore presumed to be contemporary (b4). The cist remains underground (b8).--------------------------------Site history:2: 1960. QUINNELL, NV / OS--------------------------------"
10006,"DULOE - Bronze Age cairn, Bronze Age stone circle",STONE CIRCLE,"Duloe, the smallest stone circle in Cornwall comprising eight quartz stones, possibly the remains of an elaborate cairn.","Duloe stone circle is the smallest in Cornwall and is shown on the 1st Edition OS 2500 map of c1880, described as a 'Druidical Circle'. It is slightly oval in plan and measures 11.7m by 10.2m. The circle comprises eight stones, seven of which are still standing; the northernmost stone has fallen and lies broken. All the stones are quartz and vary in height between 1.0m and 2.4m. The stone circle was reconstructed in the mid 1800s (7)WC Borlase relates two conflicting stories about the urn which was found at this site. In an account of the attempt in 1861 to re-erect three (?) fallen stones, credited to one Mr Pedlar, the urn was recovered from beneath one of the stones. A fragment of this urn is illustrated by Borlase. However, Mr NHP Lawrence of Launceston subsequently stated in a letter (to TH Bewes and seen by Borlase) that the urn was recovered from a hedge that bisected the circle when this was removed, either before 1858 or between 1861-63. Human bone was found inside the urn. Borlase inferred from these details that a burial monument or cairn had been raised inside the circle.Patchett (1946) lists the urn as Class 'G' Deverel-Rimbury style which she ascribes to the Late Bronze Age and dates to ""after 750 BC"".The circle is in excellent condition but recent plans to make the farm into a tourist attraction might disturb the nature of the site.The stone circle was plotted from aerial photographs (p1) during the Cornwall NMP.--------------------------------Site history:1: 1971. MJF / OS2: 1979. GRAY, VK, FMW / DOE3: 1984. SHEPPARD, P, FMW / DOE--------------------------------"
10007,"HARLYN BAY - Bronze Age round house (domestic), Iron Age cemetery",ROUND HOUSE (DOMESTIC),"An Iron Age cemetery with over 100 graves, part of a walled structure and lots of artefacts were revealed by excavations at Harlyn Bay in 1900 and 1976","During site works in advance of the construction of a house at Harlyn Bay in 1900, the remains of an Iron Age cemetery were revealed. An excavation was undertaken by Mr Reddie Mallett (apparently the owner of the site) (b1), and about 110 graves were discovered. Part of a curved wall was also found,  with two burials found beneath its foundation, which were interpreted as 'votive offerings' (b9). The other burials were in graves  aligned N-S, with the head at the north, and the bodies were crouched or contracted (b1,9). The interments (not cremations) were accompanied by a range of bronze, iron and ceramic grave goods (b5,9). The 'excavation archive' now held by the Royal Cornwall Museum, in Truro (b8), consists of the excavator's notes and a guidebook written by Mr Buller in 1912 (b3), which is extremely confused. Finds from the excavation of the cemetery at Harlyn Bay in 1900 are listed separately in records detailing metalwork, pottery, stone, bone and shell because of the difficulty of associating individual finds with particular graves or excavated contexts 21700.3-.6). It appears from the original excavation archive notes that only a few of the burials had grave goods, and of those found it is not clear what proportion eventually found their way to Truro Museum.  In 1976, the site was re-examined by Rowan Whimster when the  building that had been used as a museum was to be extended into a bungalow (b9). Although only a small area was excavated, the written and artefactual archives were re-examined and it was possible to clarify the interpretation of the site. However, the site archive contained details of only 40 of  the burials - the other 70 remain unlocated. The main feature revealed by Whimster was a length of drystone walling set on a clay-bonded foundation course dug into the old ground surface (b9). This was considered to be part of the same feature as that seen in 1900, which was interpreted as part of a  'ritual structure',  a conclusion accepted by Whimster.  This feature was deliberately demolished not long after construction. No new burials were found, and only one pit  from the 1900 excavations was encountered.  Because the acid soils of Cornwall destroy all traces of bone, this site, inundated by dune sand, is one of the few with surviving human skeletal material making it  one of  the most important prehistoric sites in the county.Charcoal samples from the floor of the circular building and from an old land surface prior to the inundation of the site by dune sand both gave dates in the Middle Bronze Age. The circular structure (house?) was dated to 3320-3600 BP (1820-2100 BC) and the OLS to 3460-3640 BP (1960-2140 BC).  The circular structure therefore appears to be a middle Bronze Age round house rather than an Iron age 'ritual structure'.  This highlights doubts about the accuracy of the 1900 excavation archive and also about whether Whimster's wall and the 1900 wall are in fact parts of the same structure. It also recalls Nowakowskis' discovery at Trethellan Farm,Newquay, of  Iron Age burials over the remains of a  Bronze Age village (PRN 171472).--------------------------------Site history:2: 1954. ALFR/ OS3: 1970. MJF/ OS5: 1985. SHEPPARD PA/DOE--------------------------------<MCO704>: A number of stone objects were found with the burials in the 1900 excavation at Harlyn Bay. Parts of two thin shale bracelets were found, presumably imported from southern Britain. Four small tools had been made from the rather soft local slate, including a  20cm long knife, two needles and a borer. These could not have been used to work any hard material but may have been used for net-making for example.  Other slate pieces were found that could also have possibly been utilised.  These objects are very unusual and without close parallel in Cornwall.Seven spindle whorls, made from pottery, stone, slate and bone were found. It has been assumed that they came singly from female graves, though there is no evidence for this. Spindle whorls are rarely found in Iron Age graves,There were also a number of sharpened bits of shell, possibly used for sewing or for dealing with shellfish. Three lumps of ochre were found. There were a number of pebbles possibly used for sling stones, and there were six bits of flint of unknown date, presumably residual. Animal bones were found in and around the cists, including ox, sheep, horse and pig.  Hencken says that mice bones found in a child's grave may have been intrusive rather than ritual objects.--------------------------------Site history:2: 1954. ALFR/ OS3: 1970. MJF/ OS5: 1979. SHEPPARD PA/ DOE6: 1985. SHEPPARD PA/ DOE--------------------------------<MCO705>: A number of potsherds were found in the excavation of the Iron Age cemetery at Harlyn Bay in 1900. Whimster suggests that  few were associated with the burials, but instead came from a cooking midden at the southern edge of the site. Most of the pottery was well fired Iron Age or Romano-British wares, including a few sherds of South-West decorated ware 'similar to that found at Glastonbury'. One sherd was found close to the mouth of one of the interments and may have been used as an amulet (b9).--------------------------------Site history:2: 1954. ALFR/ OS3: 1970. MJF/ OS5: 1979. SHEPPARD PA/ DOE6: 1985. SHEPPARD PA/ DOE--------------------------------<MCO19614>: Curving sections of stone wall revealed by excavations at Harlyn Bay in 1900  were interpreted as part of a round house or circular ritual structure. The drystone wall was set on  heavy clay-bonded  foundation slabs. The foundation was set in a trench cut into the old ground surface, and the wall was revetted with soil layers.  It was reported that the bones of  two individuals were found crushed under one of the foundation slabs. Bullen (b3) thought that the wall was part of the cemetery's perimeter wall, but the more popular explanation was that this was  part of a hut or ritual structure, and that the burials were some kind of votive offering.  In 1976, the site was re-examined by Rowan Whimster when the  building, which had been used as a museum, was due to be extended into a bungalow (b9). Although only a small area was excavated, the written and artefactual archives were re-examined at the same time and it was possible to clarify the interpretation of the site. The main feature revealed by Whimster was a length of walling which was considered to be part of the same feature as that seen in 1900, which was interpreted as a  'ritual structure',  a conclusion accepted by Whimster.  This feature was deliberately demolished not long after construction. No new burials were found, and only one pit  from the 1900 excavations was encountered.  The structure produced a range of artefacts including two sherds of black fabric, ""possibly from an earlier phase of occupation of the site"", a couple of flints, probably residual, and fragments of bone of horse, pig, ox and duck (b9). This reflects the range of bones found in the rest of the cemetery (b1). The two bodies buried under the wall of the structure were found to have three fragments of an iron bracelet and a bronze ring. Sadly there seems to be no  illustrations of these finds and their present location is unknown. Charcoal samples from the floor of the circular building and from an old land surface prior to the inundation of the site by dune sand both gave dates in the Middle Bronze Age. The circular structure (house?) was dated to 3320-3600 BP (1820-2100 BC) and the OLS to 3460-3640 BP (1960-2140 BC).  The circular structure therefore appears to be a middle Bronze Age round house rather than an Iron age 'ritual structure'.  This highlights doubts about the accuracy of the 1900 excavation archive and also about whether Whimster's wall and the 1900 wall are in fact parts of the same structure. It also seems unlikely that the two skeletons could actually have come from beneath the wall of the structure.--------------------------------Site history:2: 1954. ALFR/ OS3: 1970. MJF/ OS5: 1979. SHEPPARD PA/ DOE6: 1985. SHEPPARD PA/ DOE--------------------------------In 1900, about 130 graves were excavated in the Iron Age cemetery at Harlyn Bay. Records  exist for less than 50 of them, consisting usually of only a rough location plan and a small sketch (b1). Most of the graves were aligned N-S, apparently in rows,  although some were cut into earlier burials. The graves were all stone lined, and mainly rectangular; heads were generally at the north  end. The grave cuts were  just large enough for a crouched or contracted adult and smaller graves were interpreted as children's. The alignment of the heads to the north is indicative of Iron Age interments.  A few burials were in oval or irregular graves, and some were in double graves. One 'family' burial had been disturbed by a later  addition.The skeletons were not well recorded, but included men and women, family grouos and seven children (unusual in such cemeteries). Although pathological features were not recorded, some  information on burial customs was recovered. Bullen describes one area as  being full of mixed bones, possibly a charnel house for bone fragments found during later interments. There was a group of disturbed burials in cists to the south of the others. Two cists contained collections of skulls,  one with five, the other with three in a line facing west. One skull lay at the foot of its skeleton, and one burial had sword cuts to the skull.--------------------------------Site history:2: 1954. ALFR/ OS3: 1970. MJF/ OS5: 1979. SHEPPARD PA/ DOE6: 1985. SHEPPARD PA/ DOE--------------------------------<MCO25845>: The excavation of the harlyn bay cemetary by mallett et al in 1900 uncovered  evidence of a midden to the s. It remains uncertain what finds were removed from this midden, and whimster has suggested that the pottery allegedely  found in the graves may in fact have come from this midden. Bullen's report suggests that slate and shell implements, and spindle whorls of various materials were found in the midden, but these were described by whimster as being from the burials. It is not certain whether the midden is connected with the cemetary at all, and it may represent the periphery of a settlement  site of any iron age date. See (21700) for more general details of the  cemetery. "
10008,"TREGIFFIAN - Neolithic, Early Bronze Age entrance grave",CUP MARKED STONE,"Remains of a barrow with an entrance passage, found during excavation to incorporate cup marked stones and to contain cremated bone and an undamaged urn.","Tregiffian barrow is situated approx 100m to the SE of Goon Rith Menhir (28191) and 260m SW of the Merry Maidens stone circle (28200).  It was first recorded by WC Borlase in 1863 (b1) and was 'opened' by him in 1868. Having removed the turf from the mound he observed that ""it became quite evident that that....stones had been taken from it to make the surrounding hedges and their place supplied by a pile of mud and refuse from the road"" so it is difficult to be certain about the original form and ground plan of the monument.  He recorded a ring of perimeter stones and a large inclined capstone 2.7m in diameter and 0.45m thick resting on two uprights at the south and west sides and on the ground on the other side, having apparently been knocked of its supports by what he (probably mistakenly) identified as a menhir. He recorded a great quantity of ashes and bone splinters and a flint flake, but no pottery or metalwork (b2). Henderson gave the position of the barrow, which he said is still visible, as adjoining the hedge and some 90m west of the stile leading to the Merry Maidens field, and noted that the menhir referred to by Borlase had disappeared (b3). The OS surveyed the barrow at 1:2500 in 1960 and recorded the remains of the SE half of a mound which resembled a barrow. This had a maximum height of 2.0m and a diameter of approx 17m which had been augmented by the dumping of field clearance material on the NE and SW. They also recorded that the barrow was cut across by a NE- SW hedge and that there were no traces of a mound on the road verge to the NW of the hedge (h1). Tregiffian barrow was excavated by Dorothy Dudley for the MPBW in 1967 and 1968; she recorded that the barrow may have originally been 12m in diameter. A megalithic passage 4.3m long and 1.2m wide was discovered, surrounded by a setting of large granite slabs 0.9m to 1.2m high, at about 0.9m from the outer edge of this passage. The stones blocking the entrance, one of them cup marked, had been displaced by Borlase. Slightly east of the entrance a 1.1m square granite block, covered with a whole group of cup marks had been set at an angle to the entrance (28192.2). Another large cup marked stone was found lying in the SE quadrant. The floor of the passage was strewn with comminuted bone fragments and below this floor were two pits. An oval one contained charcoal, stone and cremated bone, and a round one held an undamaged urn 38cm high (h2, h3, b4, b5). A further excavation  was carried out by A Apsimon for the DOE, in 1972, to supplement Dudley's work in 1967/68. This  was confined to the completion of the plan of the chamber prior to conservation and restoration (h4, b7). Russell in 1971 listed the site and recorded the extant remains of a barrow with a stone structure (b6). Sheppard in 1982 noted that the ground on each side of the outer ring of stones had been eroded by visitors. The bare strips were approx 3.6m long by 0.6m wide (b8). The entrance grave is visible on aerial photographs. The monument was included in the Schedule on 9/12/1968 and the scheduling revised on 20/2/1996.--------------------------------Site history:1: 1960. QUINNELL, NV /OS--------------------------------"
10009,CONSTANTINE ISLAND - Iron Age hut circle,HUT CIRCLE,Two Iron Age hut circles on Constantine Island.,"Constantine Island is a small peninsula 35m by 15m in size divided from the land at high tide and now suffering much erosion. The top is said to be a raised beach but this may be an illusion as the sand that spreads over the whole area has also been deposited here. In the early C20 the remains of two huts and a cremation with grave goods, were found. There are now negligible remains apart from an underlying layer of flints (21721), probably a scatter from the many well-preserved midden deposits (21730.6 and 21731). The huts and cremation were dated to the La Tene Iron Age, and probably form part of the settlement found close to the island on the mainland (21731). Crawford found a stone axe in 1921 (b4).--------------------------------Site history:1: 1901. PENROSE WILLIAMS/ WHE2: 1904. ARTHUR, JP / PRIVATE3: 1920. CRAWFORD, OGS / OS4: 1970. MJF / OS--------------------------------<MCO25847>: Penrose Williams has described a cist found on Constantine Island, the exact location of the cist is uncertain; the bones were found in a poorly cremated state and fractured by dampness. JP Arthur claims the bones were ""arranged in a neat little heap between two small slabs of slate"" (b1) but also has suggested a story about cannibalism following Williams observation that the bones seemed to have been cut up after death; a later specialist report clearly showed the error of this idea but continued by claiming that the body was female, of 5ft 5in height. Claims of this sort  are impossible to substantiate from bones in such poor condition. Some sherds of a black hand made pot were found in the cist, with some flint flakes and a worked piece of quartzite. The site could not be definitely located, but may have lain within one of two hollows on the island that may be the result of excavations (b10).--------------------------------Site history:1: 1901. PENROSE WILLIAMS / WWE2: 1904. ARTHUR, JP / PRIVATE3: 1920. CRAWFORD, OGS / DOE4: 1970. MJF / OS5: 1978. NDJ /CCRA--------------------------------<MCO46104>: At the northern edge of Constantine Island a pair of upright slate slabs can be seen protruding from wind blown sand deposits at a depth of approximately 2.0m below the surface. Above and to the southwest a larger flat laid slate slab  rests  upon the upright stones. The arrangement of stones and their position within aeolian deposits suggests a built structure and the most likely interpretation is that these stones represent a cist burial. This is likely to date to the Early Bronze Age. The cist, although visible in the cliff edge, is not at any immediate risk from erosion since it lies on the leeward side of the island. The ground around it is covered with thick grassy vegetation and this is preventing erosion on the scale apparent elsewhere on the island (b1).<MCO46105>: A polished granite implement was recovered during a field survey from an eroding cliff face on the northwestern side of Constantine Island (b1). The tool had been broken in antiquity and the sub-oval fragment recovered measured 11cm by 4cm along its longest face and tapered to a width of 2cm. It has been identified as a lapstone (Carl Thorpe pers comm) used for polishing leather. It is likely to be of prehistoric origin. The stone came from a pocket of the midden material covering the island at a depth of 0.4m below the surface. Numerous fragments of burnt bone were also recovered from the vicinity of the lapstone within the same deposit. The stratigraphy here seemed disturbed in comparison with the well-stratified midden material to either side, perhaps indicating an intrusion into the midden. This might indicate a cist burial eroding out of the cliff, and thus a Bronze Age date, although no structural features were observed. The artefact has been returned to the NT warden for the Holywell Bay - Camel Estuary area.<MCO25848>: In 1902 Penrose Williams reported the discoverey of a cist on Constantine Island (PRN21730.3). A deposit of similar bones were found nearby, in the same condition. He suggested that they were of a similar origin, but had been discarded by the finder as being of no interest. No more details; a similar La Tene date as the other cist is assumed.--------------------------------Site history:1: 1901. PENROSE WILLIAMS / WWE2: 1904. ARTHUR, JP / PRIVATE3: 1920. CRAWFORD, OGS / DOE4: 1970. MJF / OS5: 1978. NDJ / CCRA--------------------------------"
10010,HIGHGATE - Bronze Age enclosure,ENCLOSURE,"Highgate ritual enclosure, an Early Bronze Age cremation site discovered during a watching brief in advance of the Indian Queens bypass.","Highgate ritual enclosure is an Early Bronze Age site of a previously undocumented type. It was discovered during a watching brief undertaken during the initial stages of the construction of the A30 Indian Queens bypass. The site comprised an oval space, 10m by 12m, defined by a series of shallow segmented ditches and postholes forming a horse-shoe arrangement. Towards the centre lay a fairly deep pit containing a cremation in a decorated urn. The urn had been broken either before or during the act of depostion and the pit had been sealed with a black silty layer. Close by was a large quartz block embedded in the clay subsoil - possibly a marker stone. The cremation was found to include a bronze awl among the bone fragments.  There was no sign of a mound over this feature. The site lies only 50m to the north of Little Gaverigan barrow (171736)."
10011,"GWITHIAN, SITE GM/X - Bronze Age hearth, Bronze Age hut circle",HUT CIRCLE,House 3 on site GM/X at Gwithian is a hut circle belonging to the Middle Bronze Age.,"House 3 on site GM/X at Gwithian is a hut circle belonging to the Middle Bronze Age phase of occupation, lying to the south west of house 2 (37055.21). It is sub-rectangular in plan and measures internally up to 8.25m by 3.3m, with a low turf wall from 0.4m to 1.5m thick. The entrance is positioned centrally in the south-facing wall and there is a double hearth placed centrally in the south west end of the hut (b6). A wooden bowl was found adjacent to the hearth, and the skeleton of a baby was recovered from a low depression under the turf wall of this house. The OS surveyed the site in 1962 and recorded that no remains of this hut could be identified (h3).--------------------------------Site history:3: 1962. QUINNELL, NV / OS4: 1981. SHEPPARD, PA / DOE5: 1985. SHEPPARD, PA / DOE--------------------------------"
10012,KERROW - Bronze Age standing stone,STANDING STONE,A standing stone in fields on west-facing slopes at Kerrow was excavated in 1935 when two urns were found.,"A standing stone in fields on west-facing slopes at Kerrow was excavated in 1935 by the West Cornwall Field Club (b1-2). Two urns (33486.1) were found, one inside the other, on a heap of charcoal and buried under a layer of stones at the foot of the menhir (b3-5). Listed as a menhir by Russell in 1971 (b4). Planned at 1:1000 by Sandy Gerrard and Adam Sharpe in 1984 and recorded as 1.78m high, 0.6m to 0.8m wide and 0.6m deep (h2, b6-7).--------------------------------Site history:1: 1961. PITCHER, GH / OS2: 1984. GERRARD, GAM AND SHARPE, A / CCRA--------------------------------<MCO821>: Two urns, one within the other were found beside the menhir at Kerrow when it was excavated in 1935 (b1-2). They are of middle or late Bronze Age type (b5).--------------------------------Site history:1: 1961. PITCHER, GH / OS2: 1984. GERRARD, GAM AND SHARPE, A / CCRA--------------------------------<see MCO7433 for collated record>"
10013,TRESVENNACK PILLAR - Bronze Age standing stone,STANDING STONE,"Tresvennack Pillar is a perfectly upright, well squared and symmetrical stone, 4.0m high, with an ancient vertical split going right through.","WC Borlase describes Tresvennack Pillar as a perfectly upright, well squared and symmetrical stone, 3.5m in height above ground and about 1.2m below ground. At the front of the stone two urns were discovered in 1840 (28707.1) (b1). The menhir is marked on the OS map of 1906 (b3) and was scheduled in 1950 (b5). The OS in 1960 surveyed the stone at 1:2500 and record its height as 4.0m with a split running from the top to approximately halfway down (h1, p1). Marked on the OS map of 1968 (b6) it is listed by Russell in 1971 who records extant remains (b7). Sheppard in 1981 describes a massive stone with an ancient vertical split going right through but apparently very firm and solid (h2, b8). Barnatt in 1982 notes an orientation of north/south (b9).--------------------------------Site history:1: 1960. PITCHER, GH / OS2: 1981. SHEPPARD, PA / DOE3: 1982. SHEPPARD, PA / DOE--------------------------------<MCO1652>: Edmunds in 1848 records the find of two urns at the foot of Tresvennack Pillar (28707) in 1840 by JNR Millett. Perhaps the largest sepulchural urn in Cornwall, was found covered by a granite slab 0.46m square and 5cm thick. The urn is 49.5cm high, 35.5cm wide at the top with a maximum diameter of 39.4cm and 19.0cm wide at the base, with two massive handles. It was found standing on its base 0.9m east of the menhir in a vault 0.9m square without any kind of cist. The pit was infilled with wood ashes and fragments of human bone, whilst larger bones and a human molar tooth were found within the vessel. A small urn half filled with a fine snuff-coloured powder and standing on its base was discovered at the same time 0.46m to the north-east of the former (b1). The urns are mentioned by WC Borlase (b2) and by Hencken (b3) and are listed by Patchett as Middle Bronze Age overhanging rim urns, now in Penzance Museum (b4). Russell in 1971 lists the find in her entry for Tresvennack Pillar (b5).<see MCO7536 for collated record>"
10014,CONSTANTINE BAY - Iron Age hut circle settlement,HUT CIRCLE SETTLEMENT,"Remains of and Iron Age settlement, excavated in he early C20.","The remains found on the mainland opposite Constantine Is land are just as confusing as those on the island. The records kept of excavations and finds were not adequate, and it remains uncertain whether one or two huts were found, as the locations of finds remains unclear. In fact it seems that Arthur's reports (b2) led to most of the confusion as he may have mixed  features on the island with those on the mainland. His unreliability has been noted in regard to the island remains (921730) and the aspects in which he has caused confusion will be detailed on the sub records below. It is clear that the site lies on and in an extensive midden deposit, in which both bones and shells and an urn and a piece of bronze were found in the layers. A hut was built on the midden layers and was subsequently partly covered by further layers of midden material; it was well excavated and beautifully drawn by Penrose Williams. It was quite obviously round, but there are reports by Arthur of at least one, and possibly two, other huts, one of which was pear-shaped (like the hut on Constantine Island). The other had only one wall, one having fallen away with the cliff (like a feature on the island). He describes the latter as containing a hearth, however, unlike the island one. He also mentions a small cist enclosing grass seeds, some of which were apparently grown. This is a highly improbable result from Iron Age grass seeds kept in a damp environment. It seems likely that Arthur's comments were made from second or third hand reports, and it is hard to know what value to place on his comments. The problems were exacerbated when a field study in 2003 identified new locations for sites in addition to the sites already mapped from antiquitarian sources (b9).(b7) - Johnson, ND, 1980, Pers Comm to SMR--------------------------------Site history:2: 1970. HAT / OS3: 1980. NDJ / CCRA--------------------------------<MCO19366>: This site was variously described as  slate mine  and  slate hut or cist  on excavation maps from the 1920s (b7). The site consisted of disordered slate slabs laid on top of raised beach deposits (b5). No remains were observed at this location and it is possible that the site has been destroyed. If the site was a cist, a stone-lined box used for burial, then these features are usually of Early Bronze Age date (2000-1700 BC). However Iron Age or early medieval cists are also found (b8).--------------------------------Site history:: 1980. JOHNSON, ND / CCRA1: 1913. PENROSE WILLIAMS2: 1970. HAT / OS4: 1970. FLETCHER, MJ5: 1978. JOHNSON, ND / CCRA--------------------------------<MCO25852>: A hut on the mainland opposite Constantine Island was excavated by Penrose Williams c1912 (b4). Williams' notes suggest that the location of the hut was on the edge of an eroding cliff face. The hut was 6.5m across and completely circular with a small entrance with internal slabs and porch at the south-east, with the  walls built of slate blocks up to about 60cm high. Internally two slabs lay near the door and there was a central hearth with what appears to be a  square oven made from slate slabs and filled with reddened clay. There seem to have been no postholes and presumably the roof timbers rested on top of  the wall. The finds from the hut are listed by Williams and many are well illustrated. The finds included a piece of Glastonbury ware and other rough pottery, a piece of worked bone, some spindle whorls, a slate dagger, a human mandible, some pestles, large slates with holes, polished pebbles,  burned stones and clay, two pieces of cuttlefish, and bones of ox, sheep and  pig. There was no mention of shells even though the site is close to the sea  and is surrounded by and was overlain by a shell midden (21731.1). In addition to the domestic animal bones, rabbit bones were found outside the hut. Penrose Williams records an urn which is probably that referred to by Hencken (b6) as coming from the midden. A field survey in 2003 revealed a length of curved stone kerbing, visible in a section of eroding cliff top. The kerbing consists of two parallel arcs of flat-laid slate blocks 1.5m wide and packed with rubble. Only the top of a single course is visible. Another area of jumbled slates lies 8-9m to the east and may represent the opposite side of a roundhouse (b8). This site is likely to be one of the sites excavated or recorded in the early C20.--------------------------------Site history:1: 1913. PENROSE WILLIAMS2: 1970. HAT / OS3: 1970. FLETCHER, MJ / OS4: 1978. JOHNSON, ND / CCRA5: 1980. JOHNSON, ND / CCRA6: 1989. JOHNSON, ND / CAU--------------------------------<MCO25853>: Following examination of the wall remaining from a hut on the mainland opposite Constantine Island (21731.4), a deposit of grass seeds was found enclosed in slate slabs. They were identified as triticum perenne and were in good order. Crawford says that the seeds were grown, but this seems improbable for Iron Age seed. It remains wholly uncertain whether the seeds were Iron Age in origin but were well preserved by the calcareous sand and  lack of light, or whether they were some sort of late introduction to an  earlier cist, implying a possible iron age burial. The feature is no longer extant.--------------------------------Site history:1: 1913. PENROSE WILLIAMS2: 1970. HAT / OS3: 1970. FLETCHER, MJ4: 1978. JOHNSON, ND / CCRA5: 1980. JOHNSON, ND / CCRA--------------------------------"
